Country Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total
Germany,1961,BiocapPerCap,0.085692076,0,0.295169622,0.086785396,0.797467284,0.130908008,1.396022386
Germany,1961,EFConsPerCap,0.085692076,2.714639817,0.545374419,0.262963832,0.474483338,0.314459889,4.39761337
Germany,1962,BiocapPerCap,0.10099409,0,0.344239175,0.085997668,0.791879643,0.130340476,1.453451053
Germany,1962,EFConsPerCap,0.10099409,2.776270933,0.64546227,0.280976208,0.486579835,0.328154246,4.618437582
Germany,1963,BiocapPerCap,0.103482584,0,0.349062828,0.085253835,0.785488929,0.129675042,1.452963218
Germany,1963,EFConsPerCap,0.103482584,2.716230612,0.592605931,0.303406384,0.437045152,0.31779213,4.470562793
Germany,1964,BiocapPerCap,0.103739927,0,0.34698152,0.084454903,0.779077145,0.129255221,1.443508716
Germany,1964,EFConsPerCap,0.103739927,2.688327892,0.60368596,0.251152019,0.46748901,0.312005845,4.426400653
Germany,1965,BiocapPerCap,0.098542193,0,0.327046494,0.083659298,0.773677697,0.129282669,1.412208351
Germany,1965,EFConsPerCap,0.098542193,2.64975392,0.597140401,0.295604803,0.479670655,0.319213546,4.439925518
Germany,1966,BiocapPerCap,0.097163162,0,0.319864665,0.082808034,0.769561405,0.128013683,1.397410949
Germany,1966,EFConsPerCap,0.097163162,2.7518252,0.601998958,0.306509183,0.486873825,0.290533964,4.534904292
Germany,1967,BiocapPerCap,0.11950239,0,0.386294333,0.082133978,0.764204256,0.12660982,1.478744777
Germany,1967,EFConsPerCap,0.11950239,2.936353698,0.653083196,0.336441718,0.45346347,0.266217139,4.765061611
Germany,1968,BiocapPerCap,0.119135001,0,0.382134208,0.081438266,0.758712219,0.124055337,1.465475031
Germany,1968,EFConsPerCap,0.119135001,3.077781996,0.649278508,0.334316289,0.498405277,0.290403652,4.969320724
Germany,1969,BiocapPerCap,0.115500582,0,0.368015158,0.081148591,0.753717217,0.123462239,1.441843787
Germany,1969,EFConsPerCap,0.115500582,3.294709304,0.643829747,0.287939465,0.569963422,0.300798649,5.212741169
Germany,1970,BiocapPerCap,0.108455867,0,0.341644356,0.080841763,0.749887054,0.120957467,1.401786507
Germany,1970,EFConsPerCap,0.108455867,4.983344772,0.660863099,0.247476252,0.59014424,0.288609492,6.878893723
Germany,1971,BiocapPerCap,0.120204241,0,0.37799955,0.080335955,0.750539962,0.119124462,1.448204171
Germany,1971,EFConsPerCap,0.120204241,4.901625888,0.702936594,0.210134716,0.583829411,0.289401149,6.808131998
Germany,1972,BiocapPerCap,0.12200678,0,0.384255039,0.08011651,0.749034057,0.11833722,1.453749606
Germany,1972,EFConsPerCap,0.12200678,4.680137104,0.74522733,0.195957279,0.55755659,0.316385686,6.617270771
Germany,1973,BiocapPerCap,0.124740831,0,0.393056142,0.080142041,0.749002083,0.117584611,1.464525708
Germany,1973,EFConsPerCap,0.124740831,5.124369522,0.724410345,0.199902606,0.620192671,0.25635989,7.049975864
Germany,1974,BiocapPerCap,0.13501593,0,0.426702951,0.079969254,0.747849994,0.116015971,1.5055541
Germany,1974,EFConsPerCap,0.13501593,4.909863479,0.730161721,0.216434773,0.572626269,0.225682149,6.789784321
Germany,1975,BiocapPerCap,0.130573828,0,0.414328229,0.079915471,0.750973877,0.115204886,1.490996291
Germany,1975,EFConsPerCap,0.130573828,4.929928794,0.714584809,0.193972612,0.513260109,0.250870657,6.733190809
Germany,1976,BiocapPerCap,0.108602992,0,0.346766471,0.079983494,0.751633916,0.114281136,1.401268009
Germany,1976,EFConsPerCap,0.108602992,5.004152005,0.709344432,0.184353104,0.572179133,0.28340251,6.862034176
Germany,1977,BiocapPerCap,0.128064805,0,0.409666258,0.079955044,0.756714892,0.11359147,1.487992468
Germany,1977,EFConsPerCap,0.128064805,4.842062248,0.749974755,0.15237679,0.601343837,0.260841542,6.734663977
Germany,1978,BiocapPerCap,0.133016616,0,0.426868997,0.08005067,0.756357491,0.112897685,1.50919146
Germany,1978,EFConsPerCap,0.133016616,5.154658929,0.798954293,0.132748419,0.618426235,0.254179224,7.091983716
Germany,1979,BiocapPerCap,0.135359874,0,0.434738063,0.08023555,0.757329471,0.112458671,1.520121629
Germany,1979,EFConsPerCap,0.135359874,5.472706884,0.805963429,0.11895187,0.632590939,0.259648817,7.425221812
Germany,1980,BiocapPerCap,0.135256202,0,0.434156496,0.08069479,0.753696116,0.112404037,1.516207642
Germany,1980,EFConsPerCap,0.135256202,4.758709031,0.832237156,0.109117958,0.661848689,0.249912672,6.747081709
Germany,1981,BiocapPerCap,0.137372811,0,0.445493865,0.0805647,0.755795675,0.111807032,1.531034083
Germany,1981,EFConsPerCap,0.137372811,4.591186557,0.829384617,0.100468298,0.622953354,0.23400212,6.515367758
Germany,1982,BiocapPerCap,0.146836753,0,0.469830331,0.080458928,0.756493071,0.111170575,1.564789657
Germany,1982,EFConsPerCap,0.146836753,4.265086967,0.867416369,0.110532056,0.607352482,0.231044762,6.228269389
Germany,1983,BiocapPerCap,0.133289215,0,0.429367537,0.080285307,0.756527682,0.110221346,1.509691087
Germany,1983,EFConsPerCap,0.133289215,4.033331208,0.866227422,0.101215015,0.60933756,0.263513772,6.00691419
Germany,1984,BiocapPerCap,0.155349895,0,0.498168852,0.080052018,0.754933458,0.109544047,1.598048271
Germany,1984,EFConsPerCap,0.155349895,4.43058678,0.917103376,0.103529499,0.614574606,0.250017967,6.471162123
Germany,1985,BiocapPerCap,0.161147693,0,0.518463818,0.079704444,0.756508983,0.108583024,1.624407963
Germany,1985,EFConsPerCap,0.161147693,4.646361284,0.94126628,0.112915744,0.598142714,0.251735769,6.711569485
Germany,1986,BiocapPerCap,0.157165374,0,0.507967508,0.079450059,0.752977304,0.10785194,1.605412184
Germany,1986,EFConsPerCap,0.157165374,4.639970047,0.891869252,0.108053618,0.61833243,0.241342873,6.656733595
Germany,1987,BiocapPerCap,0.153030165,0,0.4903942,0.079011066,0.75245684,0.106526234,1.581418504
Germany,1987,EFConsPerCap,0.153030165,4.522733058,0.860312081,0.096175064,0.623824598,0.241795207,6.497870173
Germany,1988,BiocapPerCap,0.160261441,0,0.516947783,0.078433087,0.750677711,0.105393207,1.61171323
Germany,1988,EFConsPerCap,0.160261441,4.649481092,0.901466789,0.099023216,0.631283471,0.240556821,6.68207283
Germany,1989,BiocapPerCap,0.159170369,0,0.512261169,0.077902761,0.748032164,0.104144308,1.601510771
Germany,1989,EFConsPerCap,0.159170369,4.611970645,0.871748725,0.098750466,0.68124054,0.239217253,6.662097999
Germany,1990,BiocapPerCap,0.156464581,0,0.510575117,0.077321187,0.767880529,0.102825744,1.615067158
Germany,1990,EFConsPerCap,0.156464581,4.404160603,0.87307302,0.095495785,1.049736163,0.235701887,6.814632039
Germany,1991,BiocapPerCap,0.174809195,0,0.544173913,0.076914391,0.764698384,0.097552764,1.658148647
Germany,1991,EFConsPerCap,0.174809195,4.263846119,0.888481968,0.096800435,0.541026595,0.228083226,6.193047539
Germany,1992,BiocapPerCap,0.158965245,0,0.48030736,0.077435661,0.768910328,0.096876299,1.582494893
Germany,1992,EFConsPerCap,0.158965245,3.966409081,0.810375842,0.09013615,0.55648248,0.26523601,5.847604807
Germany,1993,BiocapPerCap,0.157211783,0,0.510386204,0.077014916,0.765672777,0.096978037,1.607263718
Germany,1993,EFConsPerCap,0.157211783,3.797182673,0.827471626,0.081358514,0.541761604,0.24222242,5.647208619
Germany,1994,BiocapPerCap,0.165638138,0,0.538343708,0.076619993,0.764387367,0.097055509,1.642044714
Germany,1994,EFConsPerCap,0.165638138,4.025240169,0.831686371,0.082950176,0.592613451,0.2486413,5.946769605
Germany,1995,BiocapPerCap,0.175051619,0,0.560351504,0.076240518,0.76321694,0.096772945,1.671633527
Germany,1995,EFConsPerCap,0.175051619,4.029885143,0.848187382,0.085334309,0.568857384,0.22426556,5.931581398
Germany,1996,BiocapPerCap,0.178120117,0,0.560475015,0.076012364,0.761631419,0.096359282,1.672598197
Germany,1996,EFConsPerCap,0.178120117,4.1030647,0.811693336,0.084517662,0.589187842,0.206619494,5.973203151
Germany,1997,BiocapPerCap,0.189163103,0,0.572666682,0.075857127,0.760335845,0.096057079,1.694079835
Germany,1997,EFConsPerCap,0.189163103,3.83930876,0.82248693,0.075063312,0.596994354,0.205372833,5.728389292
Germany,1998,BiocapPerCap,0.195326345,0,0.583696133,0.075868541,0.76001541,0.096162323,1.711068752
Germany,1998,EFConsPerCap,0.195326345,3.831768862,0.826887408,0.082960192,0.605002029,0.20213143,5.744076267
Germany,1999,BiocapPerCap,0.200194896,0,0.59936215,0.075924008,0.758451927,0.094165291,1.728098272
Germany,1999,EFConsPerCap,0.200194896,3.77529106,0.830878042,0.064590415,0.60057488,0.171781409,5.643310703
Germany,2000,BiocapPerCap,0.200990859,0,0.588592648,0.07602655,0.75788882,0.093404225,1.716903103
Germany,2000,EFConsPerCap,0.200990859,3.894970466,0.81815966,0.085723865,0.667023134,0.183232045,5.850100029
Germany,2001,BiocapPerCap,0.201730882,0,0.700718111,0.076213109,0.763983991,0.082632072,1.825278164
Germany,2001,EFConsPerCap,0.201730882,4.057275332,0.913124181,0.073365458,0.599088092,0.14509474,5.989678684
Germany,2002,BiocapPerCap,0.176885498,0,0.6145013,0.076397487,0.764434674,0.081752561,1.713971519
Germany,2002,EFConsPerCap,0.176885498,3.679421822,0.820432845,0.074299451,0.551545112,0.161880693,5.46446542
Germany,2003,BiocapPerCap,0.16970885,0,0.593738118,0.076190366,0.761635892,0.08209522,1.683368445
Germany,2003,EFConsPerCap,0.16970885,3.620416656,0.818570908,0.074302803,0.597989425,0.165492383,5.446481025
Germany,2004,BiocapPerCap,0.206812971,0,0.706392773,0.076162777,0.76035601,0.082979589,1.832704121
