Year,Overshoot_Date,Biocapacity ( gha/ person),Footprint ( gha/ person)
1961,19-Oct,3.17930532,3.97349149
1962,21-Oct,3.134483265,3.891828791
1963,17-Oct,3.067707518,3.857750634
1964,21-Oct,3.013389563,3.728751296
1965,9-Oct,2.956331278,3.824991415
1966,24-Sep,2.919682709,3.989529686
1967,27-Aug,2.871801054,4.390794618
1968,15-Aug,2.82846908,4.533855111
1969,6-Aug,2.771095184,4.638660298
1970,19-Jul,2.726234316,4.963054652
1971,14-Jul,2.687297405,5.033481497
1972,11-Jul,2.624113133,4.96898379
1973,26-Jun,2.600893885,5.357736087
1974,13-Jun,2.540243509,5.658667565
1975,4-Jun,2.49868942,5.892133195
1976,29-May,2.465404531,6.002904666
1977,30-May,2.425682572,5.899703075
1978,18-May,2.407772976,6.357781539
1979,19-May,2.36136095,6.218828098
1980,23-May,2.320828581,5.877451501
1981,26-May,2.29896208,5.757919149
1982,2-Jun,2.274663217,5.428786574
1983,8-Jun,2.226566105,5.126153298
1984,26-May,2.217394412,5.518661431
1985,18-May,2.188215235,5.767173054
1986,15-May,2.153909638,5.803744935
1987,11-May,2.122512716,5.914937221
1988,6-May,2.075291366,5.979559495
1989,9-May,2.062283282,5.852870128
1990,12-Jun,2.051106995,4.584355948
1991,13-Jun,2.005570631,4.472067487
1992,29-Jun,2.001013313,4.031359556
1993,14-Jun,1.962909041,4.349557833
1994,16-Jun,1.949439299,4.262091627
1995,3-Jun,1.912048762,4.538266679
1996,23-May,1.907120423,4.850126302
1997,30-May,1.889122314,4.603768367
1998,31-May,1.870565603,4.507774223
1999,27-May,1.850580957,4.595416778
2000,29-May,1.825939356,4.43896728
2001,25-May,1.813381128,4.566255339
2002,31-May,1.787818177,4.327048161
2003,1-Jun,1.762826089,4.231341173
2004,20-May,1.758390413,4.549424806
2005,21-May,1.73317664,4.495379473
2006,20-May,1.716917539,4.482316436
2007,3-May,1.69991971,5.032013798
2008,4-May,1.697474397,4.964485663
2009,11-May,1.669546545,4.637835601
2010,4-May,1.659424476,4.882583279
2011,5-May,1.649592442,4.831521044
2012,7-May,1.617660394,4.607653573
2013,12-May,1.62108817,4.470260833
2014,8-May,1.6075441,4.588884816
2015,14-May,1.589956801,4.315254698
2016,6-May,1.578633833,4.542047779
2017,27-Apr,1.576078333,4.914338179
2018,27-Apr,1.554023641,4.8334344
2019,2-May,1.543251426,4.611664503
2020,27-Apr,1.52532268,4.726152029
2021,17-Apr,1.517166109,5.177373268
2022,22-Apr,1.504322175,4.896249782
2023,30-Apr,1.491379538,4.530190803
2024,27-Apr,1.478047235,4.574472539
