Year,Overshoot_Date,Biocapacity ( gha/ person),Footprint ( gha/ person)
1961,31-Dec,3.17930532,2.2843121
1962,31-Dec,3.134483265,2.27446351
1963,31-Dec,3.067707518,2.23006171
1964,31-Dec,3.013389563,2.21350119
1965,31-Dec,2.956331278,2.2139446
1966,31-Dec,2.919682709,2.30721616
1967,31-Dec,2.871801054,2.4365311
1968,31-Dec,2.82846908,2.46611955
1969,31-Dec,2.771095184,2.48352161
1970,31-Dec,2.726234316,2.68788093
1971,29-Dec,2.687297405,2.70265275
1972,31-Dec,2.624113133,2.61162887
1973,8-Dec,2.600893885,2.77699279
1974,3-Dec,2.540243509,2.74877198
1975,29-Nov,2.49868942,2.74218071
1976,24-Nov,2.465404531,2.73962429
1977,22-Nov,2.425682572,2.71890601
1978,13-Nov,2.407772976,2.77384003
1979,2-Nov,2.36136095,2.81403237
1980,22-Nov,2.320828581,2.59652584
1981,23-Nov,2.29896208,2.56598945
1982,2-Dec,2.274663217,2.47437396
1983,9-Dec,2.226566105,2.37163345
1984,16-Nov,2.217394412,2.52731088
1985,6-Nov,2.188215235,2.57344464
1986,4-Nov,2.153909638,2.55041105
1987,30-Oct,2.122512716,2.556158
1988,16-Oct,2.075291366,2.61668069
1989,12-Oct,2.062283282,2.64571158
1990,15-Oct,2.051106995,2.59903539
1991,19-Oct,2.005570631,2.50348548
1992,29-Oct,2.001013313,2.41663353
1993,26-Oct,1.962909041,2.39908616
1994,16-Oct,1.949439299,2.46430481
1995,8-Oct,1.912048762,2.48206517
1996,3-Oct,1.907120423,2.5216926
1997,5-Oct,1.889122314,2.48456032
1998,5-Oct,1.870565603,2.45274985
1999,25-Sep,1.850580957,2.5210792
2000,16-Sep,1.825939356,2.57402552
2001,11-Sep,1.813381128,2.60830418
2002,18-Sep,1.787818177,2.49795696
2003,11-Sep,1.762826089,2.5330704
2004,31-Aug,1.758390413,2.63333259
2005,25-Aug,1.73317664,2.67178393
2006,22-Aug,1.716917539,2.68274493
2007,13-Aug,1.69991971,2.75642955
2008,14-Aug,1.697474397,2.74202899
2009,21-Aug,1.669546545,2.61387627
2010,8-Aug,1.659424476,2.75383657
2011,3-Aug,1.649592442,2.79651739
2012,1-Aug,1.617660394,2.77014728
2013,31-Jul,1.62108817,2.78660346
2014,2-Aug,1.6075441,2.74067745
2015,4-Aug,1.589956801,2.68776578
2016,6-Aug,1.578633833,2.64094198
2017,31-Jul,1.576078333,2.71276089
2018,28-Jul,1.554023641,2.71810958
2019,29-Jul,1.543251426,2.68596292
2020,9-Aug,1.52532268,2.51750028
2021,28-Jul,1.517166109,2.6554772
2022,24-Jul,1.504322175,2.68090788
2023,25-Jul,1.491379538,2.64662916
2024,23-Jul,1.478047235,2.63815815
