Year,Sector,Subsector_EN,CO2_kt
1990,Agriculture,Agricultural machinery,11359.814812
1990,Agriculture,Liming,2200.009175
1990,Agriculture,Other carbonate fertilizers,510.446578
1990,Agriculture,Urea application,479.997561
1990,Building,Commerce & services,276217.718382
1990,Building,Households,137482.245458
1990,Building,Military,25262.002847
1990,Industry,Chemical industry,14270.049732
1990,Industry,Manufacturing fuel,324009.510881
1990,Industry,Metal production,44416.422829
1990,Industry,Mineral products manufacturing,41658.083776
1990,Industry,Other industrial processes,5281.909561
1990,Traffic,Aviation,2473.310626
1990,Traffic,Domestic navigation,3226.166527
1990,Traffic,Railways,3353.856833
1990,Traffic,Road transport,162594.311704
1991,Agriculture,Agricultural machinery,9723.602938
1991,Agriculture,Liming,1986.576097
1991,Agriculture,Other carbonate fertilizers,473.645646
1991,Agriculture,Urea application,437.087678
1991,Building,Commerce & services,283344.711518
1991,Building,Households,139582.903145
1991,Building,Military,18148.183952
1991,Industry,Chemical industry,12598.085897
1991,Industry,Manufacturing fuel,287787.453064
1991,Industry,Metal production,43602.427157
1991,Industry,Mineral products manufacturing,38046.147382
1991,Industry,Other industrial processes,5243.874885
1991,Traffic,Aviation,2397.183266
1991,Traffic,Domestic navigation,3118.382811
1991,Traffic,Railways,3006.670635
1991,Traffic,Road transport,167432.579138
1992,Agriculture,Agricultural machinery,9177.266211
1992,Agriculture,Liming,1748.964667
1992,Agriculture,Other carbonate fertilizers,448.82475
1992,Agriculture,Urea application,427.559467
1992,Building,Commerce & services,273544.302469
1992,Building,Households,128022.617263
1992,Building,Military,14197.00084
1992,Industry,Chemical industry,12502.716724
1992,Industry,Manufacturing fuel,266583.499484
1992,Industry,Metal production,37331.968184
1992,Industry,Mineral products manufacturing,39259.698037
1992,Industry,Other industrial processes,5078.657602
1992,Traffic,Aviation,2420.600225
1992,Traffic,Domestic navigation,3163.750891
1992,Traffic,Railways,2932.260066
1992,Traffic,Road transport,172624.720644
1993,Agriculture,Agricultural machinery,9603.620988
1993,Agriculture,Liming,1465.232275
1993,Agriculture,Other carbonate fertilizers,415.200038
1993,Agriculture,Urea application,422.135704
1993,Building,Commerce & services,290179.929021
1993,Building,Households,120265.540751
1993,Building,Military,11138.703327
1993,Industry,Chemical industry,11710.586266
1993,Industry,Manufacturing fuel,246026.299093
1993,Industry,Metal production,37956.252323
1993,Industry,Mineral products manufacturing,39762.572588
1993,Industry,Other industrial processes,5088.180676
1993,Traffic,Aviation,2322.736949
1993,Traffic,Domestic navigation,3139.970197
1993,Traffic,Railways,2912.90906
1993,Traffic,Road transport,176976.00889
1994,Agriculture,Agricultural machinery,9565.15274
1994,Agriculture,Liming,1324.707695
1994,Agriculture,Other carbonate fertilizers,402.085939
1994,Agriculture,Urea application,448.572499
1994,Building,Commerce & services,284077.074421
1994,Building,Households,113064.93613
1994,Building,Military,10538.627633
1994,Industry,Chemical industry,11783.029742
1994,Industry,Manufacturing fuel,243019.112836
1994,Industry,Metal production,40557.79521
1994,Industry,Mineral products manufacturing,42662.145788
1994,Industry,Other industrial processes,4347.150657
1994,Traffic,Aviation,2305.85391
1994,Traffic,Domestic navigation,3085.948958
1994,Traffic,Railways,2712.613103
1994,Traffic,Road transport,173332.84724
1995,Agriculture,Agricultural machinery,9822.003182
1995,Agriculture,Liming,1279.742727
1995,Agriculture,Other carbonate fertilizers,389.494622
1995,Agriculture,Urea application,458.532905
1995,Building,Commerce & services,279279.33098
1995,Building,Households,114577.715422
1995,Building,Military,8624.552294
1995,Industry,Chemical industry,13722.912621
1995,Industry,Manufacturing fuel,243959.006842
1995,Industry,Metal production,36011.058649
1995,Industry,Mineral products manufacturing,42406.757042
1995,Industry,Other industrial processes,4400.46223
1995,Traffic,Aviation,2415.368331
