year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1997,2000,Africa,BiocapPerCap,0.29159540140287493,0.45120535639153,0.5645703976782654,0.10416075693917161,0.03236710892078331,0.0,1.4438990213326246
1996,2000,Africa,BiocapPerCap,0.30884643552214386,0.46109854737916744,0.5823902704373319,0.1068852200912291,0.03344242920107811,0.0,1.4926629026309515
1995,2000,Africa,BiocapPerCap,0.2848837560031754,0.47283328365964855,0.6010963543166373,0.10979331782578677,0.030791709771783082,0.0,1.4993984215770313
1994,2000,Africa,BiocapPerCap,0.2844409906877508,0.48506595054939544,0.6194682642396876,0.11290402527789851,0.029990755396474625,0.0,1.5318699861512073
1993,2000,Africa,BiocapPerCap,0.28898175308653756,0.49561274948161094,0.6378918396292839,0.11600975234211659,0.029980007790079966,0.0,1.5684761023296299
1992,2000,Africa,BiocapPerCap,0.29377803453653395,0.5375637452109844,0.7120327976936974,0.1131439250326556,0.0310451312844062,0.0,1.687563633758279
1991,2000,Africa,BiocapPerCap,0.30361836567732653,0.5428435196576096,0.7265145618879439,0.11464138928027212,0.030857917930616697,0.0,1.7184757544337692
1990,2000,Africa,BiocapPerCap,0.3034699224689576,0.5563348373712024,0.7483991741026608,0.11755561897025443,0.02999741134059434,0.0,1.7557569642536708
1989,2000,Africa,BiocapPerCap,0.30518951065087113,0.5721723381679451,0.770715780344943,0.12090300943732318,0.029681236406166767,0.0,1.7986618750072487
1988,2000,Africa,BiocapPerCap,0.30482899703540545,0.5868281209707249,0.7909391107314793,0.12430142895008871,0.02851541835455721,0.0,1.8354130760422545
1987,2000,Africa,BiocapPerCap,0.30442381465332785,0.6019248395526238,0.8114216945007345,0.12799569994072751,0.027863238934568255,0.0,1.8736292875819822
1986,2000,Africa,BiocapPerCap,0.31216862095157955,0.6188111489959595,0.8336695748631567,0.13190543933331836,0.027983538700363218,0.0,1.9245383228443786
1985,2000,Africa,BiocapPerCap,0.31922915355481873,0.6348762368292259,0.8606930844828942,0.13587300145837086,0.027219239609058168,0.0,1.9778907159343664
1984,2000,Africa,BiocapPerCap,0.29477782509045297,0.6541753167715156,0.8871035006052661,0.14027273820429417,0.02489676905786119,0.0,2.0012261497293897
1983,2000,Africa,BiocapPerCap,0.30640137694010444,0.6745499248168998,0.9145889346518621,0.14468733658059008,0.024586724422006392,0.0,2.064814297411465
1982,2000,Africa,BiocapPerCap,0.32972719407079876,0.6951774358353551,0.9422144230729222,0.14930803150807806,0.025193179050964753,0.0,2.1416202635381185
1981,2000,Africa,BiocapPerCap,0.3480976182053811,0.7172123364496864,0.9991854020212165,0.15404738484682104,0.025385017108252604,0.0,2.2439277586313575
1980,2000,Africa,BiocapPerCap,0.32736154776761195,0.7447694341732709,1.0382896914172766,0.1560041481959239,0.024365286249699553,0.0,2.2907901078037844
1979,2000,Africa,BiocapPerCap,0.33264908388325287,0.7642353260344171,1.0792444794819234,0.16015906962314286,0.023991497247735718,0.0,2.3602794562704714
1978,2000,Africa,BiocapPerCap,0.3424328767622435,0.7882225331802315,1.1163880653403282,0.16519456615347486,0.02447200055856695,0.0,2.436710041994846
1977,2000,Africa,BiocapPerCap,0.3425749195287257,0.8127529237400166,1.1544962150391544,0.17036038909599782,0.02436703209784737,0.0,2.5045514795017416
1976,2000,Africa,BiocapPerCap,0.3440671442712581,0.8387979373870272,1.1900484627690895,0.17572803264469009,0.02479074651832903,0.0,2.573432323590393
1975,2000,Africa,BiocapPerCap,0.3606314751443794,0.864282149897688,1.227649197403172,0.18106756049058814,0.024854054072131784,0.0,2.6584844370079597
1974,2000,Africa,BiocapPerCap,0.36843171426195687,0.8917434204790501,1.2628653575383366,0.1865967185511374,0.025046902897466094,0.0,2.734684113727948
