year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
2024,2002,Europe,BiocapPerCap,0.8516834482693684,0.20068718853379086,1.5605836863168892,0.41880117516990795,0.1312317880299613,0.0,3.162987286319925
2023,2002,Europe,BiocapPerCap,0.8498044838175819,0.20024443707026246,1.5571407624505316,0.4178772256413473,0.13099885795744726,0.0,3.156065766937168
2022,2002,Europe,BiocapPerCap,0.8519682703823254,0.2007543028462713,1.5611055806238483,0.4189412317083597,0.13136491843455164,0.0,3.1641343039953633
2021,2002,Europe,BiocapPerCap,0.8625442276091607,0.2014103614947424,1.566207223790763,0.4203103182702235,0.13500616236563173,0.0,3.185478293530523
2020,2002,Europe,BiocapPerCap,0.861431947370341,0.20196857932587084,1.564956916720313,0.4190915693638231,0.13191973771862825,0.0,3.179368750498984
2019,2002,Europe,BiocapPerCap,0.8477437295274026,0.2038492084041913,1.5680343343346361,0.41904323658156095,0.13614052865458046,0.0,3.1748110375023657
2018,2002,Europe,BiocapPerCap,0.8303838324592968,0.20230835483967494,1.571307697734774,0.41940982550166284,0.1272131866857551,0.0,3.1506228972211674
2017,2002,Europe,BiocapPerCap,0.870978951083914,0.20273687412157765,1.5768243608979648,0.42018741066673654,0.13724336856931144,0.0,3.2079709653395088
2016,2002,Europe,BiocapPerCap,0.8319165641027028,0.2037008648855802,1.5777382257999863,0.42091996590975567,0.13161031585303834,0.0,3.1658859365510663
2015,2002,Europe,BiocapPerCap,0.8342830747523807,0.2041895621679017,1.5823619576534413,0.4209493277699847,0.13782402116500198,0.0,3.179607943508708
2014,2002,Europe,BiocapPerCap,0.8553718813362216,0.2053865159049197,1.588706581197144,0.42222675086300476,0.14254444817064582,0.0,3.214236177471941
2013,2002,Europe,BiocapPerCap,0.8089356431349058,0.20768345506827054,1.5928101165763386,0.4230151098858175,0.1306218059896588,0.0,3.163066130654997
2012,2002,Europe,BiocapPerCap,0.7423800366330153,0.20854043873660477,1.5996774510036862,0.4239835032380536,0.12392615411482666,0.0,3.0985075837261844
2011,2002,Europe,BiocapPerCap,0.8016079127544087,0.2111271801578891,1.6059385132269213,0.42691382776185743,0.1287846188240084,0.0,3.1743720527250896
2010,2002,Europe,BiocapPerCap,0.7764896102588686,0.21266720517704268,1.6135022357022366,0.42866774732968205,0.12754562059400001,0.0,3.1588724190618303
2009,2002,Europe,BiocapPerCap,0.8118921811731218,0.2137974469085387,1.6178215218790544,0.4309826990890437,0.12968619612357116,0.0,3.2041800451733358
2008,2002,Europe,BiocapPerCap,0.8413481295765097,0.21512114633933796,1.6266885589453115,0.4321420116574326,0.1327056818313344,0.0,3.2480055283499305
2007,2002,Europe,BiocapPerCap,0.78018048150874,0.21498310031545012,1.6334159272400737,0.4323384337617708,0.1194113335433945,0.0,3.1803292763694233
2006,2002,Europe,BiocapPerCap,0.7677157321898183,0.2165599733239979,1.6372571780688425,0.43410903372182535,0.11756973641033643,0.0,3.173211653714816
