year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
2006,2003,Latin America and the Caribbean,BiocapPerCap,0.5935857984028167,0.7742054937618149,3.9859612226396695,0.30080150177979065,0.057839037729388164,0.0,5.712393054313472
2007,2003,Latin America and the Caribbean,BiocapPerCap,0.6224941117573696,0.7630754568094456,3.9093956135105525,0.2968570971549468,0.05977886220686174,0.0,5.651601141439169
2008,2003,Latin America and the Caribbean,BiocapPerCap,0.6293022468412712,0.7533609484213248,3.8306648742876934,0.29424666000990485,0.06312567742787419,0.0,5.570700406988081
2009,2003,Latin America and the Caribbean,BiocapPerCap,0.5661858696361854,0.7434178120338228,3.7479891673135475,0.29105827677938406,0.05876034574297278,0.0,5.4074114715059345
2010,2003,Latin America and the Caribbean,BiocapPerCap,0.6409254034614494,0.7309702639760525,3.675597169343388,0.2870106355534153,0.06330080537313133,0.0,5.3978042777074435
2011,2003,Latin America and the Caribbean,BiocapPerCap,0.6469328852010584,0.7181638907244159,3.612076133710234,0.283418345964073,0.06429900093845702,0.0,5.324890256538238
2012,2003,Latin America and the Caribbean,BiocapPerCap,0.6357451105645832,0.7072902801915982,3.552593265317614,0.2789486022455369,0.0642793426176847,0.0,5.238856600937026
2013,2003,Latin America and the Caribbean,BiocapPerCap,0.6454920800410555,0.7025784672913222,3.4928362911836444,0.27587071439791894,0.0670640055568105,0.0,5.183841558470755
2014,2003,Latin America and the Caribbean,BiocapPerCap,0.6425068387446504,0.6930571724780623,3.4406175630110725,0.2729848875288166,0.06729728274654347,0.0,5.116463744509157
2015,2003,Latin America and the Caribbean,BiocapPerCap,0.666963473454866,0.6833819572712118,3.3854027350629288,0.2698881712813889,0.06854679167034895,0.0,5.074183128740743
2016,2003,Latin America and the Caribbean,BiocapPerCap,0.644555416889391,0.6755826489309239,3.333901493113072,0.2677095388860768,0.06734638130101507,0.0,4.989095479120476
2017,2003,Latin America and the Caribbean,BiocapPerCap,0.6777975508924313,0.6643450033924313,3.2913774643438254,0.26513776124615374,0.0718570176629521,0.0,4.970514797537791
2018,2003,Latin America and the Caribbean,BiocapPerCap,0.6522541962793935,0.6560767799600635,3.246695263910054,0.2627072043623294,0.0709097468763277,0.0,4.88864319138817
2019,2003,Latin America and the Caribbean,BiocapPerCap,0.6874996154476166,0.6511892847401815,3.207962816369654,0.26070319376559314,0.07234877740277115,0.0,4.879703687725811
2020,2003,Latin America and the Caribbean,BiocapPerCap,0.6810404560163362,0.6459696298995735,3.1696941869159447,0.25881208512455256,0.07158928094743154,0.0,4.827105638903838
2021,2003,Latin America and the Caribbean,BiocapPerCap,0.6752773089352256,0.639944051381699,3.139391366856913,0.2576604935371846,0.07098091273425317,0.0,4.783254133445278
2022,2003,Latin America and the Caribbean,BiocapPerCap,0.6738229668471003,0.6357774481997527,3.1189511455121126,0.2559828952691544,0.0707459058911509,0.0,4.755280361719274
2023,2003,Latin America and the Caribbean,BiocapPerCap,0.6688749585325687,0.63110881525807,3.0960481027844073,0.2541031649000693,0.07066885533457097,0.0,4.720803896809687
2024,2003,Latin America and the Caribbean,BiocapPerCap,0.6637197966950693,0.6262447251344619,3.0721862003123124,0.2521447376607625,0.07059342208796328,0.0,4.684888881890569
1961,2003,Latin America and the Caribbean,EFConsPerCap,0.4072266372833666,1.0082823936725236,0.4321623695471667,0.09450444524223107,0.02531400524142394,0.370117605327786,2.3376074563144953
1962,2003,Latin America and the Caribbean,EFConsPerCap,0.3967077824525459,0.9580711474407764,0.4275655249721766,0.10522708257107495,0.026190462441339962,0.3703307170928094,2.284092716970723
1963,2003,Latin America and the Caribbean,EFConsPerCap,0.401304675183784,0.9116154372217672,0.4090336035409009,0.10490465355546201,0.02669285099258984,0.3463610106469311,2.1999122311414343
1964,2003,Latin America and the Caribbean,EFConsPerCap,0.4027415329146415,0.9356860720702987,0.40848365093043787,0.10567148939846245,0.027580971386492563,0.3460461011520914,2.2262098178524234
1965,2003,Latin America and the Caribbean,EFConsPerCap,0.3621874082378319,0.946637599925895,0.4072604024678357,0.09386718598700697,0.028119306988933036,0.3378301507212703,2.175902054328773
1966,2003,Latin America and the Caribbean,EFConsPerCap,0.36808725381491564,0.9313321159828991,0.39610897666913963,0.10420870695750675,0.02848921932289251,0.36683983994077235,2.1950661126881266
1967,2003,Latin America and the Caribbean,EFConsPerCap,0.3935091208227021,0.936508743764313,0.39339980177017386,0.10462348327950144,0.029222645214855653,0.42127733079520835,2.2785411256467514
1968,2003,Latin America and the Caribbean,EFConsPerCap,0.36977606483894854,0.9148426704535773,0.40092094719107063,0.10785035685022365,0.028957020588510955,0.4485065425577713,2.2708536024801043
1969,2003,Latin America and the Caribbean,EFConsPerCap,0.3643505653935202,0.8673091128671954,0.39784423922335393,0.09493314099201851,0.02885764101409499,0.4707277092060002,2.2240224086961837
1970,2003,Latin America and the Caribbean,EFConsPerCap,0.36806983225210027,0.8684589301686635,0.40355900759991226,0.10731434253976893,0.030462539026364862,0.5620420558951953,2.3399067074820086
1971,2003,Latin America and the Caribbean,EFConsPerCap,0.379991527511707,0.8893203190262561,0.4006687193848053,0.10876889901920848,0.030989393122521667,0.5801049494776962,2.389843807542196
1972,2003,Latin America and the Caribbean,EFConsPerCap,0.3797410540373439,0.8854683741604981,0.3940754863523087,0.08937289082597308,0.029717839957021923,0.5725638689503747,2.350939514283518
1973,2003,Latin America and the Caribbean,EFConsPerCap,0.39206825453087263,0.9044929192936847,0.3840957773697613,0.08946979153543429,0.031111632528673945,0.6686118624538556,2.4698502377122833
1974,2003,Latin America and the Caribbean,EFConsPerCap,0.42280019920659756,0.9606736687738787,0.38946832903173756,0.09031392063259087,0.03216715594319702,0.7333775380335216,2.62880081162152
1975,2003,Latin America and the Caribbean,EFConsPerCap,0.40985595826519333,0.9508179259251694,0.3950953705229538,0.07564707439512357,0.031843573225895316,0.7476544989245555,2.610914401258891
1976,2003,Latin America and the Caribbean,EFConsPerCap,0.39177382977376507,0.9435041294739809,0.40093249718609963,0.07653278012272788,0.031954145465084266,0.7375217559729113,2.582219137994567
1977,2003,Latin America and the Caribbean,EFConsPerCap,0.38792324559386954,0.9393276926976082,0.4034405658906543,0.08294685151293887,0.033026430238845966,0.747077393478495,2.593742179412411
