year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1962,2004,North America,BiocapPerCap,1.785819914590348,0.5528449436029446,4.239521082048256,1.1227154919829132,0.02619404649115738,0.0,7.72709547871564
1963,2004,North America,BiocapPerCap,1.8837029334135373,0.5364979025513021,4.171557697620732,1.1050565254378577,0.027851423296246694,0.0,7.724666482319682
1964,2004,North America,BiocapPerCap,1.7323973935338142,0.5270610468146819,4.108646987694834,1.0879431056346769,0.026293167651418044,0.0,7.482341701329405
1965,2004,North America,BiocapPerCap,1.8692102572805867,0.5161146770610358,4.054186156827372,1.0720028538116066,0.029185098674611835,0.0,7.540699043655227
1966,2004,North America,BiocapPerCap,1.8096641278225305,0.5097845363989505,4.011212175974951,1.0566183783126177,0.02893928136828559,0.0,7.416218499877345
1967,2004,North America,BiocapPerCap,1.7463964247590298,0.5048109802835701,3.966965917530913,1.044253200396148,0.030298007191585135,0.0,7.29272453016123
1968,2004,North America,BiocapPerCap,1.8889013765536844,0.48918045491808687,3.9187544526381273,1.0307520056474897,0.030657504457939362,0.0,7.35824579421531
1969,2004,North America,BiocapPerCap,2.0316480459418886,0.4715370390067881,3.867286263485142,1.020533041319351,0.02969287836217795,0.0,7.420697268115361
1970,2004,North America,BiocapPerCap,1.9279904899620617,0.4640466071329859,3.812266533252113,1.0071470187567826,0.02810536582300592,0.0,7.239556014926949
1971,2004,North America,BiocapPerCap,2.0145588562683847,0.45493288744497445,3.762066630142182,0.9900709650267852,0.03215174174797193,0.0,7.25378108063032
2017,2004,North America,BiocapPerCap,1.8048330957106802,0.25707030166613626,2.244877243979945,0.6089439546753114,0.06690524953467031,0.0,4.982629845566732
1972,2004,North America,BiocapPerCap,1.9886954033859967,0.4483116352858786,3.711080312519465,0.9774478110025463,0.030970537934139973,0.0,7.1565057001280525
1973,2004,North America,BiocapPerCap,1.9127792825604668,0.4428944238451359,3.668311953161038,0.9680263072023594,0.033426933329517766,0.0,7.025438900098539
