year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,2005,Oceania,BiocapPerCap,0.26176815410416276,0.09300460144804575,2.6597130296761424,1.434958037201004,0.03140855154616967,0.0,4.480852373975524
1962,2005,Oceania,BiocapPerCap,0.2874460036136242,0.09004060384466478,2.5790656005609605,1.389226835550813,0.035584523891471494,0.0,4.381363567461532
1963,2005,Oceania,BiocapPerCap,0.313664468883127,0.08688015509030528,2.4982781443392046,1.345319542103968,0.039718917246897384,0.0,4.2838612276634915
1964,2005,Oceania,BiocapPerCap,0.3036265817620636,0.08415092797524021,2.4222756671879155,1.3030580778038592,0.03965245482839873,0.0,4.152763709557482
1965,2005,Oceania,BiocapPerCap,0.2872152547965203,0.08107278892169122,2.3525947522983732,1.26301784631436,0.039872622445821404,0.0,4.0237732647767634
1966,2005,Oceania,BiocapPerCap,0.3049814502994353,0.07862360458681186,2.307169384755555,1.2248624607033636,0.043164127046741635,0.0,3.9588010273918957
1967,2005,Oceania,BiocapPerCap,0.2993076909895518,0.07641318607347745,2.25065722178278,1.1933256083572858,0.04438485263962704,0.0,3.864088559842711
1968,2005,Oceania,BiocapPerCap,0.3235260900265624,0.07343149550323769,2.1979613237548,1.1637648112483008,0.0493655862938456,0.0,3.8080493068267454
1969,2005,Oceania,BiocapPerCap,0.3043135580326071,0.07376327764758812,2.148068211608831,1.1403665673668035,0.04744096932487931,0.0,3.713952583980702
1970,2005,Oceania,BiocapPerCap,0.3268536363869121,0.07225702794939692,2.1033088744726833,1.1170802268908542,0.05200778523862791,0.0,3.6715075509384727
1971,2005,Oceania,BiocapPerCap,0.3222294711619554,0.07061641592982155,2.06746232182855,1.09171666989055,0.05227929711274628,0.0,3.604304175923625
1972,2005,Oceania,BiocapPerCap,0.2906284510870477,0.07376043614942802,2.0303694668045034,1.0708271860491314,0.04677820082116028,0.0,3.5123637409112676
1973,2005,Oceania,BiocapPerCap,0.3155450574036544,0.0767474731795612,1.9978878137582279,1.0535614869304417,0.051049036820823734,0.0,3.4947908680927027
1974,2005,Oceania,BiocapPerCap,0.3026463722451456,0.07941111291659468,1.966759704572503,1.0338675223180405,0.04893094495303234,0.0,3.4316156570053113
1975,2005,Oceania,BiocapPerCap,0.29458962282233014,0.07833665485048019,1.936300412024578,1.0147289822279282,0.043299991367233816,0.0,3.3672556632925614
1976,2005,Oceania,BiocapPerCap,0.30024954378242164,0.0850893171913818,1.8983226996193874,0.9949938469733739,0.04432580202671874,0.0,3.322981209593271
1977,2005,Oceania,BiocapPerCap,0.336743981130805,0.08733834962916139,1.857298253960243,0.9718161558902749,0.04977280668167145,0.0,3.302969547292158
1978,2005,Oceania,BiocapPerCap,0.36922480730440294,0.08936768875901768,1.809442845202775,0.9484488175219642,0.048922198749912084,0.0,3.265406357538066
1979,2005,Oceania,BiocapPerCap,0.40259715725033596,0.09089739428441654,1.764310183507384,0.9257379989716391,0.05656871632927875,0.0,3.2401114503430497
1980,2005,Oceania,BiocapPerCap,0.35946764824774197,0.09263473946096726,1.7091814159936827,0.906822379843964,0.0520443859168441,0.0,3.1201505694632026
1981,2005,Oceania,BiocapPerCap,0.3930697150058944,0.09396116937240785,1.6676758307098527,0.8822068356565808,0.0530964694183658,0.0,3.090010020163102
