year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,3,Albania,EFConsPerCap,0.275159523265063,0.427850191427229,0.450761918259167,0.00318328282790811,0.0114231603523288,0.423494264087943,1.59187234021964
1961,3,Albania,BiocapPerCap,0.127647630791862,0.435338099400232,0.470712228235574,0.156322041524205,0.0114231603523288,0.0,1.2014431603042
1962,3,Albania,EFConsPerCap,0.218344751529155,0.41061727085643,0.388457000932065,0.00262735684686127,0.0130671621309084,0.430866134382907,1.46397967667833
1962,3,Albania,BiocapPerCap,0.144109241275892,0.417655012796818,0.45320625966568,0.151093169825323,0.0130671621309084,0.0,1.17913084569462
1963,3,Albania,EFConsPerCap,0.223921649443299,0.381648249659082,0.417072091575355,0.0027453872774901,0.0125385780914347,0.327899647761551,1.36582560380821
1963,3,Albania,BiocapPerCap,0.136496368066649,0.401555994207906,0.435208991332973,0.146197632024478,0.0125385780914347,0.0,1.13199756372344
1964,3,Albania,EFConsPerCap,0.234041537050177,0.376874206858594,0.444808460748839,0.00250399100873903,0.0144225630016884,0.295355279766177,1.36800603843421
1964,3,Albania,BiocapPerCap,0.154301015096578,0.385123793477835,0.418634220374785,0.141492570127023,0.0144225630016884,0.0,1.11397416207791
1965,3,Albania,EFConsPerCap,0.244278219204866,0.359491266930251,0.463494342184963,0.00336925191667522,0.01363596757468,0.301360305325604,1.38562935313704
1965,3,Albania,BiocapPerCap,0.147614995069503,0.369442340154866,0.404951344652886,0.137027969464128,0.01363596757468,0.0,1.07267261691606
1966,3,Albania,EFConsPerCap,0.250596376851827,0.343966874019134,0.424220394542236,0.00326648883690027,0.0160901310195356,0.363935209893907,1.40207547516354
1966,3,Albania,BiocapPerCap,0.175021943543466,0.353537233406784,0.392173674556277,0.132650856505345,0.0160901310195356,0.0,1.06947383903141
1967,3,Albania,EFConsPerCap,0.246156537620838,0.337772109554914,0.361073715904445,0.00459131802633382,0.0167338791546595,0.410271209404133,1.37659876966532
1967,3,Albania,BiocapPerCap,0.182157249379865,0.339920046776968,0.379414955074103,0.128686409412259,0.0167338791546595,0.0,1.04691253979785
1968,3,Albania,EFConsPerCap,0.246950560530797,0.31839936619359,0.44233711714539,0.00532001543955938,0.017620338760671,0.450857957685286,1.48148535575529
1968,3,Albania,BiocapPerCap,0.19103764284547,0.323961987800977,0.366371430227512,0.124691983762285,0.017620338760671,0.0,1.02368338339692
1969,3,Albania,EFConsPerCap,0.249301005473684,0.305829715143596,0.534328520896565,0.00604875325079559,0.0183754633335738,0.455927174973729,1.56981063307194
1969,3,Albania,BiocapPerCap,0.199155433343417,0.30883649724797,0.35483099758184,0.121281073044376,0.0183754633335738,0.0,1.00247946455118
1970,3,Albania,EFConsPerCap,0.258932657927373,0.295505604069014,0.534778008910898,0.00655853575902754,0.0188508214894401,0.563640497776085,1.67826612593184
1970,3,Albania,BiocapPerCap,0.203547450404414,0.29455762875276,0.343594745946789,0.117872621696491,0.0188508214894401,0.0,0.978423268289894
1971,3,Albania,EFConsPerCap,0.260413533015492,0.272910568851395,0.500693412456455,0.00634427746835321,0.0195591589108197,0.632483179495147,1.69240413019766
1971,3,Albania,BiocapPerCap,0.209309345019337,0.272068768933673,0.335813122509866,0.114260772157387,0.0195591589108197,0.0,0.951011167531083
1972,3,Albania,EFConsPerCap,0.267491654419729,0.258366180527989,0.487443709064084,0.006435967948009,0.0195361450648487,0.649657584669731,1.68893124169439
1972,3,Albania,BiocapPerCap,0.208509324717232,0.251916546121784,0.324540272493327,0.111101960714579,0.0195361450648487,0.0,0.91560424911177
1973,3,Albania,EFConsPerCap,0.282753524537823,0.241412088441895,0.475177128346914,0.00633235979801422,0.0214361063456714,0.585465473128581,1.6125766805989
1973,3,Albania,BiocapPerCap,0.227551098363707,0.233009219615533,0.315339277465051,0.108292219831686,0.0214361063456714,0.0,0.905627921621648
1974,3,Albania,EFConsPerCap,0.281778384501984,0.219032296931458,0.463419221842918,0.0064089855273879,0.0221014281800428,0.603297916995525,1.59603823397932
1974,3,Albania,BiocapPerCap,0.235278628891985,0.214447022165048,0.306528124134966,0.105278714522541,0.0221014281800428,0.0,0.883633917894582
1975,3,Albania,EFConsPerCap,0.28972001125304,0.19463633942302,0.452581960630967,0.00619545083616813,0.0229784716819786,0.648166963783312,1.61427919760848
1975,3,Albania,BiocapPerCap,0.242743060343855,0.1928940862351,0.24913827946445,0.10250085905914,0.0229784716819786,0.0,0.810254756784525
1976,3,Albania,EFConsPerCap,0.322159719942498,0.185652651397096,0.441461898766917,0.00598004233306288,0.026209213583561,0.663277780098735,1.64474130612187
1976,3,Albania,BiocapPerCap,0.281241493497754,0.180748071210086,0.243016884178422,0.0999991986920516,0.026209213583561,0.0,0.831214861161874
1977,3,Albania,EFConsPerCap,0.325424326162049,0.19039493114696,0.431522269207313,0.00585698657137453,0.0275495375216964,0.68008214322506,1.66083019383445
1977,3,Albania,BiocapPerCap,0.292226785698522,0.185054373445454,0.237780024329006,0.0975795062011066,0.0275495375216964,0.0,0.840190227195785
1978,3,Albania,EFConsPerCap,0.316660514623655,0.190568033740957,0.421559893043648,0.00574414587820793,0.0272194616883574,0.764020078415182,1.72577212739001
1978,3,Albania,BiocapPerCap,0.285032057711131,0.181399276381094,0.23229049524648,0.09549513661523,0.0272194616883574,0.0,0.821436427642293
1979,3,Albania,EFConsPerCap,0.317481328419471,0.187742900592183,0.413173197619939,0.00559681924930213,0.0277966066142796,0.901238177516341,1.85302903001152
1979,3,Albania,BiocapPerCap,0.285488589754999,0.178844240187952,0.227444459855065,0.093691076718605,0.0277966066142796,0.0,0.813264973130901
1980,3,Albania,EFConsPerCap,0.287644662463641,0.181820489194334,0.402893939291569,0.00559183179775688,0.0254097794048829,0.815657506160135,1.71901820831232
