year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,7,Angola,EFConsPerCap,,,,,,,1.11760739800014
1961,7,Angola,BiocapPerCap,,,,,,,9.30892675515153
1962,7,Angola,EFConsPerCap,,,,,,,1.12947412512028
1962,7,Angola,BiocapPerCap,,,,,,,9.16606352082858
1963,7,Angola,EFConsPerCap,,,,,,,1.1589159017941
1963,7,Angola,BiocapPerCap,,,,,,,9.02970748046664
1964,7,Angola,EFConsPerCap,,,,,,,1.26743881691015
1964,7,Angola,BiocapPerCap,,,,,,,8.95920066061829
1965,7,Angola,EFConsPerCap,,,,,,,1.20584713275425
1965,7,Angola,BiocapPerCap,,,,,,,8.82804251418951
1966,7,Angola,EFConsPerCap,,,,,,,1.36184671734031
1966,7,Angola,BiocapPerCap,,,,,,,8.79532721859409
1967,7,Angola,EFConsPerCap,,,,,,,1.30104396374842
1967,7,Angola,BiocapPerCap,,,,,,,8.72322793511412
1968,7,Angola,EFConsPerCap,,,,,,,1.25605451501677
1968,7,Angola,BiocapPerCap,,,,,,,8.648617162786
1969,7,Angola,EFConsPerCap,,,,,,,1.35079642537172
1969,7,Angola,BiocapPerCap,,,,,,,8.56157584420084
1970,7,Angola,EFConsPerCap,,,,,,,1.55014112183649
1970,7,Angola,BiocapPerCap,,,,,,,8.45193621543523
1971,7,Angola,EFConsPerCap,,,,,,,1.4842807537125
1971,7,Angola,BiocapPerCap,,,,,,,8.21720416349151
1972,7,Angola,EFConsPerCap,,,,,,,1.50910567320182
1972,7,Angola,BiocapPerCap,,,,,,,7.95299225100341
1973,7,Angola,EFConsPerCap,,,,,,,1.32804851301174
1973,7,Angola,BiocapPerCap,,,,,,,7.71602184555193
1974,7,Angola,EFConsPerCap,,,,,,,1.35385774332732
1974,7,Angola,BiocapPerCap,,,,,,,7.43575972721908
1975,7,Angola,EFConsPerCap,,,,,,,1.35252376233841
1975,7,Angola,BiocapPerCap,,,,,,,7.17190778277069
1976,7,Angola,EFConsPerCap,,,,,,,1.23427581423915
1976,7,Angola,BiocapPerCap,,,,,,,6.87380969812855
1977,7,Angola,EFConsPerCap,,,,,,,1.29082810457763
1977,7,Angola,BiocapPerCap,,,,,,,6.60982632007912
1978,7,Angola,EFConsPerCap,,,,,,,1.19714427123466
1978,7,Angola,BiocapPerCap,,,,,,,6.36154518839955
1979,7,Angola,EFConsPerCap,,,,,,,1.10509029555282
1979,7,Angola,BiocapPerCap,,,,,,,6.11198751092982
1980,7,Angola,EFConsPerCap,,,,,,,1.21945383628776
1980,7,Angola,BiocapPerCap,,,,,,,5.91919197616955
1981,7,Angola,EFConsPerCap,,,,,,,1.14714155520855
1981,7,Angola,BiocapPerCap,,,,,,,5.67256670329536
1982,7,Angola,EFConsPerCap,,,,,,,1.07888360418143
1982,7,Angola,BiocapPerCap,,,,,,,5.4670195151099
1983,7,Angola,EFConsPerCap,,,,,,,1.01494670465455
1983,7,Angola,BiocapPerCap,,,,,,,5.26051820162669
1984,7,Angola,EFConsPerCap,,,,,,,1.0427908873346
1984,7,Angola,BiocapPerCap,,,,,,,5.05997850603241
1985,7,Angola,EFConsPerCap,,,,,,,1.07556882474397
1985,7,Angola,BiocapPerCap,,,,,,,4.8641498791972
1986,7,Angola,EFConsPerCap,,,,,,,1.05189655772918
1986,7,Angola,BiocapPerCap,,,,,,,4.67896742010903
1987,7,Angola,EFConsPerCap,,,,,,,0.994875764656239
1987,7,Angola,BiocapPerCap,,,,,,,4.51461023380031
1988,7,Angola,EFConsPerCap,,,,,,,0.998862420697121
1988,7,Angola,BiocapPerCap,,,,,,,4.35666895446944
1989,7,Angola,EFConsPerCap,,,,,,,0.962000954252213
1989,7,Angola,BiocapPerCap,,,,,,,4.21036878183031
1990,7,Angola,EFConsPerCap,,,,,,,0.895191606615706
1990,7,Angola,BiocapPerCap,,,,,,,4.07607156823527
1991,7,Angola,EFConsPerCap,,,,,,,0.844440801090976
1991,7,Angola,BiocapPerCap,,,,,,,3.94267114637092
1992,7,Angola,EFConsPerCap,,,,,,,0.85173655938288
1992,7,Angola,BiocapPerCap,,,,,,,3.85598435347637
1993,7,Angola,EFConsPerCap,,,,,,,0.818288905906684
1993,7,Angola,BiocapPerCap,,,,,,,3.72112100185749
1994,7,Angola,EFConsPerCap,,,,,,,0.839800704274159
1994,7,Angola,BiocapPerCap,,,,,,,3.65558857160686
1995,7,Angola,EFConsPerCap,,,,,,,0.791332011229806
1995,7,Angola,BiocapPerCap,,,,,,,3.52521610413795
1996,7,Angola,EFConsPerCap,,,,,,,0.801488057156825
1996,7,Angola,BiocapPerCap,,,,,,,3.40968292532127
1997,7,Angola,EFConsPerCap,,,,,,,0.795550131661618
1997,7,Angola,BiocapPerCap,,,,,,,3.28839494262667
1998,7,Angola,EFConsPerCap,,,,,,,0.81234699321127
1998,7,Angola,BiocapPerCap,,,,,,,3.20978836616138
1999,7,Angola,EFConsPerCap,,,,,,,0.821012369393637
1999,7,Angola,BiocapPerCap,,,,,,,3.09724996326911
2000,7,Angola,EFConsPerCap,,,,,,,0.841990216390064
2000,7,Angola,BiocapPerCap,,,,,,,3.01621288529925
2001,7,Angola,EFConsPerCap,,,,,,,0.839644692702663
2001,7,Angola,BiocapPerCap,,,,,,,2.93072379575272
2002,7,Angola,EFConsPerCap,,,,,,,0.856792771716347
2002,7,Angola,BiocapPerCap,,,,,,,2.84487882859024
2003,7,Angola,EFConsPerCap,,,,,,,0.880244978778752
2003,7,Angola,BiocapPerCap,,,,,,,2.73311003444078
2004,7,Angola,EFConsPerCap,,,,,,,0.860194852529517
2004,7,Angola,BiocapPerCap,,,,,,,2.61928478692051
2005,7,Angola,EFConsPerCap,,,,,,,0.844602002702717
2005,7,Angola,BiocapPerCap,,,,,,,2.51839727875016
2006,7,Angola,EFConsPerCap,,,,,,,0.864511945609697
2006,7,Angola,BiocapPerCap,,,,,,,2.41219085681502
2007,7,Angola,EFConsPerCap,,,,,,,0.899411741785021
2007,7,Angola,BiocapPerCap,,,,,,,2.3248383467616
