year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1980,8,Antigua and Barbuda,EFConsPerCap,,,,,,,1.60473746483893
1980,8,Antigua and Barbuda,BiocapPerCap,,,,,,,1.40564071105253
1981,8,Antigua and Barbuda,EFConsPerCap,,,,,,,1.9243235400425
1981,8,Antigua and Barbuda,BiocapPerCap,,,,,,,1.40733709998622
1982,8,Antigua and Barbuda,EFConsPerCap,,,,,,,2.40830364569062
1982,8,Antigua and Barbuda,BiocapPerCap,,,,,,,1.40480805245855
1983,8,Antigua and Barbuda,EFConsPerCap,,,,,,,1.35949457687463
1983,8,Antigua and Barbuda,BiocapPerCap,,,,,,,1.39861312682897
1984,8,Antigua and Barbuda,EFConsPerCap,,,,,,,1.79034620843317
1984,8,Antigua and Barbuda,BiocapPerCap,,,,,,,1.34983656562267
1985,8,Antigua and Barbuda,EFConsPerCap,,,,,,,2.26718522983902
1985,8,Antigua and Barbuda,BiocapPerCap,,,,,,,1.32321285085803
1986,8,Antigua and Barbuda,EFConsPerCap,,,,,,,2.31389818307967
1986,8,Antigua and Barbuda,BiocapPerCap,,,,,,,1.33021728834964
1987,8,Antigua and Barbuda,EFConsPerCap,,,,,,,2.48103147116295
1987,8,Antigua and Barbuda,BiocapPerCap,,,,,,,1.33755085042425
1988,8,Antigua and Barbuda,EFConsPerCap,,,,,,,2.64780956158078
1988,8,Antigua and Barbuda,BiocapPerCap,,,,,,,1.34277581140336
1989,8,Antigua and Barbuda,EFConsPerCap,,,,,,,2.73069897710737
1989,8,Antigua and Barbuda,BiocapPerCap,,,,,,,1.34208975576893
1990,8,Antigua and Barbuda,EFConsPerCap,,,,,,,2.3926949809515
1990,8,Antigua and Barbuda,BiocapPerCap,,,,,,,1.35506602216135
1991,8,Antigua and Barbuda,EFConsPerCap,,,,,,,2.39356264906111
1991,8,Antigua and Barbuda,BiocapPerCap,,,,,,,1.34907828794795
1992,8,Antigua and Barbuda,EFConsPerCap,,,,,,,2.36591321054819
