year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,10,Australia,EFConsPerCap,,,,,,,7.58952289088953
1961,10,Australia,BiocapPerCap,,,,,,,29.7525979789513
1962,10,Australia,EFConsPerCap,,,,,,,7.4379487233525
1962,10,Australia,BiocapPerCap,,,,,,,29.4224317866888
1963,10,Australia,EFConsPerCap,,,,,,,7.79144533417496
1963,10,Australia,BiocapPerCap,,,,,,,29.0954324829183
1964,10,Australia,EFConsPerCap,,,,,,,7.48423161411364
1964,10,Australia,BiocapPerCap,,,,,,,28.6772921413562
1965,10,Australia,EFConsPerCap,,,,,,,6.9691631689478
1965,10,Australia,BiocapPerCap,,,,,,,27.8237481420877
1966,10,Australia,EFConsPerCap,,,,,,,8.21751244374407
1966,10,Australia,BiocapPerCap,,,,,,,27.9426453772475
1967,10,Australia,EFConsPerCap,,,,,,,7.21144458691964
1967,10,Australia,BiocapPerCap,,,,,,,26.6393710352936
1968,10,Australia,EFConsPerCap,,,,,,,8.87694042859523
1968,10,Australia,BiocapPerCap,,,,,,,27.6900377429461
1969,10,Australia,EFConsPerCap,,,,,,,8.43600997558295
1969,10,Australia,BiocapPerCap,,,,,,,26.6512453993585
1970,10,Australia,EFConsPerCap,,,,,,,8.37507954470119
1970,10,Australia,BiocapPerCap,,,,,,,25.5327367079378
1971,10,Australia,EFConsPerCap,,,,,,,8.18238238846409
1971,10,Australia,BiocapPerCap,,,,,,,24.730168075456
1972,10,Australia,EFConsPerCap,,,,,,,7.44672950454784
1972,10,Australia,BiocapPerCap,,,,,,,23.7942302751866
1973,10,Australia,EFConsPerCap,,,,,,,8.27414555643019
1973,10,Australia,BiocapPerCap,,,,,,,23.6770088791456
1974,10,Australia,EFConsPerCap,,,,,,,9.96976599367276
1974,10,Australia,BiocapPerCap,,,,,,,23.4029275794386
1975,10,Australia,EFConsPerCap,,,,,,,10.3607382778091
1975,10,Australia,BiocapPerCap,,,,,,,23.0791356207181
1976,10,Australia,EFConsPerCap,,,,,,,9.11516762808129
1976,10,Australia,BiocapPerCap,,,,,,,22.7251131607745
1977,10,Australia,EFConsPerCap,,,,,,,8.12324851036053
1977,10,Australia,BiocapPerCap,,,,,,,21.9626286133357
1978,10,Australia,EFConsPerCap,,,,,,,8.97559358354798
1978,10,Australia,BiocapPerCap,,,,,,,22.5018916793554
1979,10,Australia,EFConsPerCap,,,,,,,8.37059215998649
1979,10,Australia,BiocapPerCap,,,,,,,22.1315542693326
1980,10,Australia,EFConsPerCap,,,,,,,7.66703728575954
1980,10,Australia,BiocapPerCap,,,,,,,21.4930896819543
1981,10,Australia,EFConsPerCap,,,,,,,7.94816316029841
1981,10,Australia,BiocapPerCap,,,,,,,21.5668893348669
1982,10,Australia,EFConsPerCap,,,,,,,6.86046930479464
1982,10,Australia,BiocapPerCap,,,,,,,20.5224627937852
1983,10,Australia,EFConsPerCap,,,,,,,7.06030307787936
1983,10,Australia,BiocapPerCap,,,,,,,20.7965541638215
1984,10,Australia,EFConsPerCap,,,,,,,7.24388443759658
1984,10,Australia,BiocapPerCap,,,,,,,20.6812000884361
1985,10,Australia,EFConsPerCap,,,,,,,6.79055038567247
1985,10,Australia,BiocapPerCap,,,,,,,20.2081424480967
1986,10,Australia,EFConsPerCap,,,,,,,6.29892664525468
1986,10,Australia,BiocapPerCap,,,,,,,19.5604871112217
1987,10,Australia,EFConsPerCap,,,,,,,5.80523084292087
1987,10,Australia,BiocapPerCap,,,,,,,19.1500048891548
1988,10,Australia,EFConsPerCap,,,,,,,6.96952998295935
1988,10,Australia,BiocapPerCap,,,,,,,18.9138661606356
1989,10,Australia,EFConsPerCap,,,,,,,7.90483464771051
1989,10,Australia,BiocapPerCap,,,,,,,18.5062760092593
1990,10,Australia,EFConsPerCap,,,,,,,7.67750950747618
1990,10,Australia,BiocapPerCap,,,,,,,18.0818737760872
1991,10,Australia,EFConsPerCap,,,,,,,7.37660094408237
1991,10,Australia,BiocapPerCap,,,,,,,17.8769303591764
1992,10,Australia,EFConsPerCap,,,,,,,6.44252847820788
1992,10,Australia,BiocapPerCap,,,,,,,17.8500786256872
1993,10,Australia,EFConsPerCap,,,,,,,6.86618172449502
1993,10,Australia,BiocapPerCap,,,,,,,17.7093397568934
1994,10,Australia,EFConsPerCap,,,,,,,7.13947235775309
1994,10,Australia,BiocapPerCap,,,,,,,17.8878465607676
1995,10,Australia,EFConsPerCap,,,,,,,6.79272822933606
1995,10,Australia,BiocapPerCap,,,,,,,17.0016201308474
1996,10,Australia,EFConsPerCap,,,,,,,7.25898154151517
1996,10,Australia,BiocapPerCap,,,,,,,17.4496437581815
1997,10,Australia,EFConsPerCap,,,,,,,7.28637380584686
1997,10,Australia,BiocapPerCap,,,,,,,17.4854621066749
1998,10,Australia,EFConsPerCap,,,,,,,7.63074029000022
1998,10,Australia,BiocapPerCap,,,,,,,17.230638784416
1999,10,Australia,EFConsPerCap,,,,,,,7.86840499403618
1999,10,Australia,BiocapPerCap,,,,,,,17.072448597679
2000,10,Australia,EFConsPerCap,,,,,,,8.36990435096676
2000,10,Australia,BiocapPerCap,,,,,,,17.0260165970942
2001,10,Australia,EFConsPerCap,,,,,,,8.24680352154406
2001,10,Australia,BiocapPerCap,,,,,,,16.8424141782299
2002,10,Australia,EFConsPerCap,,,,,,,8.21787539001154
2002,10,Australia,BiocapPerCap,,,,,,,16.5748472922435
2003,10,Australia,EFConsPerCap,,,,,,,7.9325893686367
2003,10,Australia,BiocapPerCap,,,,,,,15.1727000792141
2004,10,Australia,EFConsPerCap,,,,,,,8.62331210112723
2004,10,Australia,BiocapPerCap,,,,,,,15.2427535148096
2005,10,Australia,EFConsPerCap,,,,,,,8.60565027147222
2005,10,Australia,BiocapPerCap,,,,,,,15.091852713999
2006,10,Australia,EFConsPerCap,,,,,,,8.58193144907505
2006,10,Australia,BiocapPerCap,,,,,,,14.9859182444261
2007,10,Australia,EFConsPerCap,,,,,,,8.30683531804484
2007,10,Australia,BiocapPerCap,,,,,,,13.4750547110751
2008,10,Australia,EFConsPerCap,,,,,,,8.41797738485286
2008,10,Australia,BiocapPerCap,,,,,,,13.3678352089428
2009,10,Australia,EFConsPerCap,,,,,,,7.91053084509904
2009,10,Australia,BiocapPerCap,,,,,,,13.4850935820123
2010,10,Australia,EFConsPerCap,,,,,,,7.96399718259903
2010,10,Australia,BiocapPerCap,,,,,,,13.1466761250185
2011,10,Australia,EFConsPerCap,,,,,,,8.90478402981421
2011,10,Australia,BiocapPerCap,,,,,,,14.0369090906475
2012,10,Australia,EFConsPerCap,,,,,,,8.22209087415888
2012,10,Australia,BiocapPerCap,,,,,,,13.7819951041922
2013,10,Australia,EFConsPerCap,,,,,,,7.26708895156963
2013,10,Australia,BiocapPerCap,,,,,,,12.9788084127706
2014,10,Australia,EFConsPerCap,,,,,,,7.20520232504718
2014,10,Australia,BiocapPerCap,,,,,,,13.0994256529111
2015,10,Australia,EFConsPerCap,,,,,,,6.68600636163754
2015,10,Australia,BiocapPerCap,,,,,,,12.2600890757348
2016,10,Australia,EFConsPerCap,,,,,,,6.86539581172402
2016,10,Australia,BiocapPerCap,,,,,,,12.0822628225978
2017,10,Australia,EFConsPerCap,,,,,,,7.86148398654414
2017,10,Australia,BiocapPerCap,,,,,,,12.988596955847
2018,10,Australia,EFConsPerCap,,,,,,,7.22877992173364
2018,10,Australia,BiocapPerCap,,,,,,,11.9490248520008
2019,10,Australia,EFConsPerCap,,,,,,,6.58406467023356
2019,10,Australia,BiocapPerCap,,,,,,,11.4333800734206
2020,10,Australia,EFConsPerCap,,,,,,,6.3168913508311
2020,10,Australia,BiocapPerCap,,,,,,,11.1159778050819
2021,10,Australia,EFConsPerCap,,,,,,,6.85463219357266
2021,10,Australia,BiocapPerCap,,,,,,,12.1801867504214
2022,10,Australia,EFConsPerCap,,,,,,,7.30717241071621
2022,10,Australia,BiocapPerCap,,,,,,,12.2516138069525
2023,10,Australia,EFConsPerCap,,,,,,,7.41898494556023
2023,10,Australia,BiocapPerCap,,,,,,,12.1278758111853
2024,10,Australia,EFConsPerCap,0.915748158285186,0.605079669409087,0.822851720529826,0.121822140052586,0.0567099814731853,4.75667712773966,7.27888879748953
2024,10,Australia,BiocapPerCap,2.99817073746083,4.34385383142023,1.87862530397775,2.72950154558164,0.0567099814731853,0.0,12.0068613999136
