year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1996,52,Azerbaijan,EFConsPerCap,,,,,,,1.96982182534353
1996,52,Azerbaijan,BiocapPerCap,,,,,,,0.73787061781443
1997,52,Azerbaijan,EFConsPerCap,,,,,,,1.81145986482579
1997,52,Azerbaijan,BiocapPerCap,,,,,,,0.700167594839667
1998,52,Azerbaijan,EFConsPerCap,,,,,,,1.85244731914567
1998,52,Azerbaijan,BiocapPerCap,,,,,,,0.724175938827976
1999,52,Azerbaijan,EFConsPerCap,,,,,,,1.89325061498597
1999,52,Azerbaijan,BiocapPerCap,,,,,,,0.80257921080564
2000,52,Azerbaijan,EFConsPerCap,,,,,,,2.03648817787324
2000,52,Azerbaijan,BiocapPerCap,,,,,,,0.849540634254299
2001,52,Azerbaijan,EFConsPerCap,,,,,,,2.066378419427
2001,52,Azerbaijan,BiocapPerCap,,,,,,,0.903513179905059
2002,52,Azerbaijan,EFConsPerCap,,,,,,,2.0587526395662
2002,52,Azerbaijan,BiocapPerCap,,,,,,,0.914507522094009
2003,52,Azerbaijan,EFConsPerCap,,,,,,,2.2352990406197
2003,52,Azerbaijan,BiocapPerCap,,,,,,,0.930026614912583
2004,52,Azerbaijan,EFConsPerCap,,,,,,,2.22693612673424
2004,52,Azerbaijan,BiocapPerCap,,,,,,,0.882782950223765
2005,52,Azerbaijan,EFConsPerCap,,,,,,,2.38904395197773
2005,52,Azerbaijan,BiocapPerCap,,,,,,,0.915276610874309
2006,52,Azerbaijan,EFConsPerCap,,,,,,,2.33104155083325
2006,52,Azerbaijan,BiocapPerCap,,,,,,,0.891031734625399
2007,52,Azerbaijan,EFConsPerCap,,,,,,,2.18497412943762
2007,52,Azerbaijan,BiocapPerCap,,,,,,,0.903388566376063
2008,52,Azerbaijan,EFConsPerCap,,,,,,,1.82346556630651
2008,52,Azerbaijan,BiocapPerCap,,,,,,,0.907564477654445
2009,52,Azerbaijan,EFConsPerCap,,,,,,,1.90870547080078
2009,52,Azerbaijan,BiocapPerCap,,,,,,,0.890394328348121
2010,52,Azerbaijan,EFConsPerCap,,,,,,,1.85560306160605
2010,52,Azerbaijan,BiocapPerCap,,,,,,,0.799584085160965
2011,52,Azerbaijan,EFConsPerCap,,,,,,,2.12090023440418
2011,52,Azerbaijan,BiocapPerCap,,,,,,,0.853431593123457
2012,52,Azerbaijan,EFConsPerCap,,,,,,,2.23341377203174
2012,52,Azerbaijan,BiocapPerCap,,,,,,,0.87227530420303
2013,52,Azerbaijan,EFConsPerCap,,,,,,,2.26776898251748
2013,52,Azerbaijan,BiocapPerCap,,,,,,,0.875652519198885
2014,52,Azerbaijan,EFConsPerCap,,,,,,,2.12875045739853
2014,52,Azerbaijan,BiocapPerCap,,,,,,,0.801173462616665
2015,52,Azerbaijan,EFConsPerCap,,,,,,,2.19258618311325
2015,52,Azerbaijan,BiocapPerCap,,,,,,,0.899846344098654
2016,52,Azerbaijan,EFConsPerCap,,,,,,,2.01819775361469
2016,52,Azerbaijan,BiocapPerCap,,,,,,,0.89996256797565
2017,52,Azerbaijan,EFConsPerCap,,,,,,,2.10376735418623
2017,52,Azerbaijan,BiocapPerCap,,,,,,,0.889092375422971
2018,52,Azerbaijan,EFConsPerCap,,,,,,,2.17117974912241
2018,52,Azerbaijan,BiocapPerCap,,,,,,,0.932074718329439
2019,52,Azerbaijan,EFConsPerCap,,,,,,,2.29302355467697
2019,52,Azerbaijan,BiocapPerCap,,,,,,,0.967276075306651
2020,52,Azerbaijan,EFConsPerCap,,,,,,,2.17403856975915
2020,52,Azerbaijan,BiocapPerCap,,,,,,,0.971656478092572
2021,52,Azerbaijan,EFConsPerCap,,,,,,,2.16615072889491
2021,52,Azerbaijan,BiocapPerCap,,,,,,,0.984001507142632
2022,52,Azerbaijan,EFConsPerCap,,,,,,,2.25767073876397
2022,52,Azerbaijan,BiocapPerCap,,,,,,,0.945480742790411
2023,52,Azerbaijan,EFConsPerCap,,,,,,,2.35024134103852
2023,52,Azerbaijan,BiocapPerCap,,,,,,,0.940548437799486
2024,52,Azerbaijan,EFConsPerCap,0.744706225596031,0.192682055718193,0.12290276897688,0.00858143944160631,0.0496651988319674,1.26620310164581,2.38474079021049
2024,52,Azerbaijan,BiocapPerCap,0.601179189930893,0.163516754124788,0.107942550486492,0.0137146221581386,0.0496651988319674,0.0,0.936018315532279
