year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1966,20,Botswana,EFConsPerCap,,,,,,,1.56100720698126
1966,20,Botswana,BiocapPerCap,,,,,,,14.2139454128485
1967,20,Botswana,EFConsPerCap,,,,,,,1.93736364601237
1967,20,Botswana,BiocapPerCap,,,,,,,14.0039663718381
1968,20,Botswana,EFConsPerCap,,,,,,,2.83577673531141
1968,20,Botswana,BiocapPerCap,,,,,,,13.9360069492133
1969,20,Botswana,EFConsPerCap,,,,,,,3.27299461693444
1969,20,Botswana,BiocapPerCap,,,,,,,13.8078716762852
1970,20,Botswana,EFConsPerCap,,,,,,,2.87328370619064
1970,20,Botswana,BiocapPerCap,,,,,,,13.5538608630437
1971,20,Botswana,EFConsPerCap,,,,,,,2.95460417193232
1971,20,Botswana,BiocapPerCap,,,,,,,13.4267678323312
1972,20,Botswana,EFConsPerCap,,,,,,,3.50318970079481
1972,20,Botswana,BiocapPerCap,,,,,,,13.1664586854127
1973,20,Botswana,EFConsPerCap,,,,,,,2.13816920685914
1973,20,Botswana,BiocapPerCap,,,,,,,12.3208355587542
1974,20,Botswana,EFConsPerCap,,,,,,,2.16967139356525
1974,20,Botswana,BiocapPerCap,,,,,,,11.8121746067948
1975,20,Botswana,EFConsPerCap,,,,,,,2.13134774130239
1975,20,Botswana,BiocapPerCap,,,,,,,11.1423467676844
1976,20,Botswana,EFConsPerCap,,,,,,,2.36948711575509
1976,20,Botswana,BiocapPerCap,,,,,,,10.6035688625155
1977,20,Botswana,EFConsPerCap,,,,,,,2.69221486736406
1977,20,Botswana,BiocapPerCap,,,,,,,10.0339652101785
1978,20,Botswana,EFConsPerCap,,,,,,,3.00102572289626
1978,20,Botswana,BiocapPerCap,,,,,,,9.53371137699978
1979,20,Botswana,EFConsPerCap,,,,,,,2.13042698654837
1979,20,Botswana,BiocapPerCap,,,,,,,9.12186562322946
1980,20,Botswana,EFConsPerCap,,,,,,,2.98924344596554
1980,20,Botswana,BiocapPerCap,,,,,,,8.57736701989245
1981,20,Botswana,EFConsPerCap,,,,,,,2.38619197158318
1981,20,Botswana,BiocapPerCap,,,,,,,8.18549842563906
1982,20,Botswana,EFConsPerCap,,,,,,,2.21976950650634
1982,20,Botswana,BiocapPerCap,,,,,,,7.97743649634614
1983,20,Botswana,EFConsPerCap,,,,,,,2.11937960992594
1983,20,Botswana,BiocapPerCap,,,,,,,7.64321505760803
1984,20,Botswana,EFConsPerCap,,,,,,,2.48343231093718
1984,20,Botswana,BiocapPerCap,,,,,,,7.32393392320447
1985,20,Botswana,EFConsPerCap,,,,,,,2.14680901615841
1985,20,Botswana,BiocapPerCap,,,,,,,7.02804113674144
1986,20,Botswana,EFConsPerCap,,,,,,,1.83538044280507
1986,20,Botswana,BiocapPerCap,,,,,,,6.75250063023737
1987,20,Botswana,EFConsPerCap,,,,,,,2.17866826385576
1987,20,Botswana,BiocapPerCap,,,,,,,6.51451475252578
1988,20,Botswana,EFConsPerCap,,,,,,,2.46417951537569
1988,20,Botswana,BiocapPerCap,,,,,,,6.28648261986859
1989,20,Botswana,EFConsPerCap,,,,,,,2.43767889151087
1989,20,Botswana,BiocapPerCap,,,,,,,6.08340454891369
1990,20,Botswana,EFConsPerCap,,,,,,,2.64335043171726
1990,20,Botswana,BiocapPerCap,,,,,,,5.86000715234811
1991,20,Botswana,EFConsPerCap,,,,,,,2.24615194245637
1991,20,Botswana,BiocapPerCap,,,,,,,5.68704498148848
1992,20,Botswana,EFConsPerCap,,,,,,,2.34198125855556
1992,20,Botswana,BiocapPerCap,,,,,,,5.57638837038696
1993,20,Botswana,EFConsPerCap,,,,,,,2.01752685921312
1993,20,Botswana,BiocapPerCap,,,,,,,5.43930241691552
1994,20,Botswana,EFConsPerCap,,,,,,,2.22689030398505
1994,20,Botswana,BiocapPerCap,,,,,,,5.23529682162087
1995,20,Botswana,EFConsPerCap,,,,,,,2.76638333895692
1995,20,Botswana,BiocapPerCap,,,,,,,5.12128480216477
1996,20,Botswana,EFConsPerCap,,,,,,,2.580569486149
1996,20,Botswana,BiocapPerCap,,,,,,,4.95711742438789
1997,20,Botswana,EFConsPerCap,,,,,,,2.47464488568351
1997,20,Botswana,BiocapPerCap,,,,,,,4.82584162743584
1998,20,Botswana,EFConsPerCap,,,,,,,2.49922623638362
1998,20,Botswana,BiocapPerCap,,,,,,,4.73388245215003
1999,20,Botswana,EFConsPerCap,,,,,,,2.60957399813762
1999,20,Botswana,BiocapPerCap,,,,,,,4.61532290102227
2000,20,Botswana,EFConsPerCap,,,,,,,3.15792595649748
2000,20,Botswana,BiocapPerCap,,,,,,,4.50701546299324
2001,20,Botswana,EFConsPerCap,,,,,,,2.76580232462062
2001,20,Botswana,BiocapPerCap,,,,,,,4.46650344095696
2002,20,Botswana,EFConsPerCap,,,,,,,3.06016282250626
2002,20,Botswana,BiocapPerCap,,,,,,,4.35520997285724
2003,20,Botswana,EFConsPerCap,,,,,,,2.82721976213186
2003,20,Botswana,BiocapPerCap,,,,,,,4.3201116313871
2004,20,Botswana,EFConsPerCap,,,,,,,2.63362520378128
2004,20,Botswana,BiocapPerCap,,,,,,,4.15851397863902
2005,20,Botswana,EFConsPerCap,,,,,,,3.16915025257136
2005,20,Botswana,BiocapPerCap,,,,,,,4.07824227887049
2006,20,Botswana,EFConsPerCap,,,,,,,3.10043286803284
2006,20,Botswana,BiocapPerCap,,,,,,,3.97462643323659
2007,20,Botswana,EFConsPerCap,,,,,,,2.22665302499401
2007,20,Botswana,BiocapPerCap,,,,,,,3.92094053855441
2008,20,Botswana,EFConsPerCap,,,,,,,2.62519803111434
2008,20,Botswana,BiocapPerCap,,,,,,,3.83049997843366
2009,20,Botswana,EFConsPerCap,,,,,,,2.3690605263297
2009,20,Botswana,BiocapPerCap,,,,,,,3.73144873571849
2010,20,Botswana,EFConsPerCap,,,,,,,2.33664819294418
