year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,27,Bulgaria,EFConsPerCap,,,,,,,2.50536597824602
1961,27,Bulgaria,BiocapPerCap,,,,,,,1.91761046787795
1962,27,Bulgaria,EFConsPerCap,,,,,,,2.72076772513442
1962,27,Bulgaria,BiocapPerCap,,,,,,,1.89929408141463
1963,27,Bulgaria,EFConsPerCap,,,,,,,2.8566034419419
1963,27,Bulgaria,BiocapPerCap,,,,,,,1.92652915830725
1964,27,Bulgaria,EFConsPerCap,,,,,,,3.21975319732217
1964,27,Bulgaria,BiocapPerCap,,,,,,,1.99492927209789
1965,27,Bulgaria,EFConsPerCap,,,,,,,3.34223314890261
1965,27,Bulgaria,BiocapPerCap,,,,,,,2.07562050532407
1966,27,Bulgaria,EFConsPerCap,,,,,,,3.68817007071984
1966,27,Bulgaria,BiocapPerCap,,,,,,,2.26587903408976
1967,27,Bulgaria,EFConsPerCap,,,,,,,4.1120100056283
1967,27,Bulgaria,BiocapPerCap,,,,,,,2.25500627156568
1968,27,Bulgaria,EFConsPerCap,,,,,,,4.12039382589856
1968,27,Bulgaria,BiocapPerCap,,,,,,,2.04657447974903
1969,27,Bulgaria,EFConsPerCap,,,,,,,4.48674810964579
1969,27,Bulgaria,BiocapPerCap,,,,,,,2.17825381633283
1970,27,Bulgaria,EFConsPerCap,,,,,,,4.61174490964681
1970,27,Bulgaria,BiocapPerCap,,,,,,,2.25006405112052
1971,27,Bulgaria,EFConsPerCap,,,,,,,4.6813076437349
1971,27,Bulgaria,BiocapPerCap,,,,,,,2.23124521073773
1972,27,Bulgaria,EFConsPerCap,,,,,,,4.64566883890742
1972,27,Bulgaria,BiocapPerCap,,,,,,,2.35629961640549
1973,27,Bulgaria,EFConsPerCap,,,,,,,4.9004796221277
1973,27,Bulgaria,BiocapPerCap,,,,,,,2.29389632275065
1974,27,Bulgaria,EFConsPerCap,,,,,,,5.03860508274872
1974,27,Bulgaria,BiocapPerCap,,,,,,,2.19123043264433
1975,27,Bulgaria,EFConsPerCap,,,,,,,5.37294283736725
1975,27,Bulgaria,BiocapPerCap,,,,,,,2.25454119181739
1976,27,Bulgaria,EFConsPerCap,,,,,,,5.2456181340057
1976,27,Bulgaria,BiocapPerCap,,,,,,,2.29769990466499
1977,27,Bulgaria,EFConsPerCap,,,,,,,5.06359434076446
1977,27,Bulgaria,BiocapPerCap,,,,,,,2.22525581051202
1978,27,Bulgaria,EFConsPerCap,,,,,,,5.2914566005719
1978,27,Bulgaria,BiocapPerCap,,,,,,,2.22906935037257
1979,27,Bulgaria,EFConsPerCap,,,,,,,5.54436406934266
1979,27,Bulgaria,BiocapPerCap,,,,,,,2.26927313528712
1980,27,Bulgaria,EFConsPerCap,,,,,,,5.19160952967898
1980,27,Bulgaria,BiocapPerCap,,,,,,,2.2433007580778
