year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,29,Burundi,EFConsPerCap,0.347613457968315,0.124152155143149,0.5097805840374,0.0154515814677603,0.0259541287367358,0.00809609956690901,1.03104800692027
1961,29,Burundi,BiocapPerCap,0.355113160989094,0.352420061135403,0.0354136887700315,0.028963204331522,0.0259541287367358,0.0,0.797864243962786
1962,29,Burundi,EFConsPerCap,0.360422005253414,0.126593887903688,0.503454456487511,0.0171439873131372,0.0254966087271104,0.00497006012703552,1.0380810058119
1962,29,Burundi,BiocapPerCap,0.365754161964418,0.339144568320081,0.034553645397921,0.0282147150680168,0.0254966087271104,0.0,0.793163699477547
1963,29,Burundi,EFConsPerCap,0.33736310315959,0.12408658446145,0.499178268241181,0.0231554741028407,0.0245373887778703,0.00490393698266771,1.0132247557256
1963,29,Burundi,BiocapPerCap,0.349543302804906,0.327849945598297,0.0338310902159568,0.0276166933177056,0.0245373887778703,0.0,0.763378420714736
1964,29,Burundi,EFConsPerCap,0.371971054842503,0.121655170801519,0.491301237897753,0.0220823260224221,0.0279077828902635,0.00457639816578205,1.03949397062024
1964,29,Burundi,BiocapPerCap,0.38180462586422,0.310074645584273,0.0328805836169763,0.0268133295242971,0.0279077828902635,0.0,0.77948096748003
1965,29,Burundi,EFConsPerCap,0.345388133383457,0.132156685726124,0.484297319695863,0.0372945628618883,0.026153800872186,0.015529009410396,1.04081951194992
1965,29,Burundi,BiocapPerCap,0.356084638873501,0.300181901901956,0.0320065801275229,0.0260478965014766,0.026153800872186,0.0,0.740474818276642
1966,29,Burundi,EFConsPerCap,0.35061014898033,0.132761916025151,0.479493021245377,0.0438749026630855,0.0275508601329918,0.0044968445368912,1.03878769358383
1966,29,Burundi,BiocapPerCap,0.36120255823488,0.292269908398291,0.0313083904158873,0.0253677234548277,0.0275508601329918,0.0,0.737699440636877
1967,29,Burundi,EFConsPerCap,0.364741111552239,0.145602742144692,0.473686141837903,0.0175685350451237,0.0277701693827019,0.00484744846274041,1.0342161484254
1967,29,Burundi,BiocapPerCap,0.376524033733231,0.285593371174147,0.0305428991802446,0.0247156918551708,0.0277701693827019,0.0,0.745146165325495
1968,29,Burundi,EFConsPerCap,0.380101677653846,0.146358209746159,0.467897101482802,0.0325390747772742,0.0293680603147049,0.00539186695716379,1.06165599093195
1968,29,Burundi,BiocapPerCap,0.390720617789579,0.277738074168248,0.0298029379877537,0.0240833647664298,0.0293680603147049,0.0,0.751713055026716
1969,29,Burundi,EFConsPerCap,0.434500683043225,0.161806909245362,0.463078447347733,0.0300365006778586,0.0234200988886566,0.00693661790464909,1.11977925710748
1969,29,Burundi,BiocapPerCap,0.448893691862865,0.286322420139095,0.0291321401026124,0.023603788109948,0.0234200988886566,0.0,0.811372139103178
1970,29,Burundi,EFConsPerCap,0.430431981529504,0.165133837921258,0.458510153025428,0.0157743822445328,0.025915451293619,0.00636320145841021,1.10212900747275
1970,29,Burundi,BiocapPerCap,0.443117838665927,0.291016596161625,0.0285035845475153,0.0231043470194761,0.025915451293619,0.0,0.811657817688163
1971,29,Burundi,EFConsPerCap,0.428460111658855,0.160757979525591,0.440493693402155,0.00965600254769806,0.0272323357092451,0.00725313469183177,1.07385325753538
1971,29,Burundi,BiocapPerCap,0.43974344296142,0.294530093337083,0.0278964000486674,0.022481920610585,0.0272323357092451,0.0,0.811884192667001
1972,29,Burundi,EFConsPerCap,0.381760683430411,0.179464015908162,0.451754916291522,0.00568482693682015,0.0245216625226121,0.00673327827032151,1.04991938335985
1972,29,Burundi,BiocapPerCap,0.398848915601763,0.30532893391526,0.0279233191968551,0.02247627125775,0.0245216625226121,0.0,0.77909910249424
1973,29,Burundi,EFConsPerCap,0.451737345020429,0.185272174254177,0.449807539838612,0.00812982271013155,0.0274602832350661,0.00719245251352011,1.12959961757194
1973,29,Burundi,BiocapPerCap,0.467488330372427,0.318544192500995,0.0280049170333835,0.0225390697882122,0.0274602832350661,0.0,0.864036792930084
1974,29,Burundi,EFConsPerCap,0.413289930074236,0.188681693578314,0.444746124486743,0.00958573890511272,0.0233968209504093,0.0157813679228528,1.09548167591767
1974,29,Burundi,BiocapPerCap,0.423648883691124,0.321288643467655,0.0273383630835194,0.0219330489196242,0.0233968209504093,0.0,0.817605760112332
1975,29,Burundi,EFConsPerCap,0.413550421331976,0.181456221599879,0.441050677521905,0.0156464265219354,0.0269506281524541,0.0134237632722235,1.09207813840037
1975,29,Burundi,BiocapPerCap,0.432683136398844,0.324025002704278,0.0267157698933202,0.0213677075075858,0.0269506281524541,0.0,0.831742244656482
1976,29,Burundi,EFConsPerCap,0.43790921591827,0.164422694179123,0.433301668033212,0.0296220150809886,0.0288341556614299,0.0128276907705762,1.1069174396436
1976,29,Burundi,BiocapPerCap,0.452674160918799,0.327656964850629,0.0261143952102691,0.0208902306815636,0.0288341556614299,0.0,0.85616990732269
1977,29,Burundi,EFConsPerCap,0.43397999372393,0.167822183943761,0.424124499066513,0.0270987235779407,0.0281863383920569,0.00870552748899101,1.08991726619319
1977,29,Burundi,BiocapPerCap,0.444539329285151,0.326382802174092,0.0254607897759031,0.0203323344325644,0.0281863383920569,0.0,0.844901594059767
1978,29,Burundi,EFConsPerCap,0.419597503763311,0.163206861452726,0.424362917426677,0.0250454614200743,0.0276983780795431,0.00891456696037823,1.06882568910271
1978,29,Burundi,BiocapPerCap,0.435421076305018,0.311539846149626,0.0246934880033421,0.0197544243274964,0.0276983780795431,0.0,0.819107212865025
1979,29,Burundi,EFConsPerCap,0.403171640277779,0.171630084746952,0.425441511491148,0.0165339110971145,0.0281809438385038,0.00951880954287508,1.05447690099437
1979,29,Burundi,BiocapPerCap,0.41476673883135,0.299185459121319,0.0240912247325922,0.0192923413694817,0.0281809438385038,0.0,0.785516707893247
1980,29,Burundi,EFConsPerCap,0.367055815904947,0.123666142479594,0.41747690429087,0.027492828298476,0.0281807040625552,0.0110109048932471,0.974883299929689
1980,29,Burundi,BiocapPerCap,0.373017924902557,0.284350582753572,0.0229491364421175,0.0185828929428218,0.0281807040625552,0.0,0.727081241103623
1981,29,Burundi,EFConsPerCap,0.380743567106664,0.0839466768623633,0.405423259412369,0.0122316224567906,0.0305470052026274,0.0114844277137588,0.924376558754573
1981,29,Burundi,BiocapPerCap,0.389340005056171,0.268310962829095,0.0220401401657238,0.0177945104789609,0.0305470052026274,0.0,0.728032623732577
1982,29,Burundi,EFConsPerCap,0.339190573052354,0.0838238351720342,0.41131838520698,0.0133780234741475,0.0295299292449843,0.0107853276293747,0.888026073779874
1982,29,Burundi,BiocapPerCap,0.355212490255756,0.256749308183276,0.0215116100213209,0.0173239478876117,0.0295299292449843,0.0,0.680327285592949
1983,29,Burundi,EFConsPerCap,0.342928186380383,0.0809614681994628,0.411534917137729,0.0107546156029853,0.0295258719863658,0.0128758417603925,0.888580901067318
1983,29,Burundi,BiocapPerCap,0.346855261514378,0.249318613899264,0.02092702699743,0.0168225679171812,0.0295258719863658,0.0,0.663449342314619
1984,29,Burundi,EFConsPerCap,0.3335345201843,0.0812884958684989,0.41639328932134,0.0103687851832018,0.0281165767783017,0.0147062745320452,0.884407941867687
1984,29,Burundi,BiocapPerCap,0.341747270854075,0.242659036551227,0.0203803924701523,0.0163732184262429,0.0281165767783017,0.0,0.649276495079999
1985,29,Burundi,EFConsPerCap,0.352042223325221,0.0660237251441769,0.487787756177307,0.00880245983143328,0.0339811078973463,0.0157361064753695,0.964373378850854
1985,29,Burundi,BiocapPerCap,0.356671448322285,0.236655777147784,0.0199174526852585,0.0159681534475017,0.0339811078973463,0.0,0.663193939500175
1986,29,Burundi,EFConsPerCap,0.353774947351489,0.0794954329316824,0.490454057617638,0.00708960293224244,0.0354720952525954,0.015468214943717,0.981754351029364
1986,29,Burundi,BiocapPerCap,0.36423339780783,0.232545699604715,0.0194878960560429,0.0156545195438195,0.0354720952525954,0.0,0.667393608265003
1987,29,Burundi,EFConsPerCap,0.3456663851771,0.0674935804620453,0.491499547120043,0.00799577920953645,0.0356401407379232,0.0158944236116473,0.964189856318295
1987,29,Burundi,BiocapPerCap,0.351821731887348,0.225579678010427,0.0190752030029035,0.0152739434166984,0.0356401407379232,0.0,0.6473906970553
1988,29,Burundi,EFConsPerCap,0.326601976431768,0.0684774194523535,0.49344945954617,0.00767387680539862,0.0349323298674252,0.0148153319671921,0.945950394070307
1988,29,Burundi,BiocapPerCap,0.334094472025879,0.218887715728892,0.0186906636547269,0.0149075774257583,0.0349323298674252,0.0,0.621512758702682
1989,29,Burundi,EFConsPerCap,0.294005067858483,0.0666778676179583,0.498469492035017,0.00722708273352374,0.0302215315320594,0.0173393601740729,0.913940401951114
1989,29,Burundi,BiocapPerCap,0.304992764304196,0.213224175298516,0.0183509393728032,0.0146073516775875,0.0302215315320594,0.0,0.581396762185163
1990,29,Burundi,EFConsPerCap,0.340923234067356,0.0701017839197399,0.506819914407606,0.0103132532725824,0.0359891918795133,0.0128272377034191,0.976974615250217
1990,29,Burundi,BiocapPerCap,0.352209781744824,0.207348331169301,0.0179587937992753,0.0142889394832852,0.0359891918795133,0.0,0.627795038076198
1991,29,Burundi,EFConsPerCap,0.329578376171695,0.0664592662905958,0.502812007612503,0.0115229905900602,0.0365564782879041,0.0139424256707052,0.960871544623464
1991,29,Burundi,BiocapPerCap,0.335412614133133,0.202059928848214,0.0170904518523323,0.0140074567850811,0.0365564782879041,0.0,0.605126929906665
1992,29,Burundi,EFConsPerCap,0.322046626234147,0.0655185264289982,0.499625965996248,0.0143487886678547,0.0368389409076193,0.0118861356182448,0.950264983853112
1992,29,Burundi,BiocapPerCap,0.328683989322154,0.19799227140741,0.0162999801487699,0.0138077333276754,0.0368389409076193,0.0,0.593622915113628
1993,29,Burundi,EFConsPerCap,0.324944790149461,0.0644219860511934,0.529858981667476,0.0106134713797556,0.0347540346289438,0.0289817818997707,0.993575045776601
1993,29,Burundi,BiocapPerCap,0.328038732077953,0.20324900655746,0.0163143348394807,0.0142597936575626,0.0347540346289438,0.0,0.596615901761401
1994,29,Burundi,EFConsPerCap,0.318604454971894,0.0619206169958088,0.549410563419834,0.0137563799550806,0.0283113199149381,0.0298224878526063,1.00182582311016
1994,29,Burundi,BiocapPerCap,0.304022299974523,0.200850489718646,0.0157174328354476,0.0141598153033051,0.0283113199149381,0.0,0.56306135774686
