year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,115,Cambodia,EFConsPerCap,,,,,,,1.48356259815604
1961,115,Cambodia,BiocapPerCap,,,,,,,1.57668351750119
1962,115,Cambodia,EFConsPerCap,,,,,,,1.42521218233708
1962,115,Cambodia,BiocapPerCap,,,,,,,1.49355920803213
1963,115,Cambodia,EFConsPerCap,,,,,,,1.36686105489304
1963,115,Cambodia,BiocapPerCap,,,,,,,1.51366718350527
1964,115,Cambodia,EFConsPerCap,,,,,,,1.26804396864244
1964,115,Cambodia,BiocapPerCap,,,,,,,1.4863729249574
1965,115,Cambodia,EFConsPerCap,,,,,,,1.22950558038739
1965,115,Cambodia,BiocapPerCap,,,,,,,1.44077290423446
1966,115,Cambodia,EFConsPerCap,,,,,,,1.40689925287279
1966,115,Cambodia,BiocapPerCap,,,,,,,1.43771873103206
1967,115,Cambodia,EFConsPerCap,,,,,,,1.39307542799263
1967,115,Cambodia,BiocapPerCap,,,,,,,1.43062630116088
1968,115,Cambodia,EFConsPerCap,,,,,,,1.42267240474354
1968,115,Cambodia,BiocapPerCap,,,,,,,1.44079812711811
1969,115,Cambodia,EFConsPerCap,,,,,,,1.43961419339641
1969,115,Cambodia,BiocapPerCap,,,,,,,1.37361075162246
1970,115,Cambodia,EFConsPerCap,,,,,,,1.37927936649361
1970,115,Cambodia,BiocapPerCap,,,,,,,1.4105442734226
1971,115,Cambodia,EFConsPerCap,,,,,,,1.29589794397507
1971,115,Cambodia,BiocapPerCap,,,,,,,1.27448469234453
1972,115,Cambodia,EFConsPerCap,,,,,,,1.31323159951554
1972,115,Cambodia,BiocapPerCap,,,,,,,1.24708602491792
1973,115,Cambodia,EFConsPerCap,,,,,,,1.37781820206101
1973,115,Cambodia,BiocapPerCap,,,,,,,1.22485119542989
1974,115,Cambodia,EFConsPerCap,,,,,,,1.38489947475053
1974,115,Cambodia,BiocapPerCap,,,,,,,1.20297624553718
1975,115,Cambodia,EFConsPerCap,,,,,,,1.34119137572995
1975,115,Cambodia,BiocapPerCap,,,,,,,1.22261572853744
1976,115,Cambodia,EFConsPerCap,,,,,,,1.33739426585719
1976,115,Cambodia,BiocapPerCap,,,,,,,1.31175823136357
1977,115,Cambodia,EFConsPerCap,,,,,,,1.34725143999293
1977,115,Cambodia,BiocapPerCap,,,,,,,1.34050067255117
1978,115,Cambodia,EFConsPerCap,,,,,,,1.27884894088192
1978,115,Cambodia,BiocapPerCap,,,,,,,1.36095700512221
1979,115,Cambodia,EFConsPerCap,,,,,,,1.24540635835447
1979,115,Cambodia,BiocapPerCap,,,,,,,1.28486071760124
1980,115,Cambodia,EFConsPerCap,,,,,,,1.22896890015116
1980,115,Cambodia,BiocapPerCap,,,,,,,1.31535218686378
1981,115,Cambodia,EFConsPerCap,,,,,,,1.77903446796445
1981,115,Cambodia,BiocapPerCap,,,,,,,1.27894227497685
1982,115,Cambodia,EFConsPerCap,,,,,,,1.42663339023915
1982,115,Cambodia,BiocapPerCap,,,,,,,1.2417708519239
1983,115,Cambodia,EFConsPerCap,,,,,,,1.17928367335391
1983,115,Cambodia,BiocapPerCap,,,,,,,1.19529492560407
1984,115,Cambodia,EFConsPerCap,,,,,,,1.1714595809655
1984,115,Cambodia,BiocapPerCap,,,,,,,1.16142501615448
1985,115,Cambodia,EFConsPerCap,,,,,,,1.12835457851713
1985,115,Cambodia,BiocapPerCap,,,,,,,1.14352370678805
1986,115,Cambodia,EFConsPerCap,,,,,,,1.19973413282928
1986,115,Cambodia,BiocapPerCap,,,,,,,1.14303687457697
1987,115,Cambodia,EFConsPerCap,,,,,,,1.14005382752985
1987,115,Cambodia,BiocapPerCap,,,,,,,1.13143645029774
1988,115,Cambodia,EFConsPerCap,,,,,,,1.10254014536218
1988,115,Cambodia,BiocapPerCap,,,,,,,1.11374146345886
1989,115,Cambodia,EFConsPerCap,,,,,,,1.0749323428734
1989,115,Cambodia,BiocapPerCap,,,,,,,1.10914552923936
1990,115,Cambodia,EFConsPerCap,,,,,,,1.06053380697994
1990,115,Cambodia,BiocapPerCap,,,,,,,1.06009970936268
1991,115,Cambodia,EFConsPerCap,,,,,,,1.03797758740039
1991,115,Cambodia,BiocapPerCap,,,,,,,1.03770832090028
1992,115,Cambodia,EFConsPerCap,,,,,,,0.962120373200146
1992,115,Cambodia,BiocapPerCap,,,,,,,0.986112412266125
1993,115,Cambodia,EFConsPerCap,,,,,,,0.909557777609718
