year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,37,Central African Republic,EFConsPerCap,,,,,,,1.02861265529137
1961,37,Central African Republic,BiocapPerCap,,,,,,,22.0286706396162
1962,37,Central African Republic,EFConsPerCap,,,,,,,1.06372422818498
1962,37,Central African Republic,BiocapPerCap,,,,,,,21.6696785717864
1963,37,Central African Republic,EFConsPerCap,,,,,,,1.0938640689665
1963,37,Central African Republic,BiocapPerCap,,,,,,,21.2739598931944
1964,37,Central African Republic,EFConsPerCap,,,,,,,1.05633644216999
1964,37,Central African Republic,BiocapPerCap,,,,,,,20.8696615007713
1965,37,Central African Republic,EFConsPerCap,,,,,,,1.15615552219706
1965,37,Central African Republic,BiocapPerCap,,,,,,,20.5185184094021
1966,37,Central African Republic,EFConsPerCap,,,,,,,1.21069004788748
1966,37,Central African Republic,BiocapPerCap,,,,,,,20.1008814765845
1967,37,Central African Republic,EFConsPerCap,,,,,,,1.24758589342662
1967,37,Central African Republic,BiocapPerCap,,,,,,,19.6928275509848
1968,37,Central African Republic,EFConsPerCap,,,,,,,1.29422746782033
1968,37,Central African Republic,BiocapPerCap,,,,,,,19.2584001606113
1969,37,Central African Republic,EFConsPerCap,,,,,,,1.30685802659053
1969,37,Central African Republic,BiocapPerCap,,,,,,,18.8020430210464
1970,37,Central African Republic,EFConsPerCap,,,,,,,1.32356064553284
1970,37,Central African Republic,BiocapPerCap,,,,,,,18.3681187839654
1971,37,Central African Republic,EFConsPerCap,,,,,,,1.26485767462843
1971,37,Central African Republic,BiocapPerCap,,,,,,,18.0058750096919
1972,37,Central African Republic,EFConsPerCap,,,,,,,1.33453195859294
1972,37,Central African Republic,BiocapPerCap,,,,,,,17.668835321867
1973,37,Central African Republic,EFConsPerCap,,,,,,,1.40026665743241
1973,37,Central African Republic,BiocapPerCap,,,,,,,17.3555368379801
1974,37,Central African Republic,EFConsPerCap,,,,,,,1.28401905731994
1974,37,Central African Republic,BiocapPerCap,,,,,,,17.0071122566137
1975,37,Central African Republic,EFConsPerCap,,,,,,,1.31009125835568
1975,37,Central African Republic,BiocapPerCap,,,,,,,16.73349722346
1976,37,Central African Republic,EFConsPerCap,,,,,,,1.31942565991942
1976,37,Central African Republic,BiocapPerCap,,,,,,,16.4848752429769
1977,37,Central African Republic,EFConsPerCap,,,,,,,1.31596091549664
1977,37,Central African Republic,BiocapPerCap,,,,,,,16.2939361817521
1978,37,Central African Republic,EFConsPerCap,,,,,,,1.4271420772652
1978,37,Central African Republic,BiocapPerCap,,,,,,,16.093548532421
1979,37,Central African Republic,EFConsPerCap,,,,,,,1.60320351692493
1979,37,Central African Republic,BiocapPerCap,,,,,,,15.9554310684877
1980,37,Central African Republic,EFConsPerCap,,,,,,,1.59666686248913
1980,37,Central African Republic,BiocapPerCap,,,,,,,15.7063924562529
1981,37,Central African Republic,EFConsPerCap,,,,,,,1.66213970851993
1981,37,Central African Republic,BiocapPerCap,,,,,,,15.5445430562413
1982,37,Central African Republic,EFConsPerCap,,,,,,,1.77562960578386
1982,37,Central African Republic,BiocapPerCap,,,,,,,15.4488605273446
1983,37,Central African Republic,EFConsPerCap,,,,,,,1.90460582553257
1983,37,Central African Republic,BiocapPerCap,,,,,,,15.2821527326651
1984,37,Central African Republic,EFConsPerCap,,,,,,,1.90436800528618
1984,37,Central African Republic,BiocapPerCap,,,,,,,15.1064602099203
1985,37,Central African Republic,EFConsPerCap,,,,,,,1.90333465956109
1985,37,Central African Republic,BiocapPerCap,,,,,,,14.9417338296106
1986,37,Central African Republic,EFConsPerCap,,,,,,,1.96128467923474
1986,37,Central African Republic,BiocapPerCap,,,,,,,14.7753976144018
1987,37,Central African Republic,EFConsPerCap,,,,,,,1.89376858899348
1987,37,Central African Republic,BiocapPerCap,,,,,,,14.5666010086088
1988,37,Central African Republic,EFConsPerCap,,,,,,,1.8944057729079
1988,37,Central African Republic,BiocapPerCap,,,,,,,14.3675677991948
1989,37,Central African Republic,EFConsPerCap,,,,,,,1.92923348512714
1989,37,Central African Republic,BiocapPerCap,,,,,,,14.0750628047515
1990,37,Central African Republic,EFConsPerCap,,,,,,,1.88455459361764
1990,37,Central African Republic,BiocapPerCap,,,,,,,13.6166950072913
1991,37,Central African Republic,EFConsPerCap,,,,,,,1.89215239665434
1991,37,Central African Republic,BiocapPerCap,,,,,,,13.2180466883624
1992,37,Central African Republic,EFConsPerCap,,,,,,,1.9460118426075
1992,37,Central African Republic,BiocapPerCap,,,,,,,12.9555900988343
1993,37,Central African Republic,EFConsPerCap,,,,,,,1.87897602716501
1993,37,Central African Republic,BiocapPerCap,,,,,,,12.5148067130822
1994,37,Central African Republic,EFConsPerCap,,,,,,,1.8390558433873
1994,37,Central African Republic,BiocapPerCap,,,,,,,12.1233208784153
1995,37,Central African Republic,EFConsPerCap,,,,,,,1.78553910262142
1995,37,Central African Republic,BiocapPerCap,,,,,,,11.7583532225976
1996,37,Central African Republic,EFConsPerCap,,,,,,,1.70519459242542
1996,37,Central African Republic,BiocapPerCap,,,,,,,11.4633557715885
1997,37,Central African Republic,EFConsPerCap,,,,,,,1.6900969188907
1997,37,Central African Republic,BiocapPerCap,,,,,,,11.1333780177169
1998,37,Central African Republic,EFConsPerCap,,,,,,,1.64474257073638
1998,37,Central African Republic,BiocapPerCap,,,,,,,10.828446374859
1999,37,Central African Republic,EFConsPerCap,,,,,,,1.5631524534776
1999,37,Central African Republic,BiocapPerCap,,,,,,,10.5256452448536
2000,37,Central African Republic,EFConsPerCap,,,,,,,1.53154566047795
2000,37,Central African Republic,BiocapPerCap,,,,,,,10.2095024956986
2001,37,Central African Republic,EFConsPerCap,,,,,,,1.49943347186741
2001,37,Central African Republic,BiocapPerCap,,,,,,,10.036948654842
2002,37,Central African Republic,EFConsPerCap,,,,,,,1.47536098205403
2002,37,Central African Republic,BiocapPerCap,,,,,,,9.8071967470104
2003,37,Central African Republic,EFConsPerCap,,,,,,,1.44024339150078
