year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,39,Chad,EFConsPerCap,0.329095201640297,1.006181605928,0.41973942138349,0.0189844558000136,0.0214834171749248,0.0193422145829834,1.81482631650971
1961,39,Chad,BiocapPerCap,0.441447669113942,4.85623363755379,2.22275033369164,0.294861418105312,0.0214834171749248,0.0,7.83677647563961
1962,39,Chad,EFConsPerCap,0.29011222674982,1.04263170696612,0.420717668181524,0.0185966436183269,0.021986825074183,0.0211051560975016,1.81515022668748
1962,39,Chad,BiocapPerCap,0.433863637875179,4.75739464963339,2.18099131548943,0.288860099734439,0.021986825074183,0.0,7.68309652780663
1963,39,Chad,EFConsPerCap,0.411914957714624,1.05467997339352,0.421749705400681,0.0182629688065371,0.0264670429851639,0.0173823789137869,1.95045702721431
1963,39,Chad,BiocapPerCap,0.535390388109351,4.66258829826949,2.13814886398826,0.283103635508259,0.0264670429851639,0.0,7.64569822886053
1964,39,Chad,EFConsPerCap,0.261270785606836,1.0621704417742,0.423489009061611,0.0197286725246588,0.0236539929939021,0.0195336014006683,1.80984650336187
1964,39,Chad,BiocapPerCap,0.470468916966649,4.56780268847401,2.09682729343811,0.277348430671296,0.0236539929939021,0.0,7.43610132254396
1965,39,Chad,EFConsPerCap,0.257164654333713,1.10575567225176,0.425404336750403,0.0212599158908859,0.0226576364004229,0.0163371485949219,1.84857936422211
1965,39,Chad,BiocapPerCap,0.437615976337986,4.47559675115446,2.05865759202241,0.271749858719254,0.0226576364004229,0.0,7.26627781463453
1966,39,Chad,EFConsPerCap,0.382225294549256,0.961116380577973,0.427376753814584,0.0226587006194734,0.0222934676485904,0.0141978302305852,1.82986842744046
1966,39,Chad,BiocapPerCap,0.47352711566618,4.38206459848666,2.02453167013157,0.266070761453257,0.0222934676485904,0.0,7.16848761338626
1967,39,Chad,EFConsPerCap,0.329005706213136,1.07560620109697,0.429737701170183,0.0222562444454371,0.022282986558388,0.0206765685512826,1.89956540803539
1967,39,Chad,BiocapPerCap,0.45830928288052,4.2981982713151,1.98833924720409,0.260978555021949,0.022282986558388,0.0,7.02810834298005
1968,39,Chad,EFConsPerCap,0.396806283022355,1.04569213510101,0.431551467412244,0.0235826493229863,0.0245751293309368,0.0216561000069109,1.94386376419644
1968,39,Chad,BiocapPerCap,0.484932326052146,4.20872207013073,1.94965925724475,0.255545727539375,0.0245751293309368,0.0,6.92343451029794
1969,39,Chad,EFConsPerCap,0.362187193486058,0.900276384659082,0.432231454930226,0.0232046382727501,0.0242487436481523,0.0278130587864604,1.76996147378273
1969,39,Chad,BiocapPerCap,0.490746165160425,4.13339960061298,1.909697717184,0.250972288155107,0.0242487436481523,0.0,6.80906451476066
1970,39,Chad,EFConsPerCap,0.310212944923992,0.908286927003278,0.433818352891801,0.0243935573540105,0.0219372391668901,0.0315249161488021,1.73017393748877
1970,39,Chad,BiocapPerCap,0.448460677753441,4.05125637910635,1.87094948372772,0.245984705475007,0.0219372391668901,0.0,6.63858848522941
1971,39,Chad,EFConsPerCap,0.301804733189569,0.876941259576621,0.43544297980549,0.0238272492968939,0.0213054297274728,0.0324561834990541,1.6917778350951
1971,39,Chad,BiocapPerCap,0.406296636036509,3.95600286701464,1.83754466161171,0.240201090486289,0.0213054297274728,0.0,6.46135068487663
1972,39,Chad,EFConsPerCap,0.232647971875033,0.993939323217779,0.432602835781649,0.0234120515934218,0.0180338590566142,0.0242589801752694,1.72489502169977
1972,39,Chad,BiocapPerCap,0.349983481706213,3.86724184158961,1.79850090718905,0.234811687137382,0.0180338590566142,0.0,6.26857177667887
1973,39,Chad,EFConsPerCap,0.284499906707701,0.889776673278208,0.436504802203778,0.0229534695413575,0.0184419894856632,0.0288521298819094,1.68102897109862
1973,39,Chad,BiocapPerCap,0.373005916777215,3.78221874602341,1.7591382331523,0.22964314681688,0.0184419894856632,0.0,6.16244803225548
1974,39,Chad,EFConsPerCap,0.334358397072324,0.71169764190654,0.430656723586868,0.023930100195284,0.0204914811976996,0.0257530817296424,1.54688742568836
1974,39,Chad,BiocapPerCap,0.403219175352664,3.68926903419674,1.72130297384837,0.227726844137215,0.0204914811976996,0.0,6.06200950873269
1975,39,Chad,EFConsPerCap,0.294466416952669,0.685355106535746,0.423784942995287,0.0233874402896793,0.021068397120832,0.0305855742453537,1.47864787813957
1975,39,Chad,BiocapPerCap,0.387579356662715,3.60721696521694,1.68784783574356,0.22626417173986,0.021068397120832,0.0,5.92997672648391
1976,39,Chad,EFConsPerCap,0.24029840676292,0.651712046196014,0.420662363096285,0.0229238050539024,0.0196534408700407,0.0290372963965648,1.38428735837573
1976,39,Chad,BiocapPerCap,0.354325599028795,3.53601378767297,1.65382287032331,0.22174024329657,0.0196534408700407,0.0,5.78555594119169
1977,39,Chad,EFConsPerCap,0.243385780141963,0.676265918011268,0.420462858729022,0.0239728923242315,0.0204319494201992,0.0270733301035424,1.41159272873023
1977,39,Chad,BiocapPerCap,0.362932248523666,3.46546127714111,1.62361847316553,0.217315958836748,0.0204319494201992,0.0,5.68975990708725
1978,39,Chad,EFConsPerCap,0.273565775302704,0.719373466070221,0.420727701351399,0.0223672020821533,0.0206238933878041,0.0269560831098987,1.48361412130418
