year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,351,China,EFConsPerCap,0.135607819967855,0.138884943555529,0.208838124356682,0.0231681648695748,0.0198222370244408,0.253628883075767,0.779950172849849
1961,351,China,BiocapPerCap,0.121036311971277,0.143363607024672,0.462625480015255,0.0944408349824002,0.0198222370244408,0.0,0.841288471018045
1962,351,China,EFConsPerCap,0.142224072192848,0.130153464824261,0.201879008999038,0.0242946306164713,0.0218546944714432,0.254076201564796,0.774482072668857
1962,351,China,BiocapPerCap,0.131302821933898,0.142791374172921,0.452917273654973,0.0929647710334752,0.0218546944714432,0.0,0.841830935266711
1963,351,China,EFConsPerCap,0.146782234916787,0.129792483455327,0.200842900171979,0.0236884097352504,0.0229816349603593,0.246558682067115,0.770646345306817
1963,351,China,BiocapPerCap,0.134066878475573,0.140291093965003,0.436840172179236,0.090277729185799,0.0229816349603593,0.0,0.82445750876597
1964,351,China,EFConsPerCap,0.151249579976671,0.135205777190718,0.198320398852058,0.0228144215224759,0.0245049252497624,0.241916452353044,0.774011555144731
1964,351,China,BiocapPerCap,0.138639808701405,0.137594019548305,0.420942208836918,0.0875271510791461,0.0245049252497624,0.0,0.809208113415536
1965,351,China,EFConsPerCap,0.158249828601215,0.133476510551549,0.196057197759918,0.0232657341310844,0.0265368545650508,0.242196356906288,0.779782482515105
1965,351,China,BiocapPerCap,0.145942656401983,0.135782558097484,0.40702809585052,0.0850738256010314,0.0265368545650508,0.0,0.800363990516069
1966,351,China,EFConsPerCap,0.161243086980309,0.132130841901315,0.193090523617136,0.0232823667681344,0.0281896781640699,0.262993919134987,0.800930416565953
1966,351,China,BiocapPerCap,0.150549021552449,0.133904824521263,0.394354229836876,0.0826603530517559,0.0281896781640699,0.0,0.789658107126414
1967,351,China,EFConsPerCap,0.158075612376275,0.132441491407015,0.18937960516561,0.0233881034636697,0.0287759562510315,0.29668426354151,0.828745032205111
1967,351,China,BiocapPerCap,0.149537582625617,0.132515316904313,0.382286626160221,0.0806151130342651,0.0287759562510315,0.0,0.773730594975447
1968,351,China,EFConsPerCap,0.153010094532586,0.129938340365668,0.187787808748075,0.0253264506902294,0.0285722578383574,0.303467546485819,0.828102498660734
1968,351,China,BiocapPerCap,0.144306430551381,0.130791781056045,0.369753114280136,0.0784281058275047,0.0285722578383574,0.0,0.751851689553425
1969,351,China,EFConsPerCap,0.146291881135763,0.129937613874293,0.184019238918081,0.0248721460605667,0.0281325724201103,0.310503219967925,0.823756672376738
