year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,107,Côte d'Ivoire,EFConsPerCap,0.300787242366725,0.11073819866022,0.75069418716001,0.293043628866118,0.0195141408736448,0.0913356604408328,1.56611305836755
1961,107,Côte d'Ivoire,BiocapPerCap,0.454733316652782,3.12614370721219,2.20722032223797,0.223015840885486,0.0195141408736448,0.0,6.03062732786208
1962,107,Côte d'Ivoire,EFConsPerCap,0.237187296695371,0.0964199712444876,0.726150804086224,0.281594983003695,0.0194397832731989,0.0890574969757384,1.44985033527872
1962,107,Côte d'Ivoire,BiocapPerCap,0.4468210571347,3.00549539683205,2.12542830542649,0.214408915897116,0.0194397832731989,0.0,5.81159345856355
1963,107,Côte d'Ivoire,EFConsPerCap,0.305385717874427,0.102283452063699,0.721968918668868,0.278105420393173,0.0227181087721009,0.0846991258581564,1.51516074363042
1963,107,Côte d'Ivoire,BiocapPerCap,0.480582596614171,2.88937203393864,2.0439015392029,0.206124795956508,0.0227181087721009,0.0,5.64269907448432
1964,107,Côte d'Ivoire,EFConsPerCap,0.389075326637027,0.105829524731119,0.696736632273851,0.218783887426693,0.0255556192671679,0.101697789999227,1.53767878033508
1964,107,Côte d'Ivoire,BiocapPerCap,0.532704115909738,2.77613731519176,1.96581165355948,0.198046748885125,0.0255556192671679,0.0,5.49825545281327
1965,107,Côte d'Ivoire,EFConsPerCap,0.271408984677828,0.10817355486255,0.710069362944176,0.220875128211202,0.0219284403730714,0.125866041194286,1.45832151226311
1965,107,Côte d'Ivoire,BiocapPerCap,0.460501743334426,2.66654437759838,1.89202826691261,0.190228502693783,0.0219284403730714,0.0,5.23123133091227
1966,107,Côte d'Ivoire,EFConsPerCap,0.400691396713381,0.114017582967035,0.711910421603486,0.243596953155542,0.0266032349424889,0.130690376072198,1.62750996545413
1966,107,Côte d'Ivoire,BiocapPerCap,0.530976172681257,2.55806370115383,1.82306767655083,0.182489604056049,0.0266032349424889,0.0,5.12120038938445
1967,107,Côte d'Ivoire,EFConsPerCap,0.184745029915464,0.120807238725848,0.667058759839947,0.240839513891378,0.0220801304680507,0.143734442715851,1.37926511555654
1967,107,Côte d'Ivoire,BiocapPerCap,0.42607438998279,2.4584612217027,1.75401576690217,0.175351946227404,0.0220801304680507,0.0,4.83598345528312
1968,107,Côte d'Ivoire,EFConsPerCap,0.351558889223707,0.133728699406103,0.645763970021805,0.230560868375171,0.0290034963246166,0.159462334858702,1.5500782582101
1968,107,Côte d'Ivoire,BiocapPerCap,0.525113241793057,2.3586280456874,1.68513235724788,0.168231255627199,0.0290034963246166,0.0,4.76610839668014
1969,107,Côte d'Ivoire,EFConsPerCap,0.302952635119954,0.136596321582297,0.671914253154487,0.235879175347491,0.0264045528344302,0.168199472780705,1.54194641081936
1969,107,Côte d'Ivoire,BiocapPerCap,0.467207587020487,2.26919691556521,1.61694598042378,0.16185250025705,0.0264045528344302,0.0,4.54160753610096
1970,107,Côte d'Ivoire,EFConsPerCap,0.36129269435396,0.142003724268778,0.665965295675344,0.234088036933561,0.0297128033915834,0.233684783568432,1.66674733819166
1970,107,Côte d'Ivoire,BiocapPerCap,0.504440911263129,2.176856712951,1.55048749476723,0.155266252688654,0.0297128033915834,0.0,4.4167641750616
1971,107,Côte d'Ivoire,EFConsPerCap,0.355124439551421,0.136641089000593,0.631600895314976,0.214238929566086,0.0302140981384102,0.238135103914246,1.60595455548573
1971,107,Côte d'Ivoire,BiocapPerCap,0.507671302796624,2.07751685019658,1.48830503638026,0.14818074809815,0.0302140981384102,0.0,4.25188803561002
1972,107,Côte d'Ivoire,EFConsPerCap,0.298383044570526,0.147017987854654,0.608268486962097,0.232231659397687,0.0285861276663154,0.216311818432225,1.5307991248835
1972,107,Côte d'Ivoire,BiocapPerCap,0.460648577828869,1.9848951222375,1.42355161080642,0.141561457420269,0.0285861276663154,0.0,4.03924289595937
1973,107,Côte d'Ivoire,EFConsPerCap,0.37618381452993,0.129530421622236,0.667327101414084,0.249583460193512,0.0322817991307179,0.239169482645263,1.69407607953574
1973,107,Côte d'Ivoire,BiocapPerCap,0.517388734542006,1.8986069319386,1.36146650279043,0.13537025362093,0.0322817991307179,0.0,3.94511422202269
1974,107,Côte d'Ivoire,EFConsPerCap,0.149030857480397,0.105669393344179,0.632195538347264,0.224139187896978,0.0275195576722659,0.253411753067689,1.39196628780877
1974,107,Côte d'Ivoire,BiocapPerCap,0.445015262368651,1.80967023834149,1.30138986803152,0.128987761383347,0.0275195576722659,0.0,3.71258268779728
1975,107,Côte d'Ivoire,EFConsPerCap,0.232091388066162,0.108859832705036,0.606535299078738,0.226054583186547,0.0285385995436159,0.262930990796295,1.46501069337639
1975,107,Côte d'Ivoire,BiocapPerCap,0.451964831655222,1.72624163285947,1.2447636265953,0.12299620437209,0.0285385995436159,0.0,3.57450489502569
1976,107,Côte d'Ivoire,EFConsPerCap,0.238589402296497,0.124659434343844,0.5991471579531,0.16558230605042,0.0315081887102126,0.269984905239923,1.429471394594
1976,107,Côte d'Ivoire,BiocapPerCap,0.495533986235739,1.65510221952021,1.19299270870099,0.11790049728896,0.0315081887102126,0.0,3.49303760045611
1977,107,Côte d'Ivoire,EFConsPerCap,0.350630123588548,0.14532363431452,0.593518203303959,0.197678993327686,0.0305312122752904,0.28582801777014,1.60351018458014
1977,107,Côte d'Ivoire,BiocapPerCap,0.492543789931416,1.59123524220811,1.14851428957952,0.113309509768633,0.0305312122752904,0.0,3.37613404376296
1978,107,Côte d'Ivoire,EFConsPerCap,0.214473451953729,0.150479463218238,0.559753180158111,0.172726635125483,0.0295027929969063,0.331310377615869,1.45824590106834
1978,107,Côte d'Ivoire,BiocapPerCap,0.473377995419452,1.53167631101442,1.10327391254839,0.109038500985629,0.0295027929969063,0.0,3.24686951296479
1979,107,Côte d'Ivoire,EFConsPerCap,0.350244960596517,0.143795217652495,0.537069274675788,0.19186134429816,0.0322659666692123,0.296986162655141,1.55222292654731
