year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,49,Cuba,EFConsPerCap,,,,,,,1.28053414994144
1961,49,Cuba,BiocapPerCap,,,,,,,0.776303214830644
1962,49,Cuba,EFConsPerCap,,,,,,,1.35617318439021
1962,49,Cuba,BiocapPerCap,,,,,,,0.74992945607794
1963,49,Cuba,EFConsPerCap,,,,,,,1.27119254137094
1963,49,Cuba,BiocapPerCap,,,,,,,0.741460436914393
1964,49,Cuba,EFConsPerCap,,,,,,,1.34561620095266
1964,49,Cuba,BiocapPerCap,,,,,,,0.787574792038186
1965,49,Cuba,EFConsPerCap,,,,,,,1.35837371431047
1965,49,Cuba,BiocapPerCap,,,,,,,0.788447198061613
1966,49,Cuba,EFConsPerCap,,,,,,,1.27810705709928
1966,49,Cuba,BiocapPerCap,,,,,,,0.751029167875657
1967,49,Cuba,EFConsPerCap,,,,,,,1.42222627378092
1967,49,Cuba,BiocapPerCap,,,,,,,0.784440982113603
1968,49,Cuba,EFConsPerCap,,,,,,,1.4447056245849
1968,49,Cuba,BiocapPerCap,,,,,,,0.774595987993602
1969,49,Cuba,EFConsPerCap,,,,,,,1.51945242010688
1969,49,Cuba,BiocapPerCap,,,,,,,0.775647386745313
1970,49,Cuba,EFConsPerCap,,,,,,,1.7863265657872
1970,49,Cuba,BiocapPerCap,,,,,,,0.858872152141019
1971,49,Cuba,EFConsPerCap,,,,,,,1.85398078850185
1971,49,Cuba,BiocapPerCap,,,,,,,0.793474095915574
1972,49,Cuba,EFConsPerCap,,,,,,,1.71748514074613
1972,49,Cuba,BiocapPerCap,,,,,,,0.790388540096871
1973,49,Cuba,EFConsPerCap,,,,,,,1.81749888316931
1973,49,Cuba,BiocapPerCap,,,,,,,0.834971020632203
1974,49,Cuba,EFConsPerCap,,,,,,,1.92745795126609
1974,49,Cuba,BiocapPerCap,,,,,,,0.82541624564732
1975,49,Cuba,EFConsPerCap,,,,,,,2.03517737043909
1975,49,Cuba,BiocapPerCap,,,,,,,0.83886878477485
1976,49,Cuba,EFConsPerCap,,,,,,,2.06215154488035
1976,49,Cuba,BiocapPerCap,,,,,,,0.86421049233853
1977,49,Cuba,EFConsPerCap,,,,,,,2.09307946807739
1977,49,Cuba,BiocapPerCap,,,,,,,0.905246132091606
1978,49,Cuba,EFConsPerCap,,,,,,,2.32580444219208
1978,49,Cuba,BiocapPerCap,,,,,,,0.943018797636211
1979,49,Cuba,EFConsPerCap,,,,,,,2.25814286915008
1979,49,Cuba,BiocapPerCap,,,,,,,0.945581112413416
1980,49,Cuba,EFConsPerCap,,,,,,,2.16762069387528
1980,49,Cuba,BiocapPerCap,,,,,,,0.866249309986222
1981,49,Cuba,EFConsPerCap,,,,,,,2.18627336939156
1981,49,Cuba,BiocapPerCap,,,,,,,0.917866579141305
1982,49,Cuba,EFConsPerCap,,,,,,,2.05898082006075
1982,49,Cuba,BiocapPerCap,,,,,,,0.931046975332586
1983,49,Cuba,EFConsPerCap,,,,,,,2.18616902773479
1983,49,Cuba,BiocapPerCap,,,,,,,0.931704746783266
1984,49,Cuba,EFConsPerCap,,,,,,,2.39668998557793
1984,49,Cuba,BiocapPerCap,,,,,,,0.964958671202609
1985,49,Cuba,EFConsPerCap,,,,,,,2.32498505122125
1985,49,Cuba,BiocapPerCap,,,,,,,0.949129347526818
1986,49,Cuba,EFConsPerCap,,,,,,,2.35257845773819
1986,49,Cuba,BiocapPerCap,,,,,,,0.969725347364188
1987,49,Cuba,EFConsPerCap,,,,,,,2.38036365281757
1987,49,Cuba,BiocapPerCap,,,,,,,0.953140184163394
1988,49,Cuba,EFConsPerCap,,,,,,,2.57826881144319
1988,49,Cuba,BiocapPerCap,,,,,,,0.96904584445254
1989,49,Cuba,EFConsPerCap,,,,,,,2.92704407486782
1989,49,Cuba,BiocapPerCap,,,,,,,0.970831868508937
1990,49,Cuba,EFConsPerCap,,,,,,,2.67454598547706
1990,49,Cuba,BiocapPerCap,,,,,,,0.952366522841824
1991,49,Cuba,EFConsPerCap,,,,,,,2.28562281114848
1991,49,Cuba,BiocapPerCap,,,,,,,0.910862086082668
1992,49,Cuba,EFConsPerCap,,,,,,,1.81505953604711
1992,49,Cuba,BiocapPerCap,,,,,,,0.859482881131957
1993,49,Cuba,EFConsPerCap,,,,,,,1.73231019934
1993,49,Cuba,BiocapPerCap,,,,,,,0.774190508625805
1994,49,Cuba,EFConsPerCap,,,,,,,1.76226700836421
1994,49,Cuba,BiocapPerCap,,,,,,,0.765099428415953
1995,49,Cuba,EFConsPerCap,,,,,,,1.77903428784748
1995,49,Cuba,BiocapPerCap,,,,,,,0.742124751636528
1996,49,Cuba,EFConsPerCap,,,,,,,1.83861853861067
1996,49,Cuba,BiocapPerCap,,,,,,,0.79313998060332
1997,49,Cuba,EFConsPerCap,,,,,,,1.86777118445541
1997,49,Cuba,BiocapPerCap,,,,,,,0.79498827987452
1998,49,Cuba,EFConsPerCap,,,,,,,1.86620801822565
1998,49,Cuba,BiocapPerCap,,,,,,,0.792308704987345
1999,49,Cuba,EFConsPerCap,,,,,,,1.89525909115015
1999,49,Cuba,BiocapPerCap,,,,,,,0.893216274920893
2000,49,Cuba,EFConsPerCap,,,,,,,1.99347202169227
2000,49,Cuba,BiocapPerCap,,,,,,,0.926437544844094
2001,49,Cuba,EFConsPerCap,,,,,,,2.07912499370201
2001,49,Cuba,BiocapPerCap,,,,,,,0.959047511642554
2002,49,Cuba,EFConsPerCap,,,,,,,1.92794498622831
2002,49,Cuba,BiocapPerCap,,,,,,,0.980194284720206
2003,49,Cuba,EFConsPerCap,,,,,,,2.05843581215186
2003,49,Cuba,BiocapPerCap,,,,,,,1.03994253674474
2004,49,Cuba,EFConsPerCap,,,,,,,2.11811600112758
2004,49,Cuba,BiocapPerCap,,,,,,,1.05622208791129
2005,49,Cuba,EFConsPerCap,,,,,,,2.18300923272855
2005,49,Cuba,BiocapPerCap,,,,,,,0.967266671127441
2006,49,Cuba,EFConsPerCap,,,,,,,2.19810799428105
2006,49,Cuba,BiocapPerCap,,,,,,,0.961393440491668
2007,49,Cuba,EFConsPerCap,,,,,,,2.27130001842125
2007,49,Cuba,BiocapPerCap,,,,,,,1.01584775110712
2008,49,Cuba,EFConsPerCap,,,,,,,2.21841873998771
2008,49,Cuba,BiocapPerCap,,,,,,,1.00126408908558
2009,49,Cuba,EFConsPerCap,,,,,,,2.02475090628296
2009,49,Cuba,BiocapPerCap,,,,,,,0.910785001531041
2010,49,Cuba,EFConsPerCap,,,,,,,1.84283965869256
2010,49,Cuba,BiocapPerCap,,,,,,,0.883848772271451
2011,49,Cuba,EFConsPerCap,,,,,,,1.90387827265125
2011,49,Cuba,BiocapPerCap,,,,,,,0.964956229665464
2012,49,Cuba,EFConsPerCap,,,,,,,1.95418137369786
2012,49,Cuba,BiocapPerCap,,,,,,,1.01538960500607
2013,49,Cuba,EFConsPerCap,,,,,,,1.95601844400086
2013,49,Cuba,BiocapPerCap,,,,,,,1.03728913181498
2014,49,Cuba,EFConsPerCap,,,,,,,1.94265968885086
2014,49,Cuba,BiocapPerCap,,,,,,,1.07858821333287
2015,49,Cuba,EFConsPerCap,,,,,,,2.05164450138059
2015,49,Cuba,BiocapPerCap,,,,,,,1.08711583003648
2016,49,Cuba,EFConsPerCap,,,,,,,2.22248276623704
2016,49,Cuba,BiocapPerCap,,,,,,,1.08643561076682
2017,49,Cuba,EFConsPerCap,,,,,,,2.14301723690932
2017,49,Cuba,BiocapPerCap,,,,,,,1.09090737102253
2018,49,Cuba,EFConsPerCap,,,,,,,2.14737307361006
2018,49,Cuba,BiocapPerCap,,,,,,,1.10153819264533
2019,49,Cuba,EFConsPerCap,,,,,,,1.91658571602192
2019,49,Cuba,BiocapPerCap,,,,,,,1.10735007816634
2020,49,Cuba,EFConsPerCap,,,,,,,1.63759404474062
2020,49,Cuba,BiocapPerCap,,,,,,,1.02388050231691
2021,49,Cuba,EFConsPerCap,,,,,,,1.69555197883431
2021,49,Cuba,BiocapPerCap,,,,,,,0.999243352644609
2022,49,Cuba,EFConsPerCap,,,,,,,1.70038827799755
2022,49,Cuba,BiocapPerCap,,,,,,,1.05377466805874
2023,49,Cuba,EFConsPerCap,,,,,,,1.68858753942276
2023,49,Cuba,BiocapPerCap,,,,,,,1.05516137042385
2024,49,Cuba,EFConsPerCap,,,,,,,1.69142407201969
2024,49,Cuba,BiocapPerCap,,,,,,,1.05671381199267
