year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,50,Cyprus,EFConsPerCap,,,,,,,1.7348510869718
1961,50,Cyprus,BiocapPerCap,,,,,,,0.716244325023396
1962,50,Cyprus,EFConsPerCap,,,,,,,1.87412478424998
1962,50,Cyprus,BiocapPerCap,,,,,,,0.865427559387783
1963,50,Cyprus,EFConsPerCap,,,,,,,1.68296933669165
1963,50,Cyprus,BiocapPerCap,,,,,,,0.858399719588057
1964,50,Cyprus,EFConsPerCap,,,,,,,1.53987192723879
1964,50,Cyprus,BiocapPerCap,,,,,,,0.690113638180428
1965,50,Cyprus,EFConsPerCap,,,,,,,1.89954556430787
1965,50,Cyprus,BiocapPerCap,,,,,,,1.02762323291876
1966,50,Cyprus,EFConsPerCap,,,,,,,1.86246128711833
1966,50,Cyprus,BiocapPerCap,,,,,,,0.762516371926818
1967,50,Cyprus,EFConsPerCap,,,,,,,2.30048608990414
1967,50,Cyprus,BiocapPerCap,,,,,,,0.968760398385558
1968,50,Cyprus,EFConsPerCap,,,,,,,2.30608767082739
1968,50,Cyprus,BiocapPerCap,,,,,,,0.771746936616669
1969,50,Cyprus,EFConsPerCap,,,,,,,2.52019324814306
1969,50,Cyprus,BiocapPerCap,,,,,,,0.921500215543849
1970,50,Cyprus,EFConsPerCap,,,,,,,2.47809758610903
1970,50,Cyprus,BiocapPerCap,,,,,,,0.691339215379436
1971,50,Cyprus,EFConsPerCap,,,,,,,2.69980322630952
1971,50,Cyprus,BiocapPerCap,,,,,,,0.90452059271367
1972,50,Cyprus,EFConsPerCap,,,,,,,2.74998694686472
1972,50,Cyprus,BiocapPerCap,,,,,,,0.826170259212857
1973,50,Cyprus,EFConsPerCap,,,,,,,3.0178765506188
1973,50,Cyprus,BiocapPerCap,,,,,,,0.417341784971683
1974,50,Cyprus,EFConsPerCap,,,,,,,2.28108493754281
1974,50,Cyprus,BiocapPerCap,,,,,,,0.688942064462734
1975,50,Cyprus,EFConsPerCap,,,,,,,2.17520601886443
1975,50,Cyprus,BiocapPerCap,,,,,,,0.575801701365735
1976,50,Cyprus,EFConsPerCap,,,,,,,2.29327247834135
1976,50,Cyprus,BiocapPerCap,,,,,,,0.580136495217253
1977,50,Cyprus,EFConsPerCap,,,,,,,2.43231213270652
1977,50,Cyprus,BiocapPerCap,,,,,,,0.558881766735469
1978,50,Cyprus,EFConsPerCap,,,,,,,2.73603509721952
1978,50,Cyprus,BiocapPerCap,,,,,,,0.667280607032236
1979,50,Cyprus,EFConsPerCap,,,,,,,3.1288717810501
1979,50,Cyprus,BiocapPerCap,,,,,,,0.636496842437292
1980,50,Cyprus,EFConsPerCap,,,,,,,2.96145289160249
1980,50,Cyprus,BiocapPerCap,,,,,,,0.65992989399114
1981,50,Cyprus,EFConsPerCap,,,,,,,3.13990859186493
1981,50,Cyprus,BiocapPerCap,,,,,,,0.688939248088626
1982,50,Cyprus,EFConsPerCap,,,,,,,3.00549103756223
1982,50,Cyprus,BiocapPerCap,,,,,,,0.649507462812781
1983,50,Cyprus,EFConsPerCap,,,,,,,3.14328721585347
1983,50,Cyprus,BiocapPerCap,,,,,,,0.597034214685601
1984,50,Cyprus,EFConsPerCap,,,,,,,3.42994421080735
1984,50,Cyprus,BiocapPerCap,,,,,,,0.659994615139112
1985,50,Cyprus,EFConsPerCap,,,,,,,3.65274800658271
1985,50,Cyprus,BiocapPerCap,,,,,,,0.689209837825091
1986,50,Cyprus,EFConsPerCap,,,,,,,3.64377947228342
1986,50,Cyprus,BiocapPerCap,,,,,,,0.606276347012232
1987,50,Cyprus,EFConsPerCap,,,,,,,4.05619160907743
1987,50,Cyprus,BiocapPerCap,,,,,,,0.65831371597178
1988,50,Cyprus,EFConsPerCap,,,,,,,4.27846515811708
