year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1993,167,Czech Republic,EFConsPerCap,1.06435743947354,0.130890182091851,0.567547446832559,0.0267442427859181,0.100824291762732,3.61106163071812,5.50142523366472
1993,167,Czech Republic,BiocapPerCap,0.999286169259368,0.0892363948865602,1.32653515936759,0.00571297894243634,0.100824291762732,0.0,2.52159499421869
1994,167,Czech Republic,EFConsPerCap,1.08353569146031,0.138322062147994,0.598626734710711,0.0350776230227527,0.110052874523642,3.4719077236968,5.4375227095622
1994,167,Czech Republic,BiocapPerCap,1.06041139116828,0.0907003175390384,1.32883464690997,0.00570344866097023,0.110052874523642,0.0,2.5957026788019
1995,167,Czech Republic,EFConsPerCap,1.05669776799606,0.136095390330658,0.601651957326507,0.0368449708334261,0.111142106110108,3.87425716269248,5.81668935528923
1995,167,Czech Republic,BiocapPerCap,1.07089972066379,0.0917171523861983,1.33175839175223,0.00569640958882785,0.111142106110108,0.0,2.61121378050115
1996,167,Czech Republic,EFConsPerCap,1.12194406880933,0.157470596750816,0.59090538090784,0.0293795324079132,0.110804045325304,4.17809993109976,6.18860355530096
1996,167,Czech Republic,BiocapPerCap,1.05068706007599,0.095938215062648,1.3337339719095,0.00569996512289468,0.110804045325304,0.0,2.59686325749633
1997,167,Czech Republic,EFConsPerCap,1.09543280235824,0.179335524934021,0.690259895673931,0.0298539048256732,0.110905867736015,3.95114145530772,6.05692945083559
1997,167,Czech Republic,BiocapPerCap,1.01305709318059,0.0966976037877382,1.33560894007789,0.00570568650076276,0.110905867736015,0.0,2.561975191283
1998,167,Czech Republic,EFConsPerCap,1.09872839334447,0.216649325378479,0.74923850311082,0.0283894546343515,0.112636261901489,3.77336455833321,5.97900649670282
1998,167,Czech Republic,BiocapPerCap,1.02680847119389,0.0963809921530548,1.33823526190643,0.00572017438117373,0.112636261901489,0.0,2.57978116153604
1999,167,Czech Republic,EFConsPerCap,1.09437648616209,0.202959844795263,0.740460246846126,0.0271179336896118,0.122134168008762,3.67644940509274,5.86349808459459
1999,167,Czech Republic,BiocapPerCap,1.10102037175837,0.0968879918665124,1.33769525122864,0.00573349861312438,0.122134168008762,0.0,2.66347128147541
2000,167,Czech Republic,EFConsPerCap,0.962143245283811,0.223460516631114,0.798958076814906,0.0287803738672743,0.113012347177586,3.92060616634055,6.04696072611524
2000,167,Czech Republic,BiocapPerCap,1.01444981003358,0.0981783860268443,1.33825854703145,0.00571199901421503,0.113012347177586,0.0,2.56961108928368
2001,167,Czech Republic,EFConsPerCap,1.1918774282,0.21201878777824,0.779953503795589,0.0308606264564671,0.128119878608155,4.18828283655261,6.53111306139106
2001,167,Czech Republic,BiocapPerCap,1.15012835899371,0.0990111033764781,1.34936145918206,0.00576017612752176,0.128119878608155,0.0,2.73238097628793
2002,167,Czech Republic,EFConsPerCap,0.964213726816845,0.217010959404098,0.832677717294387,0.0274401410159276,0.132462413176518,3.90969504049788,6.08349999820566
2002,167,Czech Republic,BiocapPerCap,0.908059696023939,0.0859770257267382,1.34831036127862,0.00576290767326421,0.132462413176518,0.0,2.48057240387908
2003,167,Czech Republic,EFConsPerCap,0.86101766567247,0.195284462934342,0.800124703202687,0.0285630591553073,0.118292516442434,3.87311903932385,5.87640144673109
2003,167,Czech Republic,BiocapPerCap,0.83540427579137,0.0889966225913467,1.34086805928625,0.00573327851617361,0.118292516442434,0.0,2.38929475262758
2004,167,Czech Republic,EFConsPerCap,1.2092731575906,0.331358643655594,0.865159687034837,0.0309105149156487,0.169067430761057,4.70043821999908,7.30620765395681
2004,167,Czech Republic,BiocapPerCap,1.11679354734949,0.0870666163141095,1.33597143138348,0.0057523410114648,0.169067430761057,0.0,2.71465136681961
2005,167,Czech Republic,EFConsPerCap,0.973850653750744,0.279352283813051,0.931130065610065,0.0322930707219307,0.155509046253961,3.88344987397461,6.25558499412436
2005,167,Czech Republic,BiocapPerCap,1.00020011949033,0.0860696550903185,1.33288903670829,0.00572241249395407,0.155509046253961,0.0,2.58039027003686
2006,167,Czech Republic,EFConsPerCap,0.912803073648888,0.299076868191859,1.09617533964806,0.0302907883339814,0.140109195009507,4.11888949114601,6.59734475597831
2006,167,Czech Republic,BiocapPerCap,0.870646338218524,0.0890856002398793,1.33057932636305,0.00569778522230895,0.140109195009507,0.0,2.43611824505327
2007,167,Czech Republic,EFConsPerCap,0.966250862070196,0.277592148451633,1.1222401139411,0.0307316448204719,0.158183514922502,4.17497679382925,6.72997507803515
2007,167,Czech Republic,BiocapPerCap,0.951871711377097,0.0927203695004669,1.32560796609298,0.00570672097964813,0.158183514922502,0.0,2.53409028287269
2008,167,Czech Republic,EFConsPerCap,1.04098101742045,0.278061992040321,1.02876856851099,0.0329830099943764,0.172512175609623,4.1348494205104,6.68815618408617
2008,167,Czech Republic,BiocapPerCap,1.01795718052828,0.0926311605669505,1.31797121629438,0.0057340122799264,0.172512175609623,0.0,2.60680574527916
2009,167,Czech Republic,EFConsPerCap,0.921882642792299,0.209538223183412,0.833523262095293,0.0310633188234087,0.164591208426795,3.72839672463063,5.88899537995184
2009,167,Czech Republic,BiocapPerCap,0.957586092157562,0.0914982368922391,1.30792441736758,0.00571177586834523,0.164591208426795,0.0,2.52731173071252
2010,167,Czech Republic,EFConsPerCap,0.875222035617224,0.312622412343127,1.03547390503172,0.0288293608053573,0.156552972949953,4.00360712053947,6.41230780728686
2010,167,Czech Republic,BiocapPerCap,0.914525922598515,0.0918430866544682,1.30105784407569,0.00567214709387927,0.156552972949953,0.0,2.4696519733725
2011,167,Czech Republic,EFConsPerCap,1.02740916146849,0.288379007388808,0.913748080056121,0.0265536801015946,0.177264316720302,3.91230502702861,6.34565927276393
2011,167,Czech Republic,BiocapPerCap,1.01964864439297,0.0919365485537871,1.29395667331556,0.00564794088523059,0.177264316720302,0.0,2.58845412386785
2012,167,Czech Republic,EFConsPerCap,0.762893075822677,0.269186124837577,0.845528290969298,0.0261639081542973,0.147352539884999,3.5985480780042,5.64967201767305
2012,167,Czech Republic,BiocapPerCap,0.852496220441564,0.0937124993948074,1.28991151443335,0.00564819670045223,0.147352539884999,0.0,2.38912097085518
2013,167,Czech Republic,EFConsPerCap,0.948226042837029,0.297316568466628,0.869127383352435,0.0265388989579195,0.171998947138117,3.52395658270584,5.83716442345797
2013,167,Czech Republic,BiocapPerCap,0.998327615599082,0.0942103156017054,1.28634394703378,0.00564505001280592,0.171998947138117,0.0,2.55652587538549
2014,167,Czech Republic,EFConsPerCap,1.11977711162554,0.312146112070977,0.866773996226877,0.0284341900865851,0.196399044726374,3.4401706468505,5.96370110158685
2014,167,Czech Republic,BiocapPerCap,1.14424933140652,0.0942895177846233,1.28502063444603,0.00567864551277072,0.196399044726374,0.0,2.72563717387632
