year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,54,Denmark,EFConsPerCap,1.68643869135276,0.106492094300831,0.582440917955273,0.574247012798647,0.158534381992579,3.35347533014109,6.46162842854118
1961,54,Denmark,BiocapPerCap,1.53704435508354,0.0755117001254452,0.528724760465575,2.29835040208368,0.158534381992579,0.0,4.59816559975082
1962,54,Denmark,EFConsPerCap,1.79660668681133,0.108996525875749,0.60622279602878,0.588124401065427,0.168035947751229,3.54148952139929,6.8094758789318
1962,54,Denmark,BiocapPerCap,1.57153669874813,0.0755183317912396,0.525263148486822,2.27965895221959,0.168035947751229,0.0,4.62001307899701
1963,54,Denmark,EFConsPerCap,1.60115763873706,0.10010633130008,0.568111921449916,0.756009702764214,0.170850651727386,3.29482255730614,6.4910588032848
1963,54,Denmark,BiocapPerCap,1.52282905817413,0.0723664840400054,0.521189914894013,2.26132423596194,0.170850651727386,0.0,4.54856034479747
1964,54,Denmark,EFConsPerCap,1.76944434062054,0.108409796994003,0.641430526020422,0.80751812650359,0.187575232233241,3.38483933690474,6.89921735927653
1964,54,Denmark,BiocapPerCap,1.6339534886102,0.0711057870771596,0.51705656955792,2.24109588699852,0.187575232233241,0.0,4.65078696447705
1965,54,Denmark,EFConsPerCap,1.6771441829515,0.107306882615351,0.682246931742581,0.78748711675676,0.189893374934252,3.52843184647455,6.97251033547499
1965,54,Denmark,BiocapPerCap,1.6109302636239,0.0696602305426024,0.513233518808255,2.22003359710913,0.189893374934252,0.0,4.60375098501815
1966,54,Denmark,EFConsPerCap,1.5564176642776,0.107281194687591,0.671967707810951,0.875246040610101,0.174838764308318,3.85833496600186,7.24408633769642
1966,54,Denmark,BiocapPerCap,1.46331709281683,0.0688608094150251,0.509859312568354,2.19574680695985,0.174838764308318,0.0,4.41262278606838
1967,54,Denmark,EFConsPerCap,1.62261114366783,0.105367040765534,0.703851496698145,0.936254220283933,0.18672242842964,4.14767557538696,7.70248190523204
1967,54,Denmark,BiocapPerCap,1.51949636570575,0.0680049086939455,0.505983223686517,2.17625499569772,0.18672242842964,0.0,4.45646192221358
1968,54,Denmark,EFConsPerCap,1.64864498991759,0.102659166434559,0.767878317470918,1.37922815502278,0.196340557335853,4.12931250617378,8.22406369235548
1968,54,Denmark,BiocapPerCap,1.56237565926738,0.0663941713327634,0.502045218052503,2.15631433086557,0.196340557335853,0.0,4.48346993685407
1969,54,Denmark,EFConsPerCap,1.58591842179682,0.117379509876686,0.805920680130147,1.86427536959759,0.20006774409997,4.5607591514453,9.13432087694651
1969,54,Denmark,BiocapPerCap,1.54496540435441,0.0650781201324603,0.498378701889415,2.14624819056229,0.20006774409997,0.0,4.45473816103855
1970,54,Denmark,EFConsPerCap,1.44294487472803,0.122863144993802,0.838851994069749,1.45460173578704,0.185846416087145,5.25403718618039,9.29914535184615
1970,54,Denmark,BiocapPerCap,1.38503004021497,0.064517436482112,0.495366119056144,2.13418306265718,0.185846416087145,0.0,4.26494307449755
