year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,58,Ecuador,EFConsPerCap,,,,,,,1.33738746261272
1961,58,Ecuador,BiocapPerCap,,,,,,,7.74019689253551
1962,58,Ecuador,EFConsPerCap,,,,,,,1.27851911099848
1962,58,Ecuador,BiocapPerCap,,,,,,,7.45174913971448
1963,58,Ecuador,EFConsPerCap,,,,,,,1.18084252474034
1963,58,Ecuador,BiocapPerCap,,,,,,,7.16012446326201
1964,58,Ecuador,EFConsPerCap,,,,,,,1.24413137678598
1964,58,Ecuador,BiocapPerCap,,,,,,,6.86023374125355
1965,58,Ecuador,EFConsPerCap,,,,,,,1.23184416312246
1965,58,Ecuador,BiocapPerCap,,,,,,,6.62450588739906
1966,58,Ecuador,EFConsPerCap,,,,,,,1.23333099458399
1966,58,Ecuador,BiocapPerCap,,,,,,,6.38772002414036
1967,58,Ecuador,EFConsPerCap,,,,,,,1.22213210910154
1967,58,Ecuador,BiocapPerCap,,,,,,,6.10828157337661
1968,58,Ecuador,EFConsPerCap,,,,,,,1.33874487778241
1968,58,Ecuador,BiocapPerCap,,,,,,,5.92442288940447
1969,58,Ecuador,EFConsPerCap,,,,,,,1.29692931193887
1969,58,Ecuador,BiocapPerCap,,,,,,,5.66894484614801
1970,58,Ecuador,EFConsPerCap,,,,,,,1.45302080779531
1970,58,Ecuador,BiocapPerCap,,,,,,,5.48948200597452
1971,58,Ecuador,EFConsPerCap,,,,,,,1.4351835455386
1971,58,Ecuador,BiocapPerCap,,,,,,,5.29789246682748
1972,58,Ecuador,EFConsPerCap,,,,,,,1.32510188104519
1972,58,Ecuador,BiocapPerCap,,,,,,,5.08233086384707
1973,58,Ecuador,EFConsPerCap,,,,,,,1.38194323016933
1973,58,Ecuador,BiocapPerCap,,,,,,,4.98129936935641
1974,58,Ecuador,EFConsPerCap,,,,,,,1.53529967960689
1974,58,Ecuador,BiocapPerCap,,,,,,,4.81567311656945
1975,58,Ecuador,EFConsPerCap,,,,,,,1.62948365080675
1975,58,Ecuador,BiocapPerCap,,,,,,,4.66006129429634
1976,58,Ecuador,EFConsPerCap,,,,,,,1.60443236771774
1976,58,Ecuador,BiocapPerCap,,,,,,,4.52527488878825
1977,58,Ecuador,EFConsPerCap,,,,,,,1.75950276028698
1977,58,Ecuador,BiocapPerCap,,,,,,,4.39827555573759
1978,58,Ecuador,EFConsPerCap,,,,,,,1.80120542245648
1978,58,Ecuador,BiocapPerCap,,,,,,,4.4447904933407
1979,58,Ecuador,EFConsPerCap,,,,,,,2.01221352296752
1979,58,Ecuador,BiocapPerCap,,,,,,,4.35577484126516
1980,58,Ecuador,EFConsPerCap,,,,,,,2.0152764822605
1980,58,Ecuador,BiocapPerCap,,,,,,,4.26304275653231
1981,58,Ecuador,EFConsPerCap,,,,,,,1.87267027697438
1981,58,Ecuador,BiocapPerCap,,,,,,,4.1826836162411
1982,58,Ecuador,EFConsPerCap,,,,,,,1.91366003149742
1982,58,Ecuador,BiocapPerCap,,,,,,,4.13071160146507
1983,58,Ecuador,EFConsPerCap,,,,,,,1.72709513486913
1983,58,Ecuador,BiocapPerCap,,,,,,,3.9604132687331
1984,58,Ecuador,EFConsPerCap,,,,,,,1.90967446267221
1984,58,Ecuador,BiocapPerCap,,,,,,,3.9354551281586
1985,58,Ecuador,EFConsPerCap,,,,,,,1.96266284829023
1985,58,Ecuador,BiocapPerCap,,,,,,,3.8946452057551
1986,58,Ecuador,EFConsPerCap,,,,,,,1.6890418064908
