year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,67,Finland,EFConsPerCap,,,,,,,7.00775588069746
1961,67,Finland,BiocapPerCap,,,,,,,14.1168021990548
1962,67,Finland,EFConsPerCap,,,,,,,6.50916087931893
1962,67,Finland,BiocapPerCap,,,,,,,13.7481391535565
1963,67,Finland,EFConsPerCap,,,,,,,6.68612968306675
1963,67,Finland,BiocapPerCap,,,,,,,13.886998395898
1964,67,Finland,EFConsPerCap,,,,,,,6.87111558337851
1964,67,Finland,BiocapPerCap,,,,,,,13.6746139358368
1965,67,Finland,EFConsPerCap,,,,,,,7.06465579681404
1965,67,Finland,BiocapPerCap,,,,,,,13.9000912470684
1966,67,Finland,EFConsPerCap,,,,,,,6.83351007505456
1966,67,Finland,BiocapPerCap,,,,,,,13.7519714479881
1967,67,Finland,EFConsPerCap,,,,,,,7.19795256995841
1967,67,Finland,BiocapPerCap,,,,,,,13.8267568273135
1968,67,Finland,EFConsPerCap,,,,,,,5.74683429440182
1968,67,Finland,BiocapPerCap,,,,,,,13.8038257099689
1969,67,Finland,EFConsPerCap,,,,,,,6.30628160865926
1969,67,Finland,BiocapPerCap,,,,,,,13.9069160926172
1970,67,Finland,EFConsPerCap,,,,,,,7.33330199349402
1970,67,Finland,BiocapPerCap,,,,,,,14.0899475074701
1971,67,Finland,EFConsPerCap,,,,,,,7.48251987475193
1971,67,Finland,BiocapPerCap,,,,,,,14.1737414199916
1972,67,Finland,EFConsPerCap,,,,,,,6.93438837469183
1972,67,Finland,BiocapPerCap,,,,,,,14.0846225114296
1973,67,Finland,EFConsPerCap,,,,,,,7.4960811384045
1973,67,Finland,BiocapPerCap,,,,,,,13.9918431502752
1974,67,Finland,EFConsPerCap,,,,,,,7.39986340294726
1974,67,Finland,BiocapPerCap,,,,,,,13.9605395437943
1975,67,Finland,EFConsPerCap,,,,,,,7.98373249140635
1975,67,Finland,BiocapPerCap,,,,,,,14.2241694121027
1976,67,Finland,EFConsPerCap,,,,,,,7.63340452225013
1976,67,Finland,BiocapPerCap,,,,,,,14.2671656392567
1977,67,Finland,EFConsPerCap,,,,,,,6.85870904545518
1977,67,Finland,BiocapPerCap,,,,,,,14.0279778365911
1978,67,Finland,EFConsPerCap,,,,,,,6.98413741854383
1978,67,Finland,BiocapPerCap,,,,,,,13.9173388470937
1979,67,Finland,EFConsPerCap,,,,,,,7.79359997546159
1979,67,Finland,BiocapPerCap,,,,,,,14.0030379083267
1980,67,Finland,EFConsPerCap,,,,,,,7.85134622774773
1980,67,Finland,BiocapPerCap,,,,,,,13.9310884653405
1981,67,Finland,EFConsPerCap,,,,,,,6.86298998492851
1981,67,Finland,BiocapPerCap,,,,,,,13.6145149990257
1982,67,Finland,EFConsPerCap,,,,,,,6.90273872084363
