year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1965,70,French Polynesia,EFConsPerCap,,,,,,,2.59060347403339
1965,70,French Polynesia,BiocapPerCap,,,,,,,3.61225309935408
1966,70,French Polynesia,EFConsPerCap,,,,,,,3.16214003091597
1966,70,French Polynesia,BiocapPerCap,,,,,,,3.49695009440237
1967,70,French Polynesia,EFConsPerCap,,,,,,,2.96821874248073
1967,70,French Polynesia,BiocapPerCap,,,,,,,3.40395613022657
1968,70,French Polynesia,EFConsPerCap,,,,,,,3.22373352302318
1968,70,French Polynesia,BiocapPerCap,,,,,,,3.28769544867841
1969,70,French Polynesia,EFConsPerCap,,,,,,,3.0423716669985
1969,70,French Polynesia,BiocapPerCap,,,,,,,3.19224856718371
1970,70,French Polynesia,EFConsPerCap,,,,,,,3.1169981794671
1970,70,French Polynesia,BiocapPerCap,,,,,,,3.08616224520792
1971,70,French Polynesia,EFConsPerCap,,,,,,,3.02168291140872
1971,70,French Polynesia,BiocapPerCap,,,,,,,2.98223185665121
1972,70,French Polynesia,EFConsPerCap,,,,,,,2.60685430939923
1972,70,French Polynesia,BiocapPerCap,,,,,,,2.84460627129063
1973,70,French Polynesia,EFConsPerCap,,,,,,,3.49955018928881
1973,70,French Polynesia,BiocapPerCap,,,,,,,2.78679810036325
1974,70,French Polynesia,EFConsPerCap,,,,,,,3.71996407373517
1974,70,French Polynesia,BiocapPerCap,,,,,,,2.69751758699098
1975,70,French Polynesia,EFConsPerCap,,,,,,,3.38986209142888
1975,70,French Polynesia,BiocapPerCap,,,,,,,2.5615489755626
1976,70,French Polynesia,EFConsPerCap,,,,,,,3.49813463703892
1976,70,French Polynesia,BiocapPerCap,,,,,,,2.48385646497624
1977,70,French Polynesia,EFConsPerCap,,,,,,,3.21057687961707
1977,70,French Polynesia,BiocapPerCap,,,,,,,2.44409745504954
1978,70,French Polynesia,EFConsPerCap,,,,,,,3.84949439670421
1978,70,French Polynesia,BiocapPerCap,,,,,,,2.38195691633997
1979,70,French Polynesia,EFConsPerCap,,,,,,,3.77467366296497
1979,70,French Polynesia,BiocapPerCap,,,,,,,2.32219069685539
1980,70,French Polynesia,EFConsPerCap,,,,,,,3.36333484141827
1980,70,French Polynesia,BiocapPerCap,,,,,,,2.24122322262679
1981,70,French Polynesia,EFConsPerCap,,,,,,,3.56479905058301
1981,70,French Polynesia,BiocapPerCap,,,,,,,2.16842879802292
1982,70,French Polynesia,EFConsPerCap,,,,,,,3.48983257356147
1982,70,French Polynesia,BiocapPerCap,,,,,,,2.10935667633914
1983,70,French Polynesia,EFConsPerCap,,,,,,,3.74908324269839
1983,70,French Polynesia,BiocapPerCap,,,,,,,2.06093395875135
1984,70,French Polynesia,EFConsPerCap,,,,,,,4.16044142801841
1984,70,French Polynesia,BiocapPerCap,,,,,,,2.00668329240446
1985,70,French Polynesia,EFConsPerCap,,,,,,,4.17526163275235
1985,70,French Polynesia,BiocapPerCap,,,,,,,1.98354587918283
1986,70,French Polynesia,EFConsPerCap,,,,,,,4.24206086782295
1986,70,French Polynesia,BiocapPerCap,,,,,,,1.91774151146122
1987,70,French Polynesia,EFConsPerCap,,,,,,,4.2837786518922
1987,70,French Polynesia,BiocapPerCap,,,,,,,1.89541508509398
1988,70,French Polynesia,EFConsPerCap,,,,,,,4.12534307492496
1988,70,French Polynesia,BiocapPerCap,,,,,,,1.79500629900469
1989,70,French Polynesia,EFConsPerCap,,,,,,,3.49339132288509
1989,70,French Polynesia,BiocapPerCap,,,,,,,1.75179702724508
1990,70,French Polynesia,EFConsPerCap,,,,,,,3.87933781868522
1990,70,French Polynesia,BiocapPerCap,,,,,,,1.72567691657751
1991,70,French Polynesia,EFConsPerCap,,,,,,,3.51471650652675
1991,70,French Polynesia,BiocapPerCap,,,,,,,1.6497943775057
1992,70,French Polynesia,EFConsPerCap,,,,,,,3.14961644663419
1992,70,French Polynesia,BiocapPerCap,,,,,,,1.63305318036114
1993,70,French Polynesia,EFConsPerCap,,,,,,,3.07686896822638
1993,70,French Polynesia,BiocapPerCap,,,,,,,1.60281951776796
1994,70,French Polynesia,EFConsPerCap,,,,,,,3.13147979649356
1994,70,French Polynesia,BiocapPerCap,,,,,,,1.58083658938931
1995,70,French Polynesia,EFConsPerCap,,,,,,,3.27504724412208
1995,70,French Polynesia,BiocapPerCap,,,,,,,1.55062154904846
1996,70,French Polynesia,EFConsPerCap,,,,,,,3.72697787635559
1996,70,French Polynesia,BiocapPerCap,,,,,,,1.54085828278802
1997,70,French Polynesia,EFConsPerCap,,,,,,,4.00458620738343
1997,70,French Polynesia,BiocapPerCap,,,,,,,1.51798566869946
1998,70,French Polynesia,EFConsPerCap,,,,,,,4.36047114891009
1998,70,French Polynesia,BiocapPerCap,,,,,,,1.49866569371239
1999,70,French Polynesia,EFConsPerCap,,,,,,,4.4475941838278
1999,70,French Polynesia,BiocapPerCap,,,,,,,1.48060444584817
2000,70,French Polynesia,EFConsPerCap,,,,,,,4.57319602117128
2000,70,French Polynesia,BiocapPerCap,,,,,,,1.40163367564767
2001,70,French Polynesia,EFConsPerCap,,,,,,,4.99323215655932
2001,70,French Polynesia,BiocapPerCap,,,,,,,1.38856255270675
2002,70,French Polynesia,EFConsPerCap,,,,,,,4.72999222058218
2002,70,French Polynesia,BiocapPerCap,,,,,,,1.37943840241926
2003,70,French Polynesia,EFConsPerCap,,,,,,,4.69217200812047
2003,70,French Polynesia,BiocapPerCap,,,,,,,1.34810372186088
2004,70,French Polynesia,EFConsPerCap,,,,,,,4.79698207527644
2004,70,French Polynesia,BiocapPerCap,,,,,,,1.33366927934732
2005,70,French Polynesia,EFConsPerCap,,,,,,,4.69840330379971
2005,70,French Polynesia,BiocapPerCap,,,,,,,1.3025294937302
2006,70,French Polynesia,EFConsPerCap,,,,,,,4.4939328304233
2006,70,French Polynesia,BiocapPerCap,,,,,,,1.3042189899181
2007,70,French Polynesia,EFConsPerCap,,,,,,,4.56216170626661
