year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,74,Gabon,EFConsPerCap,,,,,,,1.64614331741825
1961,74,Gabon,BiocapPerCap,,,,,,,82.1715374659969
1962,74,Gabon,EFConsPerCap,,,,,,,1.66899953644439
1962,74,Gabon,BiocapPerCap,,,,,,,81.2171178499793
1963,74,Gabon,EFConsPerCap,,,,,,,1.56106636144522
1963,74,Gabon,BiocapPerCap,,,,,,,80.1692806938565
1964,74,Gabon,EFConsPerCap,,,,,,,1.12995518742506
1964,74,Gabon,BiocapPerCap,,,,,,,79.0659068652655
1965,74,Gabon,EFConsPerCap,,,,,,,1.33205786727078
1965,74,Gabon,BiocapPerCap,,,,,,,77.993513581927
1966,74,Gabon,EFConsPerCap,,,,,,,1.42271076840936
1966,74,Gabon,BiocapPerCap,,,,,,,76.9056478594141
1967,74,Gabon,EFConsPerCap,,,,,,,1.54686720230504
1967,74,Gabon,BiocapPerCap,,,,,,,75.7525641904454
1968,74,Gabon,EFConsPerCap,,,,,,,1.66932114902718
1968,74,Gabon,BiocapPerCap,,,,,,,74.4650669549835
1969,74,Gabon,EFConsPerCap,,,,,,,1.43761038803166
1969,74,Gabon,BiocapPerCap,,,,,,,72.9835201633744
1970,74,Gabon,EFConsPerCap,,,,,,,1.58594681027369
1970,74,Gabon,BiocapPerCap,,,,,,,71.4315526919855
1971,74,Gabon,EFConsPerCap,,,,,,,2.22517338308286
1971,74,Gabon,BiocapPerCap,,,,,,,70.0563515514941
1972,74,Gabon,EFConsPerCap,,,,,,,2.19498815798895
1972,74,Gabon,BiocapPerCap,,,,,,,68.637372215407
1973,74,Gabon,EFConsPerCap,,,,,,,2.21716669956975
1973,74,Gabon,BiocapPerCap,,,,,,,67.298777142058
1974,74,Gabon,EFConsPerCap,,,,,,,2.38349330002265
1974,74,Gabon,BiocapPerCap,,,,,,,65.8464349141408
1975,74,Gabon,EFConsPerCap,,,,,,,2.16633648848446
1975,74,Gabon,BiocapPerCap,,,,,,,64.461824838573
1976,74,Gabon,EFConsPerCap,,,,,,,1.68906025324035
1976,74,Gabon,BiocapPerCap,,,,,,,62.982116598454
1977,74,Gabon,EFConsPerCap,,,,,,,1.85082661770602
1977,74,Gabon,BiocapPerCap,,,,,,,61.4680538791166
1978,74,Gabon,EFConsPerCap,,,,,,,1.80951786275023
1978,74,Gabon,BiocapPerCap,,,,,,,59.8878567554003
1979,74,Gabon,EFConsPerCap,,,,,,,2.19165529657315
1979,74,Gabon,BiocapPerCap,,,,,,,58.3833131063889
1980,74,Gabon,EFConsPerCap,,,,,,,2.34396305944353
1980,74,Gabon,BiocapPerCap,,,,,,,56.5632046864539
1981,74,Gabon,EFConsPerCap,,,,,,,2.44890889862883
1981,74,Gabon,BiocapPerCap,,,,,,,55.0750196160462
1982,74,Gabon,EFConsPerCap,,,,,,,2.60219859394238
1982,74,Gabon,BiocapPerCap,,,,,,,53.651575774763
1983,74,Gabon,EFConsPerCap,,,,,,,2.69202987391381
1983,74,Gabon,BiocapPerCap,,,,,,,52.1236919605112
1984,74,Gabon,EFConsPerCap,,,,,,,2.60040810771072
1984,74,Gabon,BiocapPerCap,,,,,,,50.6105655813745
1985,74,Gabon,EFConsPerCap,,,,,,,3.08034674155366
1985,74,Gabon,BiocapPerCap,,,,,,,49.1383392532965
1986,74,Gabon,EFConsPerCap,,,,,,,2.81805265142151
1986,74,Gabon,BiocapPerCap,,,,,,,47.6621887194969
1987,74,Gabon,EFConsPerCap,,,,,,,2.29952637578554
1987,74,Gabon,BiocapPerCap,,,,,,,46.3566515831113
1988,74,Gabon,EFConsPerCap,,,,,,,2.32536198725697
1988,74,Gabon,BiocapPerCap,,,,,,,45.0636041728193
1989,74,Gabon,EFConsPerCap,,,,,,,2.0202151956729
1989,74,Gabon,BiocapPerCap,,,,,,,43.9961417712655
1990,74,Gabon,EFConsPerCap,,,,,,,2.05095891317812
1990,74,Gabon,BiocapPerCap,,,,,,,42.6223451988211
1991,74,Gabon,EFConsPerCap,,,,,,,2.0187347836057
1991,74,Gabon,BiocapPerCap,,,,,,,41.5757238461719
1992,74,Gabon,EFConsPerCap,,,,,,,2.28338558499165
1992,74,Gabon,BiocapPerCap,,,,,,,40.8675841852697
1993,74,Gabon,EFConsPerCap,,,,,,,2.24832237713726
1993,74,Gabon,BiocapPerCap,,,,,,,39.7700753955838
1994,74,Gabon,EFConsPerCap,,,,,,,2.33685061648811
1994,74,Gabon,BiocapPerCap,,,,,,,38.8037082270593
1995,74,Gabon,EFConsPerCap,,,,,,,2.09477885713606
1995,74,Gabon,BiocapPerCap,,,,,,,37.8338874623267
1996,74,Gabon,EFConsPerCap,,,,,,,1.67435999904625
1996,74,Gabon,BiocapPerCap,,,,,,,36.895912152383
1997,74,Gabon,EFConsPerCap,,,,,,,1.55225999823573
1997,74,Gabon,BiocapPerCap,,,,,,,35.9780348787028
1998,74,Gabon,EFConsPerCap,,,,,,,2.42587058094535
1998,74,Gabon,BiocapPerCap,,,,,,,35.117419260339
1999,74,Gabon,EFConsPerCap,,,,,,,1.75414730727455
1999,74,Gabon,BiocapPerCap,,,,,,,34.187956336984
2000,74,Gabon,EFConsPerCap,,,,,,,1.74109230173486
2000,74,Gabon,BiocapPerCap,,,,,,,33.2978157970737
2001,74,Gabon,EFConsPerCap,,,,,,,1.8747342672763
2001,74,Gabon,BiocapPerCap,,,,,,,32.6311966053994
2002,74,Gabon,EFConsPerCap,,,,,,,1.95081623585832
2002,74,Gabon,BiocapPerCap,,,,,,,31.762475960467
2003,74,Gabon,EFConsPerCap,,,,,,,2.50580828560583
2003,74,Gabon,BiocapPerCap,,,,,,,30.7506671956858
2004,74,Gabon,EFConsPerCap,,,,,,,2.56953006278606
2004,74,Gabon,BiocapPerCap,,,,,,,29.848900485156
2005,74,Gabon,EFConsPerCap,,,,,,,2.71835100951803
2005,74,Gabon,BiocapPerCap,,,,,,,28.9542982987892
2006,74,Gabon,EFConsPerCap,,,,,,,2.85770708563801
2006,74,Gabon,BiocapPerCap,,,,,,,28.0902969288703
2007,74,Gabon,EFConsPerCap,,,,,,,2.54153084457615
2007,74,Gabon,BiocapPerCap,,,,,,,27.2102387808359
2008,74,Gabon,EFConsPerCap,,,,,,,2.34296134724184
2008,74,Gabon,BiocapPerCap,,,,,,,26.3307033002253
2009,74,Gabon,EFConsPerCap,,,,,,,2.12832990638098
2009,74,Gabon,BiocapPerCap,,,,,,,25.3809378758897
2010,74,Gabon,EFConsPerCap,,,,,,,2.30674575381929
2010,74,Gabon,BiocapPerCap,,,,,,,24.4924780126817
2011,74,Gabon,EFConsPerCap,,,,,,,2.50412788862677
2011,74,Gabon,BiocapPerCap,,,,,,,23.5960858738902
2012,74,Gabon,EFConsPerCap,,,,,,,2.74544345212836
2012,74,Gabon,BiocapPerCap,,,,,,,22.6996024265344
2013,74,Gabon,EFConsPerCap,,,,,,,2.95214862995255
2013,74,Gabon,BiocapPerCap,,,,,,,21.8814965865104
2014,74,Gabon,EFConsPerCap,,,,,,,3.04537540481578
2014,74,Gabon,BiocapPerCap,,,,,,,21.1264488658816
2015,74,Gabon,EFConsPerCap,,,,,,,2.84231775947437
2015,74,Gabon,BiocapPerCap,,,,,,,20.4350454709002
2016,74,Gabon,EFConsPerCap,,,,,,,2.70440194201563
2016,74,Gabon,BiocapPerCap,,,,,,,19.8361802310773
2017,74,Gabon,EFConsPerCap,,,,,,,2.50542189818531
2017,74,Gabon,BiocapPerCap,,,,,,,19.3480151831171
2018,74,Gabon,EFConsPerCap,,,,,,,2.35079325183462
2018,74,Gabon,BiocapPerCap,,,,,,,18.8365458109204
2019,74,Gabon,EFConsPerCap,,,,,,,2.274950908861
2019,74,Gabon,BiocapPerCap,,,,,,,18.4236939091524
2020,74,Gabon,EFConsPerCap,,,,,,,2.33176314951466
2020,74,Gabon,BiocapPerCap,,,,,,,17.9890776781086
2021,74,Gabon,EFConsPerCap,,,,,,,2.28009422823924
2021,74,Gabon,BiocapPerCap,,,,,,,17.6101427416592
2022,74,Gabon,EFConsPerCap,,,,,,,2.26133800337326
2022,74,Gabon,BiocapPerCap,,,,,,,17.2492000873882
2023,74,Gabon,EFConsPerCap,,,,,,,2.09984563818261
2023,74,Gabon,BiocapPerCap,,,,,,,16.9089231881168
2024,74,Gabon,EFConsPerCap,0.427135071304143,0.149216153023412,0.62932173407912,0.221436321980795,0.0400431808695666,0.602601589967351,2.06975405122439
2024,74,Gabon,BiocapPerCap,0.313217868317583,0.855495229435619,13.4490544579821,1.92075055913722,0.0400431808695666,0.0,16.5785612957421
