year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1992,73,Georgia,EFConsPerCap,,,,,,,1.99040518553728
1992,73,Georgia,BiocapPerCap,,,,,,,1.14866531826582
1993,73,Georgia,EFConsPerCap,,,,,,,1.72779295247379
1993,73,Georgia,BiocapPerCap,,,,,,,1.13973929512598
1994,73,Georgia,EFConsPerCap,,,,,,,1.26535094641892
1994,73,Georgia,BiocapPerCap,,,,,,,1.17006664444231
1995,73,Georgia,EFConsPerCap,,,,,,,1.40512791899588
1995,73,Georgia,BiocapPerCap,,,,,,,1.20305453507901
1996,73,Georgia,EFConsPerCap,,,,,,,1.27746295394691
1996,73,Georgia,BiocapPerCap,,,,,,,1.23856068691749
1997,73,Georgia,EFConsPerCap,,,,,,,1.2487750322846
1997,73,Georgia,BiocapPerCap,,,,,,,1.29604929821214
1998,73,Georgia,EFConsPerCap,,,,,,,1.26775309972974
1998,73,Georgia,BiocapPerCap,,,,,,,1.24917002730812
1999,73,Georgia,EFConsPerCap,,,,,,,1.25034854791232
1999,73,Georgia,BiocapPerCap,,,,,,,1.33593756746215
2000,73,Georgia,EFConsPerCap,,,,,,,1.20828400222437
2000,73,Georgia,BiocapPerCap,,,,,,,1.2764830778563
2001,73,Georgia,EFConsPerCap,,,,,,,1.28879397429597
2001,73,Georgia,BiocapPerCap,,,,,,,1.45299087711164
2002,73,Georgia,EFConsPerCap,,,,,,,1.22513769406685
2002,73,Georgia,BiocapPerCap,,,,,,,1.4290941450667
2003,73,Georgia,EFConsPerCap,,,,,,,1.35430629311057
2003,73,Georgia,BiocapPerCap,,,,,,,1.47263193355281
2004,73,Georgia,EFConsPerCap,,,,,,,1.40534217762375
2004,73,Georgia,BiocapPerCap,,,,,,,1.33283817261329
2005,73,Georgia,EFConsPerCap,,,,,,,1.53941599593956
2005,73,Georgia,BiocapPerCap,,,,,,,1.35611640504061
2006,73,Georgia,EFConsPerCap,,,,,,,1.62113263529529
2006,73,Georgia,BiocapPerCap,,,,,,,1.31436117359237
2007,73,Georgia,EFConsPerCap,,,,,,,1.76297554251625
2007,73,Georgia,BiocapPerCap,,,,,,,1.36808686933772
2008,73,Georgia,EFConsPerCap,,,,,,,1.62656845026801
2008,73,Georgia,BiocapPerCap,,,,,,,1.3619810940532
2009,73,Georgia,EFConsPerCap,,,,,,,1.71590628993035
2009,73,Georgia,BiocapPerCap,,,,,,,1.34768226677937
2010,73,Georgia,EFConsPerCap,,,,,,,1.76051219749014
2010,73,Georgia,BiocapPerCap,,,,,,,1.32438123928644
2011,73,Georgia,EFConsPerCap,,,,,,,1.96899444564416
2011,73,Georgia,BiocapPerCap,,,,,,,1.37883050673357
2012,73,Georgia,EFConsPerCap,,,,,,,2.15409932584017
2012,73,Georgia,BiocapPerCap,,,,,,,1.36514680492234
2013,73,Georgia,EFConsPerCap,,,,,,,2.27180464147542
2013,73,Georgia,BiocapPerCap,,,,,,,1.39241030395196
2014,73,Georgia,EFConsPerCap,,,,,,,2.35701560586157
2014,73,Georgia,BiocapPerCap,,,,,,,1.36185225659393
2015,73,Georgia,EFConsPerCap,,,,,,,2.34719846978883
2015,73,Georgia,BiocapPerCap,,,,,,,1.3671345318378
2016,73,Georgia,EFConsPerCap,,,,,,,2.44503896842338
2016,73,Georgia,BiocapPerCap,,,,,,,1.3966216371077
2017,73,Georgia,EFConsPerCap,,,,,,,2.53721663840766
2017,73,Georgia,BiocapPerCap,,,,,,,1.3550668007688
2018,73,Georgia,EFConsPerCap,,,,,,,2.74839868549528
2018,73,Georgia,BiocapPerCap,,,,,,,1.36885901849265
2019,73,Georgia,EFConsPerCap,,,,,,,2.97464903291139
2019,73,Georgia,BiocapPerCap,,,,,,,1.36945118401012
2020,73,Georgia,EFConsPerCap,,,,,,,2.74833444525769
2020,73,Georgia,BiocapPerCap,,,,,,,1.37831582609863
2021,73,Georgia,EFConsPerCap,,,,,,,2.88165089872917
2021,73,Georgia,BiocapPerCap,,,,,,,1.40485101156864
2022,73,Georgia,EFConsPerCap,,,,,,,3.21909945392026
2022,73,Georgia,BiocapPerCap,,,,,,,1.38449238403216
2023,73,Georgia,EFConsPerCap,,,,,,,3.15769145733058
2023,73,Georgia,BiocapPerCap,,,,,,,1.38992431926872
2024,73,Georgia,EFConsPerCap,0.379747102395139,0.253095276134667,0.147168515148954,0.397363812494985,0.0470161823700497,2.06106840996693,3.28545929851072
2024,73,Georgia,BiocapPerCap,0.159656536970145,0.424295002896118,0.709865838481573,0.0526289133431253,0.0470161823700497,0.0,1.39346247406101
