year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,95,Honduras,EFConsPerCap,,,,,,,3.05561495614632
1961,95,Honduras,BiocapPerCap,,,,,,,7.1765067468401
1962,95,Honduras,EFConsPerCap,,,,,,,2.91353974335415
1962,95,Honduras,BiocapPerCap,,,,,,,7.00997133295361
1963,95,Honduras,EFConsPerCap,,,,,,,2.89581766117326
1963,95,Honduras,BiocapPerCap,,,,,,,6.83130385683992
1964,95,Honduras,EFConsPerCap,,,,,,,2.91474412817157
1964,95,Honduras,BiocapPerCap,,,,,,,6.66129611765592
1965,95,Honduras,EFConsPerCap,,,,,,,2.8509441570381
1965,95,Honduras,BiocapPerCap,,,,,,,6.46592878250351
1966,95,Honduras,EFConsPerCap,,,,,,,2.84847721306051
1966,95,Honduras,BiocapPerCap,,,,,,,6.36664505713108
1967,95,Honduras,EFConsPerCap,,,,,,,2.71912104503098
1967,95,Honduras,BiocapPerCap,,,,,,,6.17894486532185
1968,95,Honduras,EFConsPerCap,,,,,,,2.75324050318372
1968,95,Honduras,BiocapPerCap,,,,,,,6.02646595936304
1969,95,Honduras,EFConsPerCap,,,,,,,2.6500179341383
1969,95,Honduras,BiocapPerCap,,,,,,,5.82852151156863
1970,95,Honduras,EFConsPerCap,,,,,,,2.64164362147931
1970,95,Honduras,BiocapPerCap,,,,,,,5.66425888719028
1971,95,Honduras,EFConsPerCap,,,,,,,2.55448873371103
1971,95,Honduras,BiocapPerCap,,,,,,,5.48528706594588
1972,95,Honduras,EFConsPerCap,,,,,,,2.42819470863542
1972,95,Honduras,BiocapPerCap,,,,,,,5.32740016373593
1973,95,Honduras,EFConsPerCap,,,,,,,2.4187600679371
1973,95,Honduras,BiocapPerCap,,,,,,,5.2022892454054
1974,95,Honduras,EFConsPerCap,,,,,,,2.38919113848638
1974,95,Honduras,BiocapPerCap,,,,,,,5.0369122385027
1975,95,Honduras,EFConsPerCap,,,,,,,2.19296403890338
1975,95,Honduras,BiocapPerCap,,,,,,,4.81303303220633
1976,95,Honduras,EFConsPerCap,,,,,,,2.14606645904432
1976,95,Honduras,BiocapPerCap,,,,,,,4.68421224501648
