year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,100,India,EFConsPerCap,0.233600001428164,0.0203918275386012,0.148233267364123,0.00937989809575175,0.0132513985968727,0.102028789627776,0.526885182651288
1961,100,India,BiocapPerCap,0.229595271042299,0.0258273205023468,0.0485259202501827,0.0831416961391435,0.0132513985968727,0.0,0.400341606530845
1962,100,India,EFConsPerCap,0.228350971887723,0.0209212031242963,0.148483579822518,0.00846072570993798,0.0131996805859803,0.105754718177435,0.52517087930789
1962,100,India,BiocapPerCap,0.225499855032792,0.0253857581133904,0.0473471415597136,0.0811498306833108,0.0131996805859803,0.0,0.392582265975187
1963,100,India,EFConsPerCap,0.223319697949797,0.0203658306597977,0.148556543298757,0.0084837821109004,0.0132535952911984,0.101857203857092,0.515836653167543
1963,100,India,BiocapPerCap,0.220629423384628,0.0248711612494901,0.0452678783630038,0.0792491428902543,0.0132535952911984,0.0,0.383271201178574
1964,100,India,EFConsPerCap,0.223955705191834,0.0199993674733149,0.148599333419174,0.00906314987227833,0.013314758499924,0.0915470564025152,0.506479370859041
1964,100,India,BiocapPerCap,0.216670876579761,0.0247235341428663,0.0486613950299094,0.0773637668926301,0.013314758499924,0.0,0.380734331145091
1965,100,India,EFConsPerCap,0.211727764609404,0.0198441580076644,0.148957953191925,0.00872029053631402,0.0125867616667584,0.0964873760449083,0.498324304056974
1965,100,India,BiocapPerCap,0.200665768812182,0.0243064715901439,0.0477525813461826,0.0755513202025113,0.0125867616667584,0.0,0.360862903617778
1966,100,India,EFConsPerCap,0.216095728496675,0.0194922506893894,0.152342346585962,0.00898328063629805,0.0127195545240634,0.104598337906209,0.514231498838597
1966,100,India,BiocapPerCap,0.198803973035451,0.0238095164670282,0.046138506189968,0.0737498836940342,0.0127195545240634,0.0,0.355221433910544
1967,100,India,EFConsPerCap,0.229797119383243,0.0194821066768484,0.152484664713963,0.00855033207712504,0.0137749867505939,0.113428152497683,0.537517362099457
1967,100,India,BiocapPerCap,0.212132824994052,0.0227311173776882,0.0475800689966086,0.0721275138770669,0.0137749867505939,0.0,0.368346511996009
1968,100,India,EFConsPerCap,0.223982021955194,0.0185609388455075,0.152953513597757,0.00852705321485842,0.0144689751788953,0.118809294027352,0.537301796819564
1968,100,India,BiocapPerCap,0.219137436409073,0.0220353796873724,0.047054378919809,0.0704106135679016,0.0144689751788953,0.0,0.373106783763051
1969,100,India,EFConsPerCap,0.220035029243474,0.0184305522310742,0.153130665872804,0.00901261558808174,0.014695416043907,0.113815156222744,0.529119435202085
1969,100,India,BiocapPerCap,0.217593846257364,0.0212041174784563,0.0463104009249912,0.0689551581206129,0.014695416043907,0.0,0.368758938825331
1970,100,India,EFConsPerCap,0.229514731077902,0.0190136618382115,0.153261879670001,0.0091763784307841,0.0157051122855469,0.124862311258991,0.551534074561436
1970,100,India,BiocapPerCap,0.228267492547281,0.0205315964730504,0.0462012272477648,0.0674358703590843,0.0157051122855469,0.0,0.378141298912728
1971,100,India,EFConsPerCap,0.224777953783682,0.0180637732536409,0.154763894547869,0.00987293234510042,0.0160316667120972,0.130095405936831,0.553605626579222
1971,100,India,BiocapPerCap,0.227249460751722,0.0201563872743062,0.0438367978276704,0.065726060741759,0.0160316667120972,0.0,0.373000373307554
1972,100,India,EFConsPerCap,0.204219072080231,0.0172203734151439,0.156628706153133,0.00884658082103621,0.0152455364474644,0.122864272081324,0.525024540998332
1972,100,India,BiocapPerCap,0.211897936827729,0.0195028350868857,0.0427238421721192,0.0642105777083889,0.0152455364474644,0.0,0.353580728242587
1973,100,India,EFConsPerCap,0.220531432165868,0.0154653532101642,0.156912317823323,0.0117490800088412,0.0163505507034597,0.128436312035315,0.549445045946971
1973,100,India,BiocapPerCap,0.223644687391425,0.0189562238602278,0.0429461997370715,0.0628202727168361,0.0163505507034597,0.0,0.36471793440902
1974,100,India,EFConsPerCap,0.203282204818453,0.0158166055090727,0.158295388634276,0.0132609791267285,0.015154307797136,0.138537779490123,0.54434726537579
1974,100,India,BiocapPerCap,0.203208614983836,0.0185603967556788,0.0422035419382278,0.0612485767520203,0.015154307797136,0.0,0.340375438226899
1975,100,India,EFConsPerCap,0.229931150077495,0.0161433490896136,0.15635373910715,0.0122499984034848,0.0171958370641331,0.1470654809028,0.578939554644677
1975,100,India,BiocapPerCap,0.225935274231905,0.0181827667413767,0.0412350838645057,0.0597710723835718,0.0171958370641331,0.0,0.362320034285492
1976,100,India,EFConsPerCap,0.218939453651427,0.0151491872710554,0.156787910696391,0.0128679116047616,0.0170713528504913,0.142794381996373,0.563610198070499
1976,100,India,BiocapPerCap,0.219687045320021,0.0176070327013951,0.040943735542182,0.0584036930229993,0.0170713528504913,0.0,0.353712859437089
1977,100,India,EFConsPerCap,0.224247383816966,0.0151817069042318,0.155459974940855,0.0121573998650285,0.0179870516062135,0.141763967411532,0.566797484544827
1977,100,India,BiocapPerCap,0.226416991445074,0.0171467745822725,0.0403149311892217,0.0570034983938901,0.0179870516062135,0.0,0.358869247216672
1978,100,India,EFConsPerCap,0.22231528469104,0.0146672610176809,0.154237658398978,0.0123346439192523,0.0183915995043944,0.139998484232093,0.561944931763439
1978,100,India,BiocapPerCap,0.228037861625118,0.0167130273093333,0.0393065490386767,0.0557156960980277,0.0183915995043944,0.0,0.35816473357555
1979,100,India,EFConsPerCap,0.20350401913026,0.014449675014472,0.157731569173315,0.0126535081242212,0.0174645069593029,0.148726857070941,0.554530135472512
1979,100,India,BiocapPerCap,0.212039190141277,0.0162293671483746,0.0386168716118644,0.0545074181470391,0.0174645069593029,0.0,0.338857354007858
1980,100,India,EFConsPerCap,0.202730955816585,0.0146005651411193,0.155384031799297,0.012206375117465,0.0175156606087408,0.145859917864254,0.548297506347462
1980,100,India,BiocapPerCap,0.207582981007582,0.0158888351863136,0.0374948902827534,0.0535049903779432,0.0175156606087408,0.0,0.331987357463333
1981,100,India,EFConsPerCap,0.216463889045647,0.0147856357479479,0.154745244165226,0.0111721681450722,0.0190853426633033,0.157175663654425,0.573427943421621
1981,100,India,BiocapPerCap,0.22146124216329,0.0154136521502219,0.0366194365316433,0.0521480965600632,0.0190853426633033,0.0,0.344727770068522
1982,100,India,EFConsPerCap,0.208631875104216,0.0141820105007031,0.155604167525411,0.010763983343614,0.0187637891059288,0.152613175772314,0.560559001352187
1982,100,India,BiocapPerCap,0.213283763489554,0.0150722744815385,0.0358074757556203,0.0508668657248104,0.0187637891059288,0.0,0.333794168557452
1983,100,India,EFConsPerCap,0.222079847697928,0.0138563191647514,0.154097227709069,0.0109540485339236,0.0200646547551051,0.148701005680447,0.569753103541224
1983,100,India,BiocapPerCap,0.22273255761512,0.0146174820720196,0.0349409778721948,0.0495951216019968,0.0200646547551051,0.0,0.341950793916437
1984,100,India,EFConsPerCap,0.225723347464228,0.0149297262078988,0.154375434947549,0.0115094368234221,0.0207385443667291,0.176065464169464,0.603341953979291
1984,100,India,BiocapPerCap,0.22624203972871,0.0143480792998745,0.034074155675661,0.0483462174754515,0.0207385443667291,0.0,0.343749036546427
1985,100,India,EFConsPerCap,0.216155296700028,0.0140201443141921,0.154087920601989,0.011820535434301,0.0207711200179812,0.190115855497528,0.606970872566019
1985,100,India,BiocapPerCap,0.221457782562289,0.0139592526910214,0.0331834178585957,0.0471086904814051,0.0207711200179812,0.0,0.336480263611293
1986,100,India,EFConsPerCap,0.210125432918505,0.0144752905918465,0.153370865579244,0.0116454109454171,0.0206442399358534,0.200548588841625,0.610809828812491
1986,100,India,BiocapPerCap,0.215351595959505,0.0135183057428705,0.032294881416663,0.0460176861079776,0.0206442399358534,0.0,0.327826709162869
1987,100,India,EFConsPerCap,0.210629732195311,0.0141093332039942,0.15341850430938,0.0107817226422252,0.0209891094557382,0.203007954773262,0.612936356579911
1987,100,India,BiocapPerCap,0.214595845930439,0.0132167872422786,0.0314946902752443,0.0449281339397015,0.0209891094557382,0.0,0.325224566843402
1988,100,India,EFConsPerCap,0.222390978711413,0.012742640980586,0.151208235850619,0.0111240811128984,0.0222854777573143,0.219580493312317,0.639331907725149
1988,100,India,BiocapPerCap,0.222486191569124,0.0128291235532651,0.0309116213156167,0.0438518645250375,0.0222854777573143,0.0,0.332364278720358
1989,100,India,EFConsPerCap,0.230243862874365,0.0122994348265537,0.149849564206887,0.0125751097785925,0.0242697165286257,0.232587935035905,0.66182562325093
1989,100,India,BiocapPerCap,0.237944686118585,0.0124695992602683,0.030373747139654,0.0428590862666973,0.0242697165286257,0.0,0.34791683531383
1990,100,India,EFConsPerCap,0.216362845810421,0.0125369757930957,0.157706625049381,0.0128103606747085,0.0236463123265923,0.232832958973609,0.655896078627807
1990,100,India,BiocapPerCap,0.227116960591693,0.0120797814366654,0.0299911612126454,0.0418774471035942,0.0236463123265923,0.0,0.33471166267119
1991,100,India,EFConsPerCap,0.210581503676261,0.012001487169819,0.157984630165473,0.0130999495742408,0.0237645064353243,0.236882309614735,0.654314386635852
1991,100,India,BiocapPerCap,0.223645631815813,0.0118649114236337,0.0295586236748341,0.0410125693125412,0.0237645064353243,0.0,0.329846242662146
1992,100,India,EFConsPerCap,0.221102288073471,0.0129682781072393,0.157323975692339,0.014607478316473,0.0251246867760842,0.233669490812541,0.664796197778148
1992,100,India,BiocapPerCap,0.231391869105905,0.0116922649335096,0.0294104442965344,0.0406470870722194,0.0251246867760842,0.0,0.338266352184253
1993,100,India,EFConsPerCap,0.210789063337813,0.0139756609933284,0.155669004543836,0.0138714281603917,0.024718998135517,0.241114450889223,0.660138606060109
1993,100,India,BiocapPerCap,0.223457878633665,0.0113482757350282,0.0289737963263826,0.0397816834226382,0.024718998135517,0.0,0.328280632253231
1994,100,India,EFConsPerCap,0.220040091617223,0.0122138968044352,0.153612472873422,0.0143812107445203,0.0260951436684171,0.265831060760323,0.692173876468341
1994,100,India,BiocapPerCap,0.231244712472515,0.0110463140695198,0.0286012303136837,0.0389298220662574,0.0260951436684171,0.0,0.335917222590393
1995,100,India,EFConsPerCap,0.205334620931811,0.0125293421327691,0.15174723818987,0.0139367996842919,0.0259163875041265,0.281927102929964,0.691391491372832
1995,100,India,BiocapPerCap,0.224611984481861,0.0108108260233218,0.0282210952227613,0.0380795200502547,0.0259163875041265,0.0,0.327639813282325
1996,100,India,EFConsPerCap,0.213096184726815,0.0131436070082527,0.146233998040828,0.0145131995868049,0.0267950424381936,0.292435550529861,0.706217582330755
1996,100,India,BiocapPerCap,0.227289182613752,0.0105718145436633,0.0278191733272173,0.0373089586041386,0.0267950424381936,0.0,0.329784171526965
1997,100,India,EFConsPerCap,0.216351349206303,0.012923199814489,0.143944841930316,0.016198974997294,0.027125943719291,0.296036949024008,0.712581258691701
1997,100,India,BiocapPerCap,0.226486110021109,0.0103099792940646,0.0274267651718047,0.0365768581436489,0.027125943719291,0.0,0.327925656349918
1998,100,India,EFConsPerCap,0.213877996456457,0.0123527033866493,0.142692588331092,0.0155023663088107,0.027190948563477,0.30043526893366,0.712051871980146
1998,100,India,BiocapPerCap,0.222704115668668,0.0101070781691657,0.0270670627935974,0.0359311833286331,0.027190948563477,0.0,0.323000388523541
1999,100,India,EFConsPerCap,0.221105530566233,0.0126597305324748,0.140040300039526,0.0148409762812584,0.0281681148550701,0.331507370597918,0.748322022872481
1999,100,India,BiocapPerCap,0.226676683705182,0.00993565586471842,0.026659169656147,0.035304171930149,0.0281681148550701,0.0,0.326743796011266
2000,100,India,EFConsPerCap,0.213918602444771,0.0118242365916722,0.137394118435354,0.0138766931045875,0.0282009464260896,0.344756189947562,0.749970786950037
2000,100,India,BiocapPerCap,0.222855373936623,0.0097457431925069,0.0262863708072087,0.0347051999057187,0.0282009464260896,0.0,0.321793634268147
2001,100,India,EFConsPerCap,0.207983242445162,0.0149516792761106,0.136592781404193,0.0134611098720457,0.029072045433729,0.354338636103707,0.756399494534947
2001,100,India,BiocapPerCap,0.215563844823389,0.0120543122766186,0.026071655916304,0.0341410947374534,0.029072045433729,0.0,0.316902953187494
2002,100,India,EFConsPerCap,0.184518702507643,0.0143772002879405,0.143241042669373,0.0131987396770207,0.0271147708325341,0.332598245157905,0.715048701132416
2002,100,India,BiocapPerCap,0.199154520320961,0.0114184449075936,0.025664824208671,0.033581727223743,0.0271147708325341,0.0,0.296934287493503
2003,100,India,EFConsPerCap,0.211709037063195,0.011887263538084,0.14207363302285,0.0129355316232401,0.0293827209085928,0.336923342408634,0.744911528564596
2003,100,India,BiocapPerCap,0.224712368310882,0.00778586404454833,0.0251619169257163,0.0328691447918501,0.0293827209085928,0.0,0.319912014981589
2004,100,India,EFConsPerCap,0.188250113408581,0.0139255837347126,0.141394092209943,0.0128717014112571,0.0286482954743983,0.361262605219446,0.746352391458337
2004,100,India,BiocapPerCap,0.204338850069398,0.0106532746490976,0.0247358170884909,0.0322710716899643,0.0286482954743983,0.0,0.300647308971349
2005,100,India,EFConsPerCap,0.190290303582476,0.0140214559957522,0.140342890975663,0.0130355967148433,0.0292538556233377,0.374299142981654,0.761243245873726
2005,100,India,BiocapPerCap,0.205431040911961,0.010336169731347,0.0243804005140895,0.0316509448550437,0.0292538556233377,0.0,0.301052411635779
2006,100,India,EFConsPerCap,0.195679049101128,0.0142147647962997,0.139502488736458,0.0135251658371555,0.0298464830341533,0.387726158000618,0.780494109505812
2006,100,India,BiocapPerCap,0.206475602427026,0.0100702721279275,0.0240761832649214,0.0311127021698952,0.0298464830341533,0.0,0.301581243023924
2007,100,India,EFConsPerCap,0.202720233219856,0.0131732005029463,0.1382034036425,0.0146657932076774,0.0317507988472439,0.425497349961284,0.826010779381508
2007,100,India,BiocapPerCap,0.218409830510117,0.00934392824148046,0.0237604260166586,0.0306160107584723,0.0317507988472439,0.0,0.313880994373972
2008,100,India,EFConsPerCap,0.202361305873989,0.0113326944493718,0.137281639144414,0.0152406182109406,0.0316527346684096,0.449077761209344,0.846946753556469
2008,100,India,BiocapPerCap,0.215411741941065,0.00910149723250188,0.0234287501770867,0.0302609343476627,0.0316527346684096,0.0,0.309855658366726
2009,100,India,EFConsPerCap,0.203032139185163,0.0111793681548776,0.136111710582668,0.0140185241767047,0.0311357760545161,0.468883516710376,0.864361034864305
2009,100,India,BiocapPerCap,0.210144711624859,0.00879380908949161,0.0230696204130703,0.0298498938622884,0.0311357760545161,0.0,0.302993811044226
2010,100,India,EFConsPerCap,0.214802657743968,0.010525836153143,0.135342216156579,0.0140898013781466,0.0336880263547194,0.502625192992753,0.911073730779309
2010,100,India,BiocapPerCap,0.228053317798284,0.00763253778444918,0.0227736690663265,0.0293585136403115,0.0336880263547194,0.0,0.32150606464409
2011,100,India,EFConsPerCap,0.210951812217524,0.0108113814279002,0.135251730583015,0.0123862777138481,0.0343695513748615,0.519620831989794,0.923391585306943
2011,100,India,BiocapPerCap,0.228237290041696,0.00783417034641866,0.0224779891124266,0.0289251861333535,0.0343695513748615,0.0,0.321844187008756
2012,100,India,EFConsPerCap,0.206740979064856,0.010125668396058,0.133043443285642,0.0139613969891658,0.0345453076676167,0.561651933222389,0.960068728625728
2012,100,India,BiocapPerCap,0.227649799409726,0.00740586801474769,0.0222082457051006,0.0284092883678137,0.0345453076676167,0.0,0.320218509165004
2013,100,India,EFConsPerCap,0.209712920444889,0.0101998053812461,0.131327992695258,0.0145467675097082,0.0359726578146932,0.555325624286028,0.957085768131823
2013,100,India,BiocapPerCap,0.236991201961343,0.00669971915574605,0.0219337226611369,0.0280368607158596,0.0359726578146932,0.0,0.329634162308779
2014,100,India,EFConsPerCap,0.219859624385371,0.0107264193847973,0.130090971936751,0.0148344116447038,0.0358066895865396,0.592710967175047,1.00402908411321
2014,100,India,BiocapPerCap,0.231425461224231,0.00695626750116128,0.0217104078808196,0.0276939545946007,0.0358066895865396,0.0,0.323592780787352
2015,100,India,EFConsPerCap,0.219570842434351,0.010375761019587,0.128271405381852,0.0145241591980104,0.0343368950149484,0.604028289245237,1.01110735229399
2015,100,India,BiocapPerCap,0.220693865631643,0.00654663940455739,0.0214719630677162,0.0273393294402001,0.0343368950149484,0.0,0.310388692559065
2016,100,India,EFConsPerCap,0.23308211806724,0.0098241953475624,0.126799240898387,0.0168804392653349,0.0359260205484297,0.589393347053623,1.01190536118058
2016,100,India,BiocapPerCap,0.229206374085392,0.00623939432858255,0.0212605947287084,0.0270729996020042,0.0359260205484297,0.0,0.319705383293116
2017,100,India,EFConsPerCap,0.238570231997164,0.00947440038666569,0.125435441696174,0.0155014280317131,0.0373057889645049,0.630480282527622,1.05676757360384
2017,100,India,BiocapPerCap,0.234795755623907,0.00616294746026974,0.0211079630632922,0.0267656169896053,0.0373057889645049,0.0,0.326138072101579
2018,100,India,EFConsPerCap,0.238491653766402,0.00954656074059402,0.120794859201634,0.0151648963803823,0.0389810796214044,0.651444538823167,1.07442358853358
2018,100,India,BiocapPerCap,0.242641825194887,0.00606839999949202,0.0209077114099277,0.0264719436656562,0.0389810796214044,0.0,0.335070959891367
2019,100,India,EFConsPerCap,0.245918900319884,0.00854930406645539,0.120276141272271,0.0155142197396368,0.0395850842393167,0.647130805832154,1.07697445546972
2019,100,India,BiocapPerCap,0.244174410199735,0.00593552389498008,0.0207495666923521,0.0262207459365536,0.0395850842393167,0.0,0.336665330962938
2020,100,India,EFConsPerCap,0.231906041233428,0.00921539699057742,0.11431343366221,0.0132955087059188,0.0391055997003353,0.568041045528714,0.975877025821184
2020,100,India,BiocapPerCap,0.237497915748297,0.00600795144363805,0.0205873460138943,0.0259880323642282,0.0391055997003353,0.0,0.329186845270393
2021,100,India,EFConsPerCap,0.223682093349075,0.0103953229042323,0.112454761310949,0.0134573739506802,0.0400215680718265,0.636031069606815,1.03604218919358
2021,100,India,BiocapPerCap,0.240557025715668,0.00608070468818778,0.0204853652503131,0.0258334688009758,0.0400215680718265,0.0,0.332978132526971
2022,100,India,EFConsPerCap,0.225379292337954,0.00940718875010658,0.114653360502357,0.0151951848055489,0.0397982100813514,0.701776071895396,1.10620930837271
2022,100,India,BiocapPerCap,0.237593089859945,0.00603806871415624,0.0203417283618887,0.0256523327055027,0.0397982100813514,0.0,0.329423429722844
2023,100,India,EFConsPerCap,0.223516872641451,0.00932935023034301,0.113705232940946,0.0150698077019236,0.0397880941894504,0.702608197584934,1.10401755528905
2023,100,India,BiocapPerCap,0.235628310494473,0.00598813682083447,0.020173512155908,0.0254402003829436,0.0397880941894504,0.0,0.327018254043609
2024,100,India,EFConsPerCap,0.221426899378608,0.00924211693992079,0.11264204189733,0.0149292021029939,0.0397772773643446,0.714608502911991,1.11262604059519
2024,100,India,BiocapPerCap,0.233425088154914,0.00593214526027746,0.0199848814580263,0.0252023239678009,0.0397772773643446,0.0,0.324321716205363
