year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,102,"Iran, Islamic Republic of",EFConsPerCap,,,,,,,1.3471289444502
1961,102,"Iran, Islamic Republic of",BiocapPerCap,,,,,,,1.88066156700664
1962,102,"Iran, Islamic Republic of",EFConsPerCap,,,,,,,1.29814118411802
1962,102,"Iran, Islamic Republic of",BiocapPerCap,,,,,,,1.81067326673348
1963,102,"Iran, Islamic Republic of",EFConsPerCap,,,,,,,1.25259670542318
1963,102,"Iran, Islamic Republic of",BiocapPerCap,,,,,,,1.76838634130001
1964,102,"Iran, Islamic Republic of",EFConsPerCap,,,,,,,1.18216128799991
1964,102,"Iran, Islamic Republic of",BiocapPerCap,,,,,,,1.70095482913529
1965,102,"Iran, Islamic Republic of",EFConsPerCap,,,,,,,1.23754563372185
1965,102,"Iran, Islamic Republic of",BiocapPerCap,,,,,,,1.68531374905396
1966,102,"Iran, Islamic Republic of",EFConsPerCap,,,,,,,1.21401443622474
1966,102,"Iran, Islamic Republic of",BiocapPerCap,,,,,,,1.61691993716112
1967,102,"Iran, Islamic Republic of",EFConsPerCap,,,,,,,1.16739112682787
1967,102,"Iran, Islamic Republic of",BiocapPerCap,,,,,,,1.59224003528216
1968,102,"Iran, Islamic Republic of",EFConsPerCap,,,,,,,1.21444967313673
1968,102,"Iran, Islamic Republic of",BiocapPerCap,,,,,,,1.54305222619569
1969,102,"Iran, Islamic Republic of",EFConsPerCap,,,,,,,1.15923213622745
1969,102,"Iran, Islamic Republic of",BiocapPerCap,,,,,,,1.51488936849628
1970,102,"Iran, Islamic Republic of",EFConsPerCap,,,,,,,1.16523511668784
1970,102,"Iran, Islamic Republic of",BiocapPerCap,,,,,,,1.47314718664876
1971,102,"Iran, Islamic Republic of",EFConsPerCap,,,,,,,1.18714882957028
1971,102,"Iran, Islamic Republic of",BiocapPerCap,,,,,,,1.41069530594916
1972,102,"Iran, Islamic Republic of",EFConsPerCap,,,,,,,1.13115658070617
1972,102,"Iran, Islamic Republic of",BiocapPerCap,,,,,,,1.42947837016245
1973,102,"Iran, Islamic Republic of",EFConsPerCap,,,,,,,1.10139247501922
1973,102,"Iran, Islamic Republic of",BiocapPerCap,,,,,,,1.41678034412648
1974,102,"Iran, Islamic Republic of",EFConsPerCap,,,,,,,1.04385616905522
1974,102,"Iran, Islamic Republic of",BiocapPerCap,,,,,,,1.35679554073644
1975,102,"Iran, Islamic Republic of",EFConsPerCap,,,,,,,1.41688208892221
1975,102,"Iran, Islamic Republic of",BiocapPerCap,,,,,,,1.36432587506704
1976,102,"Iran, Islamic Republic of",EFConsPerCap,,,,,,,1.57720972970765
1976,102,"Iran, Islamic Republic of",BiocapPerCap,,,,,,,1.34913288860565
