year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,103,Iraq,EFConsPerCap,,,,,,,1.14628081912938
1961,103,Iraq,BiocapPerCap,,,,,,,0.901117007689325
1962,103,Iraq,EFConsPerCap,,,,,,,0.964544953211344
1962,103,Iraq,BiocapPerCap,,,,,,,0.880866882887592
1963,103,Iraq,EFConsPerCap,,,,,,,0.723366838180095
1963,103,Iraq,BiocapPerCap,,,,,,,0.785616637964079
1964,103,Iraq,EFConsPerCap,,,,,,,0.930407549374142
1964,103,Iraq,BiocapPerCap,,,,,,,0.741051382230697
1965,103,Iraq,EFConsPerCap,,,,,,,1.05669645252874
1965,103,Iraq,BiocapPerCap,,,,,,,0.765217023387905
1966,103,Iraq,EFConsPerCap,,,,,,,1.10462075384841
1966,103,Iraq,BiocapPerCap,,,,,,,0.719030346761126
1967,103,Iraq,EFConsPerCap,,,,,,,1.11061353824627
1967,103,Iraq,BiocapPerCap,,,,,,,0.734545883872865
1968,103,Iraq,EFConsPerCap,,,,,,,1.20338761696157
1968,103,Iraq,BiocapPerCap,,,,,,,0.852413728748514
1969,103,Iraq,EFConsPerCap,,,,,,,1.14484732307705
1969,103,Iraq,BiocapPerCap,,,,,,,0.803566304808373
1970,103,Iraq,EFConsPerCap,,,,,,,1.16470884232527
1970,103,Iraq,BiocapPerCap,,,,,,,0.742296737270292
1971,103,Iraq,EFConsPerCap,,,,,,,1.33888861230762
1971,103,Iraq,BiocapPerCap,,,,,,,0.717867486580473
1972,103,Iraq,EFConsPerCap,,,,,,,1.34590694125545
1972,103,Iraq,BiocapPerCap,,,,,,,0.847641314775156
1973,103,Iraq,EFConsPerCap,,,,,,,1.14373595887558
1973,103,Iraq,BiocapPerCap,,,,,,,0.639020502913608
1974,103,Iraq,EFConsPerCap,,,,,,,1.38754390392394
1974,103,Iraq,BiocapPerCap,,,,,,,0.61306388084727
1975,103,Iraq,EFConsPerCap,,,,,,,1.41776002800943
1975,103,Iraq,BiocapPerCap,,,,,,,0.537752724545021
1976,103,Iraq,EFConsPerCap,,,,,,,1.49614382081916
1976,103,Iraq,BiocapPerCap,,,,,,,0.594960146813949
1977,103,Iraq,EFConsPerCap,,,,,,,1.5045340489046
1977,103,Iraq,BiocapPerCap,,,,,,,0.589884076173544
1978,103,Iraq,EFConsPerCap,,,,,,,1.49984299069898
1978,103,Iraq,BiocapPerCap,,,,,,,0.51473932836632
1979,103,Iraq,EFConsPerCap,,,,,,,1.6924035296807
1979,103,Iraq,BiocapPerCap,,,,,,,0.505106569876616
1980,103,Iraq,EFConsPerCap,,,,,,,1.58407544975139
1980,103,Iraq,BiocapPerCap,,,,,,,0.492972054989708
1981,103,Iraq,EFConsPerCap,,,,,,,1.56898411373625
1981,103,Iraq,BiocapPerCap,,,,,,,0.517942550418115
1982,103,Iraq,EFConsPerCap,,,,,,,1.68093005223254
1982,103,Iraq,BiocapPerCap,,,,,,,0.498652787025403
1983,103,Iraq,EFConsPerCap,,,,,,,1.58694660153419
1983,103,Iraq,BiocapPerCap,,,,,,,0.435104719652508
1984,103,Iraq,EFConsPerCap,,,,,,,1.95014884339603
1984,103,Iraq,BiocapPerCap,,,,,,,0.540185781365639
1985,103,Iraq,EFConsPerCap,,,,,,,1.97022798056339
1985,103,Iraq,BiocapPerCap,,,,,,,0.497984296811567
1986,103,Iraq,EFConsPerCap,,,,,,,1.80303146902467
1986,103,Iraq,BiocapPerCap,,,,,,,0.437006943471949
1987,103,Iraq,EFConsPerCap,,,,,,,1.84509189989506
1987,103,Iraq,BiocapPerCap,,,,,,,0.444707418864216
1988,103,Iraq,EFConsPerCap,,,,,,,2.13232721872236
1988,103,Iraq,BiocapPerCap,,,,,,,0.473886948157973
1989,103,Iraq,EFConsPerCap,,,,,,,2.12546762607895
1989,103,Iraq,BiocapPerCap,,,,,,,0.430903013891274
1990,103,Iraq,EFConsPerCap,,,,,,,1.86423067940996
1990,103,Iraq,BiocapPerCap,,,,,,,0.438360142143584
1991,103,Iraq,EFConsPerCap,,,,,,,1.48438853853845
1991,103,Iraq,BiocapPerCap,,,,,,,0.387461236053453
1992,103,Iraq,EFConsPerCap,,,,,,,1.84988439713628
1992,103,Iraq,BiocapPerCap,,,,,,,0.363235084047665
1993,103,Iraq,EFConsPerCap,,,,,,,2.0662919456703
1993,103,Iraq,BiocapPerCap,,,,,,,0.349329518040846
1994,103,Iraq,EFConsPerCap,,,,,,,2.17889915173361
1994,103,Iraq,BiocapPerCap,,,,,,,0.345720160768734
1995,103,Iraq,EFConsPerCap,,,,,,,2.10469135505386
1995,103,Iraq,BiocapPerCap,,,,,,,0.333244152707743
1996,103,Iraq,EFConsPerCap,,,,,,,2.01955112423944
1996,103,Iraq,BiocapPerCap,,,,,,,0.34248168813627
1997,103,Iraq,EFConsPerCap,,,,,,,2.20355887249748
1997,103,Iraq,BiocapPerCap,,,,,,,0.300152274548303
1998,103,Iraq,EFConsPerCap,,,,,,,1.70296743089733
1998,103,Iraq,BiocapPerCap,,,,,,,0.303914830795275
1999,103,Iraq,EFConsPerCap,,,,,,,1.32796461578533
1999,103,Iraq,BiocapPerCap,,,,,,,0.252735258277048
2000,103,Iraq,EFConsPerCap,,,,,,,1.56558026729012
2000,103,Iraq,BiocapPerCap,,,,,,,0.219458948790276
2001,103,Iraq,EFConsPerCap,,,,,,,1.7712492166845
2001,103,Iraq,BiocapPerCap,,,,,,,0.260913059211734
2002,103,Iraq,EFConsPerCap,,,,,,,1.60998870057722
2002,103,Iraq,BiocapPerCap,,,,,,,0.340786089558215
2003,103,Iraq,EFConsPerCap,,,,,,,1.38585259035034
2003,103,Iraq,BiocapPerCap,,,,,,,0.327086935101138
2004,103,Iraq,EFConsPerCap,,,,,,,1.40688387003333
2004,103,Iraq,BiocapPerCap,,,,,,,0.292781829899142
2005,103,Iraq,EFConsPerCap,,,,,,,1.42815084361228
