year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,104,Ireland,EFConsPerCap,,,,,,,4.02899580697222
1961,104,Ireland,BiocapPerCap,,,,,,,5.05886879486798
1962,104,Ireland,EFConsPerCap,,,,,,,4.00194090321221
1962,104,Ireland,BiocapPerCap,,,,,,,5.07090794285798
1963,104,Ireland,EFConsPerCap,,,,,,,3.92377839182271
1963,104,Ireland,BiocapPerCap,,,,,,,5.00745834016536
1964,104,Ireland,EFConsPerCap,,,,,,,3.89308520242711
1964,104,Ireland,BiocapPerCap,,,,,,,4.91629501432609
1965,104,Ireland,EFConsPerCap,,,,,,,3.8604090459523
1965,104,Ireland,BiocapPerCap,,,,,,,4.94407872627022
1966,104,Ireland,EFConsPerCap,,,,,,,4.15244193771438
1966,104,Ireland,BiocapPerCap,,,,,,,4.89751052990748
1967,104,Ireland,EFConsPerCap,,,,,,,4.41865806805789
1967,104,Ireland,BiocapPerCap,,,,,,,4.94534012255718
1968,104,Ireland,EFConsPerCap,,,,,,,4.89596427702929
1968,104,Ireland,BiocapPerCap,,,,,,,4.95803350147033
1969,104,Ireland,EFConsPerCap,,,,,,,4.9554122556592
1969,104,Ireland,BiocapPerCap,,,,,,,4.92443264575852
1970,104,Ireland,EFConsPerCap,,,,,,,5.33894538002969
1970,104,Ireland,BiocapPerCap,,,,,,,4.8473459613308
1971,104,Ireland,EFConsPerCap,,,,,,,5.59520082385808
1971,104,Ireland,BiocapPerCap,,,,,,,4.84003850280806
1972,104,Ireland,EFConsPerCap,,,,,,,5.37873240752671
1972,104,Ireland,BiocapPerCap,,,,,,,4.70644687137001
1973,104,Ireland,EFConsPerCap,,,,,,,5.79290737162324
1973,104,Ireland,BiocapPerCap,,,,,,,4.61686497129346
1974,104,Ireland,EFConsPerCap,,,,,,,5.86251980080033
1974,104,Ireland,BiocapPerCap,,,,,,,4.58438134503162
1975,104,Ireland,EFConsPerCap,,,,,,,5.08293220142806
1975,104,Ireland,BiocapPerCap,,,,,,,4.51602300327187
1976,104,Ireland,EFConsPerCap,,,,,,,5.29800724109152
1976,104,Ireland,BiocapPerCap,,,,,,,4.36127339796498
1977,104,Ireland,EFConsPerCap,,,,,,,5.56493196137796
1977,104,Ireland,BiocapPerCap,,,,,,,4.49478462438036
1978,104,Ireland,EFConsPerCap,,,,,,,5.37391927484998
1978,104,Ireland,BiocapPerCap,,,,,,,4.35080602485891
1979,104,Ireland,EFConsPerCap,,,,,,,6.2417510072596
1979,104,Ireland,BiocapPerCap,,,,,,,4.35782938266855
1980,104,Ireland,EFConsPerCap,,,,,,,5.17283119100937
