year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,114,Kenya,EFConsPerCap,0.336455706144726,1.33337651154238,0.465672193435467,0.00551415630724409,0.0155498485079756,0.107414652337888,2.26398306827568
1961,114,Kenya,BiocapPerCap,0.362507989240826,1.35139442858336,0.0848827650441737,0.103664693410742,0.0155498485079756,0.0,1.91799972478707
1962,114,Kenya,EFConsPerCap,0.313260292240823,1.27771347570343,0.458688939739494,0.00782888193832473,0.0166309980078777,0.109766821173728,2.18388940880368
1962,114,Kenya,BiocapPerCap,0.340778583985982,1.29884480455528,0.0817124628965848,0.0996336418180316,0.0166309980078777,0.0,1.83760049126375
1963,114,Kenya,EFConsPerCap,0.302519985127655,1.22599408188883,0.454648706068715,0.0099567103978393,0.0180483151071754,0.106348621331405,2.11751641992162
1963,114,Kenya,BiocapPerCap,0.341019448103892,1.24826185058718,0.0785530134252864,0.0957534523603844,0.0180483151071754,0.0,1.78163607958392
1964,114,Kenya,EFConsPerCap,0.288666446281708,1.18340136288666,0.447282466201295,0.00843115789790524,0.0183279073183639,0.0975837642920026,2.04369310487794
1964,114,Kenya,BiocapPerCap,0.322683509043244,1.19866612539948,0.0755091949911022,0.0919489926576346,0.0183279073183639,0.0,1.70713572940983
1965,114,Kenya,EFConsPerCap,0.273287577996857,1.13688655719945,0.443051328636218,0.00833041105746551,0.0183119345387808,0.081067856535981,1.96093566596475
1965,114,Kenya,BiocapPerCap,0.293553422440594,1.15003611887422,0.0725923626375641,0.0882186126809399,0.0183119345387808,0.0,1.6227124511721
1966,114,Kenya,EFConsPerCap,0.286626742491985,1.08841841004681,0.435513287460216,0.00853154563023731,0.0187325303321198,0.0899165803130034,1.92773909627437
1966,114,Kenya,BiocapPerCap,0.303551368982481,1.10193813831812,0.0698633323174976,0.0845290441119391,0.0187325303321198,0.0,1.57861441406215
1967,114,Kenya,EFConsPerCap,0.238236267407085,1.04378009550474,0.434158852321776,0.00913177376461671,0.0198903071643249,0.0962705128260346,1.84146780898858
1967,114,Kenya,BiocapPerCap,0.286899186469755,1.05787980273194,0.0671562826360183,0.0811493543972814,0.0198903071643249,0.0,1.51297493339932
1968,114,Kenya,EFConsPerCap,0.229979610526601,1.00049466500228,0.427261041299304,0.00967390083918553,0.022186312405395,0.0949455084026791,1.78454103847545
1968,114,Kenya,BiocapPerCap,0.288253265615359,1.01429632051589,0.0644791942361408,0.0778060904129573,0.022186312405395,0.0,1.46702118318574
1969,114,Kenya,EFConsPerCap,0.239027624860288,0.964075124039581,0.423122026951658,0.00964002722524543,0.0225695655546287,0.0994292627244812,1.75786363135588
1969,114,Kenya,BiocapPerCap,0.285777556615392,0.976300572568574,0.0618994888305981,0.0748914583273423,0.0225695655546287,0.0,1.42143864189654
1970,114,Kenya,EFConsPerCap,0.246742803113389,0.928335181129482,0.415859371738135,0.00801606112189879,0.0229791318320501,0.103337786575385,1.72527033551034
1970,114,Kenya,BiocapPerCap,0.285343755350664,0.939244190314607,0.0595246888495958,0.0720488844466022,0.0229791318320501,0.0,1.37914065079352
1971,114,Kenya,EFConsPerCap,0.254687162944314,0.89484661905598,0.404000766274491,0.00752002363319003,0.0226451078544933,0.117713743356037,1.70141342311851
1971,114,Kenya,BiocapPerCap,0.276051175975719,0.902489476290924,0.0575267362154023,0.0692294513632064,0.0226451078544933,0.0,1.32794194769975
1972,114,Kenya,EFConsPerCap,0.238200780747777,0.85735385098174,0.390951528685318,0.00703132024869912,0.0237352440893616,0.109587681437038,1.62686040618993
1972,114,Kenya,BiocapPerCap,0.263669194835781,0.870490753540717,0.0555545679542611,0.066774847649239,0.0237352440893616,0.0,1.28022460806936
1973,114,Kenya,EFConsPerCap,0.224453020746152,0.833901243254789,0.393294068605471,0.0126902769640471,0.0267698773409087,0.118253857935158,1.60936234484653
1973,114,Kenya,BiocapPerCap,0.265426477533393,0.841168749556035,0.0536901068030879,0.0645255735002794,0.0267698773409087,0.0,1.2515807847337
1974,114,Kenya,EFConsPerCap,0.233569590807708,0.802331367970344,0.395043578943853,0.0165350422691763,0.0275476949393004,0.116150659563922,1.5911779344943
1974,114,Kenya,BiocapPerCap,0.263457163217088,0.810677820534146,0.0519080395817379,0.0621866317805209,0.0275476949393004,0.0,1.21577735005279
1975,114,Kenya,EFConsPerCap,0.242075699247439,0.774033024226583,0.390184509056999,0.015025870282473,0.0263381630911235,0.112824918736797,1.56048218464142
1975,114,Kenya,BiocapPerCap,0.272622825294254,0.78409974893596,0.0502569785488192,0.0600236662605127,0.0263381630911235,0.0,1.19334138213067
1976,114,Kenya,EFConsPerCap,0.257610526954337,0.744758517071059,0.393253055311187,0.0297555312413255,0.029748381993169,0.161551167320732,1.61667717989181
1976,114,Kenya,BiocapPerCap,0.28713237749755,0.758258655444764,0.0485925185966887,0.0580455031841604,0.029748381993169,0.0,1.18177743671633
1977,114,Kenya,EFConsPerCap,0.265577609973369,0.720799481893196,0.39120021788382,0.0309799633425442,0.0302840415748073,0.171883330483965,1.6107246451517
1977,114,Kenya,BiocapPerCap,0.282928999942052,0.731952702448209,0.0469875652273772,0.0560317546203167,0.0302840415748073,0.0,1.14818506381276
1978,114,Kenya,EFConsPerCap,0.250431526752734,0.700919666164127,0.402399519963103,0.0386961929721288,0.0293582586651836,0.176217163465163,1.59802232798244
1978,114,Kenya,BiocapPerCap,0.265006932939829,0.706695463572677,0.0452861771348187,0.0540982862331832,0.0293582586651836,0.0,1.10044511854569
1979,114,Kenya,EFConsPerCap,0.218561629811467,0.677827678364615,0.398323882802367,0.0753931200128026,0.0282404098738211,0.156533238136034,1.55487995900111
1979,114,Kenya,BiocapPerCap,0.250898998745612,0.682784029479538,0.043709173223224,0.0522678406275515,0.0282404098738211,0.0,1.05790045194975
1980,114,Kenya,EFConsPerCap,0.230075982361688,0.658178614456554,0.383737288185753,0.0519731069930179,0.0260668066764144,0.156859709732795,1.50689150840622
1980,114,Kenya,BiocapPerCap,0.239316776102771,0.661562755768025,0.0418831528935988,0.0506433296484173,0.0260668066764144,0.0,1.01947282108923
1981,114,Kenya,EFConsPerCap,0.24246758975056,0.632993743155531,0.374365792039367,0.144813142025225,0.0274097506552219,0.143460269145259,1.56551028677116
1981,114,Kenya,BiocapPerCap,0.259824194656483,0.636093818024136,0.0403891560259028,0.0486936554886901,0.0274097506552219,0.0,1.01241057485043
1982,114,Kenya,EFConsPerCap,0.278931641814575,0.607413139348113,0.370739232893738,0.181252478102418,0.0326217087147354,0.123297052596432,1.59425525347001
1982,114,Kenya,BiocapPerCap,0.287854920280457,0.611853137361063,0.0389483025711151,0.0468380057094083,0.0326217087147354,0.0,1.01811607463678
1983,114,Kenya,EFConsPerCap,0.26477325930704,0.584759900421476,0.372159607638993,0.296280583614646,0.03423031966394,0.103902459134695,1.65610612978079
1983,114,Kenya,BiocapPerCap,0.281772544426258,0.587964531991633,0.0374957175871658,0.0450093076667554,0.03423031966394,0.0,0.986472421335752
1984,114,Kenya,EFConsPerCap,0.223609468041953,0.560794916727459,0.371296788902833,0.269841153841573,0.0266472044503288,0.124369024228882,1.57655855619303
1984,114,Kenya,BiocapPerCap,0.230567068638821,0.564609127726045,0.0360467313568796,0.0432437462052502,0.0266472044503288,0.0,0.901113878377325
1985,114,Kenya,EFConsPerCap,0.236680253220695,0.541963741631524,0.368543903106416,0.338577418312515,0.0269509342023742,0.131953150752185,1.64466940122571
1985,114,Kenya,BiocapPerCap,0.25782880444489,0.545618356283317,0.0347037370689628,0.0415463671707367,0.0269509342023742,0.0,0.906648199170281
1986,114,Kenya,EFConsPerCap,0.268317551695925,0.522596620185806,0.362377315771986,0.302279294113058,0.031679410110078,0.141387173637157,1.62863736551401
1986,114,Kenya,BiocapPerCap,0.292731317596044,0.525939385166538,0.0333820189527238,0.0400426946524935,0.031679410110078,0.0,0.923774826477878
1987,114,Kenya,EFConsPerCap,0.232048608082857,0.503616700864495,0.359817989090044,0.303826873024105,0.0283751378366578,0.139017212679944,1.5667025215781
1987,114,Kenya,BiocapPerCap,0.256689630614671,0.507050552185924,0.032272803198392,0.0385882075675218,0.0283751378366578,0.0,0.862976331403167
1988,114,Kenya,EFConsPerCap,0.245340872622024,0.486070978898252,0.355240118987122,0.224800203362934,0.0303442883522061,0.139149167401244,1.48094562962378
1988,114,Kenya,BiocapPerCap,0.269219648442772,0.48918969543619,0.0312096172162358,0.0371712102044329,0.0303442883522061,0.0,0.857134459651837
1989,114,Kenya,EFConsPerCap,0.267732361340808,0.471430791127734,0.351867171170256,0.195560545451812,0.0310739189718593,0.141657622046814,1.45932241010928
1989,114,Kenya,BiocapPerCap,0.285156862339803,0.473236358655886,0.0301717159549423,0.0358632053305048,0.0310739189718593,0.0,0.855502061252996
1990,114,Kenya,EFConsPerCap,0.250954818661523,0.454790525702461,0.346174382413564,0.177441149456685,0.0319085256280266,0.132708969906503,1.39397837176876
1990,114,Kenya,BiocapPerCap,0.267671175141645,0.45572789513084,0.0291503374101741,0.0346030783787783,0.0319085256280266,0.0,0.819061011689465
1991,114,Kenya,EFConsPerCap,0.241091705544948,0.440385487577144,0.344082306046806,0.17705037576254,0.0301189717964982,0.126274222148255,1.35900306887619
1991,114,Kenya,BiocapPerCap,0.247788569626444,0.441714123983947,0.0283266977965909,0.0335145453000865,0.0301189717964982,0.0,0.781462908503567
1992,114,Kenya,EFConsPerCap,0.242433258558891,0.433644883142668,0.34516303005657,0.222047194310503,0.0329470332778373,0.118711812070538,1.39494721141701
1992,114,Kenya,BiocapPerCap,0.265618218936098,0.434160961925279,0.0278306711831925,0.0328977016397912,0.0329470332778373,0.0,0.793454586962198
1993,114,Kenya,EFConsPerCap,0.201549268748822,0.419721381198984,0.344219129172877,0.280111607710912,0.0299637149335189,0.112855425169397,1.38842052693451
1993,114,Kenya,BiocapPerCap,0.23032487403506,0.420469960145481,0.027092322904904,0.0319107224692438,0.0299637149335189,0.0,0.739761594488209
1994,114,Kenya,EFConsPerCap,0.249361090799417,0.408710438878208,0.340975646859929,0.389858346677175,0.0301864747187504,0.125744429801114,1.54483642773459
1994,114,Kenya,BiocapPerCap,0.243168613230475,0.409037783138878,0.0264366771166789,0.0309602983403963,0.0301864747187504,0.0,0.739789846545179
1995,114,Kenya,EFConsPerCap,0.226434650137746,0.395953354145379,0.337214274275702,0.240314518290619,0.0297520826200952,0.131153296876702,1.36082217634624
1995,114,Kenya,BiocapPerCap,0.233612508490698,0.396808245338874,0.0257969414404393,0.0300374992118341,0.0297520826200952,0.0,0.71600727710194
1996,114,Kenya,EFConsPerCap,0.166712646432319,0.38267326598131,0.333178998516361,0.187575443620913,0.0276006143036562,0.145827101343613,1.24356807019817
1996,114,Kenya,BiocapPerCap,0.181622083830353,0.383840086637053,0.0251647313699155,0.0292082903783448,0.0276006143036562,0.0,0.647435806519323
1997,114,Kenya,EFConsPerCap,0.187396761939254,0.372860904506073,0.329530878449848,0.146986820411143,0.0259165348986582,0.13204934013617,1.19474124034115
1997,114,Kenya,BiocapPerCap,0.169118149557071,0.373843304956738,0.0245520261409434,0.0284197848011933,0.0259165348986582,0.0,0.621849800354604
1998,114,Kenya,EFConsPerCap,0.183104775433951,0.363377758698495,0.323003345264677,0.146567598201002,0.0282076554794794,0.139567372590246,1.18382850566785
1998,114,Kenya,BiocapPerCap,0.17415905988662,0.363970111417363,0.0239674675261946,0.0276949595210801,0.0282076554794794,0.0,0.617999253830736
1999,114,Kenya,EFConsPerCap,0.194949630675848,0.35485117613749,0.315729709002619,0.167982633934964,0.0290153012267349,0.146402029519902,1.20893048049756
1999,114,Kenya,BiocapPerCap,0.188585931675954,0.355245665694812,0.0233163005351952,0.0269540354684853,0.0290153012267349,0.0,0.623117234601182
2000,114,Kenya,EFConsPerCap,0.187679197330336,0.343718184700513,0.305552242548847,0.222809743539012,0.0273881206378972,0.153834096984876,1.24098158574148
2000,114,Kenya,BiocapPerCap,0.166642191644983,0.344937026005912,0.0226760395515724,0.0262085211817341,0.0273881206378972,0.0,0.587851899022099
2001,114,Kenya,EFConsPerCap,0.194623829014244,0.334892488250714,0.298958446077145,0.107263096060217,0.0297340820639555,0.174332803831637,1.13980474529791
2001,114,Kenya,BiocapPerCap,0.174223642087909,0.335513295078198,0.021962767914385,0.025469885451837,0.0297340820639555,0.0,0.586903672596285
2002,114,Kenya,EFConsPerCap,0.199546180448958,0.325143422464939,0.291117242389654,0.0792790285649211,0.0322629995629263,0.1388206488333,1.0661695222647
2002,114,Kenya,BiocapPerCap,0.179258580320147,0.326092839165647,0.0211031588390802,0.0247396222944076,0.0322629995629263,0.0,0.583457200182209
2003,114,Kenya,EFConsPerCap,0.181471832521577,0.313776816547853,0.286591922142111,0.0773335493880609,0.0316462146559885,0.124984961263978,1.01580529651957
2003,114,Kenya,BiocapPerCap,0.172311090932342,0.315129215060004,0.0201965168224043,0.0239156653598505,0.0316462146559885,0.0,0.563198702830589
2004,114,Kenya,EFConsPerCap,0.18137397794662,0.30430727558945,0.279697135554839,0.0823152695252639,0.0284949615938449,0.142974362142144,1.01916298235216
2004,114,Kenya,BiocapPerCap,0.17561162014886,0.305010079604769,0.0193653523267182,0.0231731784415053,0.0284949615938449,0.0,0.551655192115698
2005,114,Kenya,EFConsPerCap,0.187687396826952,0.2942335193228,0.315367625151498,0.0901209698818786,0.0323498994596486,0.147579530897349,1.06733894154013
2005,114,Kenya,BiocapPerCap,0.171767610531885,0.29510780188915,0.0186053433410589,0.0224181790182052,0.0323498994596486,0.0,0.540248834239948
2006,114,Kenya,EFConsPerCap,0.207100623114359,0.284874354978996,0.319440409172105,0.0966391024931145,0.0359663586456962,0.155518498287704,1.09953934669197
2006,114,Kenya,BiocapPerCap,0.179529820070983,0.285848197565108,0.0178939636793895,0.0217194985353025,0.0359663586456962,0.0,0.54095783849648
2007,114,Kenya,EFConsPerCap,0.214779330476615,0.276425598766595,0.311596373214998,0.0839429637643354,0.0344913346305889,0.15188085995603,1.07311646080916
2007,114,Kenya,BiocapPerCap,0.186432656531614,0.277059799649759,0.017189080642007,0.0210547378400707,0.0344913346305889,0.0,0.536227609294039
2008,114,Kenya,EFConsPerCap,0.171374106945432,0.269344030706747,0.302953934747118,0.0660557312318809,0.029210069076245,0.18433594087603,1.02327381358345
2008,114,Kenya,BiocapPerCap,0.159554204442192,0.269650300729976,0.016487061873593,0.0204891036244538,0.029210069076245,0.0,0.495390739746459
2009,114,Kenya,EFConsPerCap,0.197088442444649,0.262096020445126,0.293552755528668,0.0935186983927087,0.0306203272192347,0.191100441341783,1.06797668537217
2009,114,Kenya,BiocapPerCap,0.15203849830304,0.262599063925055,0.0157885468108233,0.0198961652505029,0.0306203272192347,0.0,0.480942601508656
2010,114,Kenya,EFConsPerCap,0.202566012037555,0.25407700902814,0.289787352547149,0.0609046170003666,0.0362010958640788,0.208719956385148,1.05225604286244
2010,114,Kenya,BiocapPerCap,0.173219956369476,0.25472067268474,0.015176288786413,0.019288807856609,0.0362010958640788,0.0,0.498606821561317
2011,114,Kenya,EFConsPerCap,0.222536715374108,0.248199278250619,0.283166183864823,0.106470915573339,0.0361056383026903,0.21747043146714,1.11394916283272
2011,114,Kenya,BiocapPerCap,0.170940796846589,0.248217152169573,0.0146537478147918,0.018759864751996,0.0361056383026903,0.0,0.48867719988564
2012,114,Kenya,EFConsPerCap,0.226554410748899,0.24114794315786,0.267021528967057,0.0970809400286218,0.0390730566190468,0.213756224551343,1.08463410407283
2012,114,Kenya,BiocapPerCap,0.178612651111413,0.24129293254869,0.0141772823866482,0.0182066658996634,0.0390730566190468,0.0,0.491362588565462
2013,114,Kenya,EFConsPerCap,0.220400072506139,0.234572073651691,0.260767632992143,0.0831389870770065,0.0404861804377581,0.224693682954131,1.06405862961887
2013,114,Kenya,BiocapPerCap,0.181486448350446,0.235348720842413,0.0137221874708306,0.0177691415085564,0.0404861804377581,0.0,0.488812678610004
2014,114,Kenya,EFConsPerCap,0.238910308869673,0.23014787329448,0.260509313016454,0.0769973395642318,0.0414686760178334,0.251016883110304,1.09905039387298
2014,114,Kenya,BiocapPerCap,0.180972181368323,0.230367747587542,0.0133187524254513,0.0173678950733716,0.0414686760178334,0.0,0.483495252472522
2015,114,Kenya,EFConsPerCap,0.257549542722482,0.225490845300362,0.254016747221612,0.0756848543471211,0.0451935636575707,0.273356051950197,1.13129160519934
2015,114,Kenya,BiocapPerCap,0.19293474596451,0.225248867721498,0.0129218162432465,0.016972778099603,0.0451935636575707,0.0,0.493271771686429
2016,114,Kenya,EFConsPerCap,0.225943147101876,0.219843449960294,0.249545272064559,0.0346934440787691,0.0401440461770561,0.273189165992491,1.04335852537504
2016,114,Kenya,BiocapPerCap,0.168542934553848,0.220616985506609,0.0127235665954939,0.0166373491948864,0.0401440461770561,0.0,0.458664882027893
2017,114,Kenya,EFConsPerCap,0.265428940862625,0.214977096021468,0.246012244808437,0.0277517772315825,0.0420826291164606,0.297522324600729,1.0937750126413
2017,114,Kenya,BiocapPerCap,0.173097639815268,0.215938381445914,0.0125610336889872,0.0162815453495532,0.0420826291164606,0.0,0.459961229416183
2018,114,Kenya,EFConsPerCap,0.251895764019005,0.20975757608359,0.241886410875181,0.0306636908807738,0.0440076717322298,0.288264928866666,1.06647604245745
2018,114,Kenya,BiocapPerCap,0.177416885138819,0.211650926259933,0.0123802469421292,0.0159513151242996,0.0440076717322298,0.0,0.461407045197411
2019,114,Kenya,EFConsPerCap,0.237284208026709,0.207852842666347,0.235873079083033,0.0235758579805181,0.0428577705994121,0.288844831456916,1.03628858981294
2019,114,Kenya,BiocapPerCap,0.169696973614676,0.20766591488801,0.0121249774927212,0.0156500980449801,0.0428577705994121,0.0,0.447995734639799
2020,114,Kenya,EFConsPerCap,0.250427089122381,0.204891234521434,0.21846596028235,0.0187666788865852,0.0484328565051535,0.260423662377559,1.00140748169546
2020,114,Kenya,BiocapPerCap,0.187524184116253,0.203780113871986,0.0118600728981897,0.0153485303758186,0.0484328565051535,0.0,0.466945757767401
2021,114,Kenya,EFConsPerCap,0.222806437219406,0.200778418697649,0.215281162038044,0.0156267277043279,0.0439601874796501,0.281331466794299,0.979784399933376
2021,114,Kenya,BiocapPerCap,0.166195202700961,0.200477825687696,0.011623943465554,0.0150834011438303,0.0439601874796501,0.0,0.437340560477691
2022,114,Kenya,EFConsPerCap,0.200239316501803,0.196045787736813,0.209942670882843,0.0204310339195315,0.0385870804427415,0.273730902154893,0.938976791638626
2022,114,Kenya,BiocapPerCap,0.143122770128401,0.196640247242678,0.0114014360898056,0.0147946722786375,0.0385870804427415,0.0,0.404546206182264
2023,114,Kenya,EFConsPerCap,0.196306033580972,0.192179651304444,0.205802539273782,0.0200281483575578,0.0385775056510709,0.263920351394384,0.91681422956221
2023,114,Kenya,BiocapPerCap,0.140300346739705,0.192762443365078,0.0111765963954948,0.0145029169623461,0.0385775056510709,0.0,0.397319809113695
2024,114,Kenya,EFConsPerCap,0.19240296492462,0.188358604026886,0.201710632419602,0.0196299569826672,0.0385670795529444,0.263486530831943,0.904155768738663
2024,114,Kenya,BiocapPerCap,0.137510799280797,0.188929808617143,0.0109543756612001,0.0142145600473477,0.0385670795529444,0.0,0.390176623159432
