year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,116,"Korea, Democratic People's Republic of",EFConsPerCap,0.280903692256787,0.0160632700525298,0.113994405828128,0.075062692393678,0.0318689942881652,0.518853848097275,1.03674690291656
1961,116,"Korea, Democratic People's Republic of",BiocapPerCap,0.233813101281168,0.0158927100734947,0.582408953784688,0.20405706829546,0.0318689942881652,0.0,1.06804082772298
1962,116,"Korea, Democratic People's Republic of",EFConsPerCap,0.247826981508004,0.0157365126468574,0.11342900342974,0.0726734914958082,0.033006039641228,0.573629561349982,1.05630159007162
1962,116,"Korea, Democratic People's Republic of",BiocapPerCap,0.236906678983289,0.0155306467220519,0.570050417869189,0.199408296267846,0.033006039641228,0.0,1.0549020794836
1963,116,"Korea, Democratic People's Republic of",EFConsPerCap,0.245701742328232,0.0153912411442622,0.112652633431796,0.0712269095637192,0.0335663116889812,0.557151834506456,1.03569067266345
1963,116,"Korea, Democratic People's Republic of",BiocapPerCap,0.235236476932092,0.0151545420481931,0.556407092713988,0.194579238368662,0.0335663116889812,0.0,1.03494366175192
1964,116,"Korea, Democratic People's Republic of",EFConsPerCap,0.243728996039575,0.0149997700606048,0.111692962291171,0.0691918136999786,0.0346787782767114,0.566250359811229,1.04054268017927
1964,116,"Korea, Democratic People's Republic of",BiocapPerCap,0.237097400514207,0.0147686587690601,0.542794392573024,0.189624626456661,0.0346787782767114,0.0,1.01896385658966
1965,116,"Korea, Democratic People's Republic of",EFConsPerCap,0.22983556550409,0.0146120985695471,0.111113906918232,0.067701462607726,0.032066817428338,0.669340605399695,1.12467045642763
1965,116,"Korea, Democratic People's Republic of",BiocapPerCap,0.213913133252417,0.0143903728596443,0.529961335898652,0.184767562224324,0.032066817428338,0.0,0.975099221663375
1966,116,"Korea, Democratic People's Republic of",EFConsPerCap,0.263001613806417,0.0142087884827861,0.111915101507991,0.0689458170481332,0.0355577909664202,0.744555190350182,1.23818430216193
1966,116,"Korea, Democratic People's Republic of",BiocapPerCap,0.23123516902346,0.0139918656553962,0.517559633999992,0.179650863346823,0.0355577909664202,0.0,0.977995322992091
1967,116,"Korea, Democratic People's Republic of",EFConsPerCap,0.245083242474746,0.0138565409766755,0.111428237482353,0.0695875178460035,0.033057847496332,0.881104692554878,1.35411807883099
1967,116,"Korea, Democratic People's Republic of",BiocapPerCap,0.209108436196653,0.0135967916174692,0.50359273078267,0.174578245173698,0.033057847496332,0.0,0.933934051266821
1968,116,"Korea, Democratic People's Republic of",EFConsPerCap,0.219282450708577,0.0134804839298094,0.110213836786448,0.0687116973470176,0.0333940419209409,0.956401550202444,1.40148406089524
1968,116,"Korea, Democratic People's Republic of",BiocapPerCap,0.205367322197037,0.0131873781531117,0.489109276537563,0.169321513573414,0.0333940419209409,0.0,0.910379532382068
1969,116,"Korea, Democratic People's Republic of",EFConsPerCap,0.238971040630051,0.0131486359524456,0.109561656537218,0.0677661335626858,0.0366133423498634,0.991968068329618,1.45802887736188
1969,116,"Korea, Democratic People's Republic of",BiocapPerCap,0.219165881230949,0.0128506653292988,0.475359108763306,0.164998233820181,0.0366133423498634,0.0,0.908987231493598
1970,116,"Korea, Democratic People's Republic of",EFConsPerCap,0.242197640751284,0.012813200970031,0.129885102448567,0.0645681701078187,0.0368911985128156,1.2211990307923,1.70755434358282
1970,116,"Korea, Democratic People's Republic of",BiocapPerCap,0.215065477692065,0.0125130433939754,0.462673105559731,0.160663281379991,0.0368911985128156,0.0,0.887806106538577
