year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1996,113,Kyrgyzstan,EFConsPerCap,0.357356836889737,0.102438210482926,0.011290999856405,0.00740435705662289,0.0555618223581541,0.587347410592639,1.12139963723648
1996,113,Kyrgyzstan,BiocapPerCap,0.376449418275849,0.769402162496772,0.134171027979742,0.0640570581172021,0.0555618223581541,0.0,1.39964148922772
1997,113,Kyrgyzstan,EFConsPerCap,0.418290496833561,0.0719064834269494,0.0153422756780424,0.00643088042919719,0.0664752137952952,0.517962144517404,1.09640749468045
1997,113,Kyrgyzstan,BiocapPerCap,0.413686602734151,0.758797557258322,0.13257436831311,0.0630471678236643,0.0664752137952952,0.0,1.43458090992454
1998,113,Kyrgyzstan,EFConsPerCap,0.4247285598612,0.117620590454929,0.0166849449377345,0.00519489725861823,0.0689688369704779,0.540726579079473,1.17392440856243
1998,113,Kyrgyzstan,BiocapPerCap,0.426685440011443,0.750375710984956,0.131111364074053,0.0621688679775188,0.0689688369704779,0.0,1.43931022001845
1999,113,Kyrgyzstan,EFConsPerCap,0.428496363571547,0.107822152523425,0.0193522333803604,0.00435899801735607,0.0717587235718922,0.511565670036728,1.14335414110131
1999,113,Kyrgyzstan,BiocapPerCap,0.427048914508714,0.742892796921391,0.129484345957624,0.0613508001262988,0.0717587235718922,0.0,1.43253558108592
2000,113,Kyrgyzstan,EFConsPerCap,0.451999160468517,0.103596960348958,0.01781149765835,0.00428903913602125,0.0706562860094899,0.380018582356795,1.02837152597813
2000,113,Kyrgyzstan,BiocapPerCap,0.438024675925196,0.735005458647449,0.128327138019809,0.0607184562116,0.0706562860094899,0.0,1.43273201481354
2001,113,Kyrgyzstan,EFConsPerCap,0.431551886505349,0.0922864828930341,0.0150800462448279,0.00372982322028947,0.084771603900772,0.351963504956939,0.979383347721212
2001,113,Kyrgyzstan,BiocapPerCap,0.444029514026654,0.738204681488965,0.128566462654176,0.0602569092289014,0.084771603900772,0.0,1.45582917129947
2002,113,Kyrgyzstan,EFConsPerCap,0.428077503589111,0.0845579190906741,0.0182846753047812,0.00515796095581709,0.0820818549734695,0.389858515324248,1.0080184292381
2002,113,Kyrgyzstan,BiocapPerCap,0.437802415354066,0.732259042157946,0.127836269406939,0.0597895260326469,0.0820818549734695,0.0,1.43976910792507
