year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,121,Lebanon,EFConsPerCap,,,,,,,1.66855145518474
1961,121,Lebanon,BiocapPerCap,,,,,,,0.439633386211519
1962,121,Lebanon,EFConsPerCap,,,,,,,1.64714586922882
1962,121,Lebanon,BiocapPerCap,,,,,,,0.448749095152394
1963,121,Lebanon,EFConsPerCap,,,,,,,1.87253540894781
1963,121,Lebanon,BiocapPerCap,,,,,,,0.434244722069498
1964,121,Lebanon,EFConsPerCap,,,,,,,1.64541633251449
1964,121,Lebanon,BiocapPerCap,,,,,,,0.420221865530181
1965,121,Lebanon,EFConsPerCap,,,,,,,1.67168273951897
1965,121,Lebanon,BiocapPerCap,,,,,,,0.41197934590669
1966,121,Lebanon,EFConsPerCap,,,,,,,1.70488606163334
1966,121,Lebanon,BiocapPerCap,,,,,,,0.399919831660998
1967,121,Lebanon,EFConsPerCap,,,,,,,1.81718826586433
1967,121,Lebanon,BiocapPerCap,,,,,,,0.426028780296739
1968,121,Lebanon,EFConsPerCap,,,,,,,1.95879423936304
1968,121,Lebanon,BiocapPerCap,,,,,,,0.3841785437054
1969,121,Lebanon,EFConsPerCap,,,,,,,1.91978824225184
1969,121,Lebanon,BiocapPerCap,,,,,,,0.372080840730343
1970,121,Lebanon,EFConsPerCap,,,,,,,1.95543415858949
1970,121,Lebanon,BiocapPerCap,,,,,,,0.387579708354787
1971,121,Lebanon,EFConsPerCap,,,,,,,2.15449329439705
1971,121,Lebanon,BiocapPerCap,,,,,,,0.396645614147829
1972,121,Lebanon,EFConsPerCap,,,,,,,2.11126746159447
1972,121,Lebanon,BiocapPerCap,,,,,,,0.410582144243307
1973,121,Lebanon,EFConsPerCap,,,,,,,2.49405494325324
1973,121,Lebanon,BiocapPerCap,,,,,,,0.389772434173421
1974,121,Lebanon,EFConsPerCap,,,,,,,2.693333891362
1974,121,Lebanon,BiocapPerCap,,,,,,,0.411010948814494
1975,121,Lebanon,EFConsPerCap,,,,,,,2.37627417154303
1975,121,Lebanon,BiocapPerCap,,,,,,,0.362651300658864
1976,121,Lebanon,EFConsPerCap,,,,,,,1.90836338815165
1976,121,Lebanon,BiocapPerCap,,,,,,,0.31589876949062
1977,121,Lebanon,EFConsPerCap,,,,,,,1.88930100631678
1977,121,Lebanon,BiocapPerCap,,,,,,,0.283238739734026
1978,121,Lebanon,EFConsPerCap,,,,,,,1.47531228746597
1978,121,Lebanon,BiocapPerCap,,,,,,,0.323224209643532
1979,121,Lebanon,EFConsPerCap,,,,,,,1.84541046298163
1979,121,Lebanon,BiocapPerCap,,,,,,,0.334405566095429
1980,121,Lebanon,EFConsPerCap,,,,,,,1.80151323244554
1980,121,Lebanon,BiocapPerCap,,,,,,,0.354312404814003
1981,121,Lebanon,EFConsPerCap,,,,,,,1.80599426288726
1981,121,Lebanon,BiocapPerCap,,,,,,,0.31745460585572
1982,121,Lebanon,EFConsPerCap,,,,,,,1.58874887411835
1982,121,Lebanon,BiocapPerCap,,,,,,,0.352826760863889
1983,121,Lebanon,EFConsPerCap,,,,,,,1.5547523384703
1983,121,Lebanon,BiocapPerCap,,,,,,,0.320394642678294
1984,121,Lebanon,EFConsPerCap,,,,,,,1.61351696433884
1984,121,Lebanon,BiocapPerCap,,,,,,,0.339896673881172
1985,121,Lebanon,EFConsPerCap,,,,,,,1.73414256389565
1985,121,Lebanon,BiocapPerCap,,,,,,,0.348983270396317
1986,121,Lebanon,EFConsPerCap,,,,,,,1.72133265393498
1986,121,Lebanon,BiocapPerCap,,,,,,,0.357640329756522
1987,121,Lebanon,EFConsPerCap,,,,,,,1.73094022827516
1987,121,Lebanon,BiocapPerCap,,,,,,,0.363034587319276
1988,121,Lebanon,EFConsPerCap,,,,,,,1.56323896106442
1988,121,Lebanon,BiocapPerCap,,,,,,,0.34797304791565
1989,121,Lebanon,EFConsPerCap,,,,,,,1.53838283398298
1989,121,Lebanon,BiocapPerCap,,,,,,,0.356687006059028
1990,121,Lebanon,EFConsPerCap,,,,,,,1.41430873977721
1990,121,Lebanon,BiocapPerCap,,,,,,,0.378260919566666
1991,121,Lebanon,EFConsPerCap,,,,,,,1.70384483016179
1991,121,Lebanon,BiocapPerCap,,,,,,,0.383366323293756
