year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1970,122,Lesotho,EFConsPerCap,,,,,,,1.30252552802171
1970,122,Lesotho,BiocapPerCap,,,,,,,1.74953481786386
1971,122,Lesotho,EFConsPerCap,,,,,,,1.43990911015857
1971,122,Lesotho,BiocapPerCap,,,,,,,1.63776996151885
1972,122,Lesotho,EFConsPerCap,,,,,,,1.10227961228764
1972,122,Lesotho,BiocapPerCap,,,,,,,1.51201851177575
1973,122,Lesotho,EFConsPerCap,,,,,,,1.26990365604115
1973,122,Lesotho,BiocapPerCap,,,,,,,1.51670774062715
1974,122,Lesotho,EFConsPerCap,,,,,,,1.35231142865115
1974,122,Lesotho,BiocapPerCap,,,,,,,1.53556575685138
1975,122,Lesotho,EFConsPerCap,,,,,,,1.56582264448694
1975,122,Lesotho,BiocapPerCap,,,,,,,1.46809970164216
1976,122,Lesotho,EFConsPerCap,,,,,,,1.42717580218518
1976,122,Lesotho,BiocapPerCap,,,,,,,1.38540549013906
1977,122,Lesotho,EFConsPerCap,,,,,,,1.52395969506821
1977,122,Lesotho,BiocapPerCap,,,,,,,1.48885474288989
1978,122,Lesotho,EFConsPerCap,,,,,,,1.47216012392333
1978,122,Lesotho,BiocapPerCap,,,,,,,1.39433128913868
1979,122,Lesotho,EFConsPerCap,,,,,,,1.44662675011379
1979,122,Lesotho,BiocapPerCap,,,,,,,1.32594112804684
1980,122,Lesotho,EFConsPerCap,,,,,,,1.3444535634029
1980,122,Lesotho,BiocapPerCap,,,,,,,1.24917353449378
1981,122,Lesotho,EFConsPerCap,,,,,,,1.29646425591024
1981,122,Lesotho,BiocapPerCap,,,,,,,1.19272049977915
1982,122,Lesotho,EFConsPerCap,,,,,,,1.31202494497943
1982,122,Lesotho,BiocapPerCap,,,,,,,1.13446749605941
1983,122,Lesotho,EFConsPerCap,,,,,,,1.26029225234592
1983,122,Lesotho,BiocapPerCap,,,,,,,1.10267997409616
1984,122,Lesotho,EFConsPerCap,,,,,,,1.1267645422848
1984,122,Lesotho,BiocapPerCap,,,,,,,1.06573174302333
1985,122,Lesotho,EFConsPerCap,,,,,,,1.24094633643188
1985,122,Lesotho,BiocapPerCap,,,,,,,1.04906178851213
1986,122,Lesotho,EFConsPerCap,,,,,,,1.31479505286744
1986,122,Lesotho,BiocapPerCap,,,,,,,1.00815451552105
1987,122,Lesotho,EFConsPerCap,,,,,,,1.37327481938944
1987,122,Lesotho,BiocapPerCap,,,,,,,0.986801544234557
1988,122,Lesotho,EFConsPerCap,,,,,,,1.52174608587098
1988,122,Lesotho,BiocapPerCap,,,,,,,1.00190291923086
1989,122,Lesotho,EFConsPerCap,,,,,,,1.3891438212021
1989,122,Lesotho,BiocapPerCap,,,,,,,0.985880982817825
1990,122,Lesotho,EFConsPerCap,,,,,,,1.26552731989985
1990,122,Lesotho,BiocapPerCap,,,,,,,0.981069245133138
1991,122,Lesotho,EFConsPerCap,,,,,,,1.08654988375026
1991,122,Lesotho,BiocapPerCap,,,,,,,0.895494641968535
1992,122,Lesotho,EFConsPerCap,,,,,,,1.03533861078468
1992,122,Lesotho,BiocapPerCap,,,,,,,0.909589246213808
1993,122,Lesotho,EFConsPerCap,,,,,,,1.14260344513185
1993,122,Lesotho,BiocapPerCap,,,,,,,0.932945867761004
1994,122,Lesotho,EFConsPerCap,,,,,,,1.13566455314383
1994,122,Lesotho,BiocapPerCap,,,,,,,0.899939697374834
1995,122,Lesotho,EFConsPerCap,,,,,,,1.13532607876462
1995,122,Lesotho,BiocapPerCap,,,,,,,0.897441969800507
1996,122,Lesotho,EFConsPerCap,,,,,,,1.22405380894249
1996,122,Lesotho,BiocapPerCap,,,,,,,0.919137925876571
1997,122,Lesotho,EFConsPerCap,,,,,,,1.19250425416174
1997,122,Lesotho,BiocapPerCap,,,,,,,0.916929349044406
1998,122,Lesotho,EFConsPerCap,,,,,,,1.22927053764465
1998,122,Lesotho,BiocapPerCap,,,,,,,0.933895812616287
1999,122,Lesotho,EFConsPerCap,,,,,,,1.4629066702383
1999,122,Lesotho,BiocapPerCap,,,,,,,0.888721942438016
2000,122,Lesotho,EFConsPerCap,,,,,,,1.37931593070944
2000,122,Lesotho,BiocapPerCap,,,,,,,0.87068655804209
2001,122,Lesotho,EFConsPerCap,,,,,,,1.47745794124843
2001,122,Lesotho,BiocapPerCap,,,,,,,0.8979005732961
2002,122,Lesotho,EFConsPerCap,,,,,,,1.39218009898011
2002,122,Lesotho,BiocapPerCap,,,,,,,0.856785375969171
2003,122,Lesotho,EFConsPerCap,,,,,,,1.40408202613051
2003,122,Lesotho,BiocapPerCap,,,,,,,0.844429512454176
2004,122,Lesotho,EFConsPerCap,,,,,,,1.3419709833559
2004,122,Lesotho,BiocapPerCap,,,,,,,0.849979458438161
2005,122,Lesotho,EFConsPerCap,,,,,,,1.34787625297486
2005,122,Lesotho,BiocapPerCap,,,,,,,0.859099323885879
2006,122,Lesotho,EFConsPerCap,,,,,,,1.41818335497144
2006,122,Lesotho,BiocapPerCap,,,,,,,0.833023166110405
2007,122,Lesotho,EFConsPerCap,,,,,,,1.45904608291555
2007,122,Lesotho,BiocapPerCap,,,,,,,0.831630866538068
2008,122,Lesotho,EFConsPerCap,,,,,,,1.55159116588507
2008,122,Lesotho,BiocapPerCap,,,,,,,0.825591016634233
2009,122,Lesotho,EFConsPerCap,,,,,,,1.60768835913179
2009,122,Lesotho,BiocapPerCap,,,,,,,0.821113406846033
2010,122,Lesotho,EFConsPerCap,,,,,,,1.72649082204282
2010,122,Lesotho,BiocapPerCap,,,,,,,0.862375045175689
2011,122,Lesotho,EFConsPerCap,,,,,,,1.88753635504461
2011,122,Lesotho,BiocapPerCap,,,,,,,0.83730286240438
2012,122,Lesotho,EFConsPerCap,,,,,,,1.84945684678186
2012,122,Lesotho,BiocapPerCap,,,,,,,0.810238052226538
2013,122,Lesotho,EFConsPerCap,,,,,,,1.63480143941521
2013,122,Lesotho,BiocapPerCap,,,,,,,0.80037214928603
2014,122,Lesotho,EFConsPerCap,,,,,,,1.45249140170372
2014,122,Lesotho,BiocapPerCap,,,,,,,0.788892502334887
2015,122,Lesotho,EFConsPerCap,,,,,,,1.3557432592134
2015,122,Lesotho,BiocapPerCap,,,,,,,0.774245202096564
2016,122,Lesotho,EFConsPerCap,,,,,,,1.43797295600585
2016,122,Lesotho,BiocapPerCap,,,,,,,0.808795996353206
2017,122,Lesotho,EFConsPerCap,,,,,,,1.66067897127542
2017,122,Lesotho,BiocapPerCap,,,,,,,0.82299458966808
2018,122,Lesotho,EFConsPerCap,,,,,,,1.54643787298783
2018,122,Lesotho,BiocapPerCap,,,,,,,0.796307348777018
2019,122,Lesotho,EFConsPerCap,,,,,,,1.46215335553144
2019,122,Lesotho,BiocapPerCap,,,,,,,0.817951125477478
2020,122,Lesotho,EFConsPerCap,,,,,,,1.12592368020228
2020,122,Lesotho,BiocapPerCap,,,,,,,0.784354333137888
2021,122,Lesotho,EFConsPerCap,,,,,,,1.20443690373107
2021,122,Lesotho,BiocapPerCap,,,,,,,0.806168172581064
2022,122,Lesotho,EFConsPerCap,,,,,,,1.23219725607538
2022,122,Lesotho,BiocapPerCap,,,,,,,0.772488728855522
2023,122,Lesotho,EFConsPerCap,,,,,,,1.18216177020344
2023,122,Lesotho,BiocapPerCap,,,,,,,0.764228622885622
2024,122,Lesotho,EFConsPerCap,,,,,,,1.19508660410341
2024,122,Lesotho,BiocapPerCap,,,,,,,0.755720884087626
