year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,123,Liberia,EFConsPerCap,0.361339155490076,0.0881877317154074,0.624179351650106,0.302259627037816,0.0167210030552459,0.119822858723523,1.51250972767217
1961,123,Liberia,BiocapPerCap,0.292537157449684,0.697865270975682,10.7145182713019,1.20164693972678,0.0167210030552459,0.0,12.9232886425093
1962,123,Liberia,EFConsPerCap,0.376719621697384,0.087423387459336,0.370480638017092,0.244262914812535,0.0184166512897736,0.139463777575908,1.23676699085203
1962,123,Liberia,BiocapPerCap,0.303741705633688,0.679834959545172,10.4585270112497,1.17106529911275,0.0184166512897736,0.0,12.631585626831
1963,123,Liberia,EFConsPerCap,0.345423652732689,0.0847575769651173,0.399562809977565,0.256477823048325,0.0179492902333357,0.143272571361054,1.24744372431809
1963,123,Liberia,BiocapPerCap,0.269835716677539,0.66272116088324,10.198210676475,1.14158553278476,0.0179492902333357,0.0,12.2903023770539
1964,123,Liberia,EFConsPerCap,0.331630546811145,0.0765909664611049,0.397938832061073,0.238063893327617,0.0188850214107062,0.12568423582961,1.18879349590126
1964,123,Liberia,BiocapPerCap,0.262153626404097,0.645263985300778,9.94566053241899,1.112176342395,0.0188850214107062,0.0,11.9841395079296
1965,123,Liberia,EFConsPerCap,0.335105383754009,0.0764599507174872,0.40449648292266,0.198526016147179,0.0206841257120646,0.120145211376085,1.15541717062948
1965,123,Liberia,BiocapPerCap,0.270144741128784,0.628317829731348,9.70405909361674,1.08296796605879,0.0206841257120646,0.0,11.7061737562477
1966,123,Liberia,EFConsPerCap,0.4635120510599,0.0781400769261821,0.460753161347001,0.258190552467957,0.0232145166250094,0.111294618081877,1.39510497650793
1966,123,Liberia,BiocapPerCap,0.38833461768616,0.610651000504492,9.4784760090981,1.05314473756078,0.0232145166250094,0.0,11.5538208814745
1967,123,Liberia,EFConsPerCap,0.445570403231416,0.0782622041369824,0.470599574705199,0.230296432037346,0.0231868107772166,0.081047864165702,1.32896328905386
1967,123,Liberia,BiocapPerCap,0.382456146562648,0.594759900587601,9.24368979528564,1.02573852969786,0.0231868107772166,0.0,11.269831182911
1968,123,Liberia,EFConsPerCap,0.444255579277416,0.0733707436829556,0.490331174192618,0.271209486505354,0.0241730506022478,0.109075000138204,1.4124150343988
1968,123,Liberia,BiocapPerCap,0.373419530573985,0.5780886016624,9.0006756531823,0.997383063578969,0.0241730506022478,0.0,10.9737398995999
