year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,129,Madagascar,EFConsPerCap,0.299512214947868,1.26593813005211,0.230023801748573,0.0783781982028709,0.0324044102841228,0.0590902912789812,1.96534704651452
1961,129,Madagascar,BiocapPerCap,0.3501866782789,5.16493233674231,3.87956624452683,0.947896283377226,0.0324044102841228,0.0,10.3749859532094
1962,129,Madagascar,EFConsPerCap,0.286518370589326,1.3023300125816,0.230334196768957,0.091082314121539,0.0342666391222107,0.0581941756279429,2.00272570881158
1962,129,Madagascar,BiocapPerCap,0.35518483911647,5.02719547615389,3.78193501947441,0.922567318573331,0.0342666391222107,0.0,10.1211492924403
1963,129,Madagascar,EFConsPerCap,0.293494617875939,1.27370637787699,0.247461622997165,0.0922446067982792,0.0333071501670234,0.058265173858259,1.99847954957365
1963,129,Madagascar,BiocapPerCap,0.341672253009234,4.89511658065376,3.68343960064695,0.898279406330597,0.0333071501670234,0.0,9.85181499080756
1964,129,Madagascar,EFConsPerCap,0.309784899405446,1.22724217804601,0.251012007419069,0.0822223352058364,0.0357959620534025,0.0546539561586937,1.96071133828846
1964,129,Madagascar,BiocapPerCap,0.355789611762768,4.76354853251139,3.58791111654334,0.874087903887384,0.0357959620534025,0.0,9.61713312675827
1965,129,Madagascar,EFConsPerCap,0.318175721617259,1.22381497906016,0.26015422031103,0.0635305388346527,0.0346773794667647,0.0576522112669491,1.95800505055681
1965,129,Madagascar,BiocapPerCap,0.341897292457684,4.63356183711424,3.49687413721774,0.85018921704568,0.0346773794667647,0.0,9.3571998633021
1966,129,Madagascar,EFConsPerCap,0.266463765499296,1.31163343673316,0.26862126201716,0.0381173752770965,0.0362903614898177,0.0577467827906588,1.97887298380719
1966,129,Madagascar,BiocapPerCap,0.332913906924983,4.50026605558166,3.41108053812879,0.825686024535357,0.0362903614898177,0.0,9.10623688666061
1967,129,Madagascar,EFConsPerCap,0.281338074230108,1.28843987129771,0.282048148014904,0.0484477864763395,0.0374555450518951,0.0659357988006076,2.00366522387156
1967,129,Madagascar,BiocapPerCap,0.335310520420097,4.37600309222908,3.32097617569722,0.802842731657972,0.0374555450518951,0.0,8.87258806505627
1968,129,Madagascar,EFConsPerCap,0.190642396998392,1.26976777991098,0.307207819916974,0.0540202912179796,0.0384040578471582,0.0729284349228244,1.93297078081431
1968,129,Madagascar,BiocapPerCap,0.335759155772168,4.24668617183301,3.22714778465811,0.779074778654702,0.0384040578471582,0.0,8.62707194876515
1969,129,Madagascar,EFConsPerCap,0.292988971748168,1.1674161445115,0.30370767437444,0.0606187069745593,0.0390430959271864,0.0706068352700922,1.93438142880595
1969,129,Madagascar,BiocapPerCap,0.339803111514255,4.13334831887538,3.13247501930514,0.758226816581841,0.0390430959271864,0.0,8.4028963622038
1970,129,Madagascar,EFConsPerCap,0.285600293906037,1.03959614130206,0.328652579400799,0.0655455797494437,0.0398738205544959,0.0783465346146522,1.83761494952749
1970,129,Madagascar,BiocapPerCap,0.345729557452115,4.01485496432519,3.0412677059057,0.736463243717454,0.0398738205544959,0.0,8.17818929195496
1971,129,Madagascar,EFConsPerCap,0.286469553155234,0.903238335703887,0.333574973084208,0.0716534075734087,0.0394296863005604,0.0818880115173244,1.71625396733462
1971,129,Madagascar,BiocapPerCap,0.331735264223361,3.8835355288396,2.95872856506803,0.712348605782582,0.0394296863005604,0.0,7.92577765021414
1972,129,Madagascar,EFConsPerCap,0.278338443201518,0.892295522156314,0.253871636040128,0.0753806502593952,0.039353863841228,0.0708876743857459,1.61012778988433
1972,129,Madagascar,BiocapPerCap,0.322029372576271,3.76383793787575,2.87081326258455,0.690342123951034,0.039353863841228,0.0,7.68637656082883
1973,129,Madagascar,EFConsPerCap,0.269305572036075,0.908892566871607,0.231497075367574,0.103796473840292,0.0397953051986848,0.0644390648486968,1.61772605816293
1973,129,Madagascar,BiocapPerCap,0.316755625700682,3.65363390974996,2.78701089352852,0.670104555969904,0.0397953051986848,0.0,7.46730029014775
1974,129,Madagascar,EFConsPerCap,0.300517843750981,0.909058415455565,0.184877915089662,0.132190015966731,0.0419470022760837,0.0612243608722929,1.62981555341131
1974,129,Madagascar,BiocapPerCap,0.324649025883321,3.53525238950523,2.70502360452219,0.64833544562263,0.0419470022760837,0.0,7.25520746780945
1975,129,Madagascar,EFConsPerCap,0.254930281611087,0.932529331230195,0.208296722198711,0.0861304873877227,0.0364341957691682,0.0691521417401417,1.58747315993703
