year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,131,Malaysia,EFConsPerCap,,,,,,,1.56301121327239
1961,131,Malaysia,BiocapPerCap,,,,,,,6.11350064980111
1962,131,Malaysia,EFConsPerCap,,,,,,,1.56043654747711
1962,131,Malaysia,BiocapPerCap,,,,,,,5.95177266148349
1963,131,Malaysia,EFConsPerCap,,,,,,,1.67144954888031
1963,131,Malaysia,BiocapPerCap,,,,,,,5.78096263072542
1964,131,Malaysia,EFConsPerCap,,,,,,,1.6256560043256
1964,131,Malaysia,BiocapPerCap,,,,,,,5.6247326284578
1965,131,Malaysia,EFConsPerCap,,,,,,,1.68866795734549
1965,131,Malaysia,BiocapPerCap,,,,,,,5.5099532389953
1966,131,Malaysia,EFConsPerCap,,,,,,,1.75770388916665
1966,131,Malaysia,BiocapPerCap,,,,,,,5.4085139745265
1967,131,Malaysia,EFConsPerCap,,,,,,,1.82696482289693
1967,131,Malaysia,BiocapPerCap,,,,,,,5.28789278821175
1968,131,Malaysia,EFConsPerCap,,,,,,,1.73747046861538
1968,131,Malaysia,BiocapPerCap,,,,,,,5.20628133143662
1969,131,Malaysia,EFConsPerCap,,,,,,,1.68711330914775
1969,131,Malaysia,BiocapPerCap,,,,,,,5.12609807770717
1970,131,Malaysia,EFConsPerCap,,,,,,,2.0279980944643
1970,131,Malaysia,BiocapPerCap,,,,,,,5.03824850870947
1971,131,Malaysia,EFConsPerCap,,,,,,,2.06030372405761
1971,131,Malaysia,BiocapPerCap,,,,,,,4.97603840955901
1972,131,Malaysia,EFConsPerCap,,,,,,,2.09125569532162
1972,131,Malaysia,BiocapPerCap,,,,,,,4.84762431931089
1973,131,Malaysia,EFConsPerCap,,,,,,,2.20150664577436
1973,131,Malaysia,BiocapPerCap,,,,,,,4.78667695204382
1974,131,Malaysia,EFConsPerCap,,,,,,,2.27673100120734
1974,131,Malaysia,BiocapPerCap,,,,,,,4.69216381260539
1975,131,Malaysia,EFConsPerCap,,,,,,,2.2112354706111
1975,131,Malaysia,BiocapPerCap,,,,,,,4.61025333584003
1976,131,Malaysia,EFConsPerCap,,,,,,,2.33397058176734
1976,131,Malaysia,BiocapPerCap,,,,,,,4.52628917845042
1977,131,Malaysia,EFConsPerCap,,,,,,,2.46216837651142
1977,131,Malaysia,BiocapPerCap,,,,,,,4.42122241885445
1978,131,Malaysia,EFConsPerCap,,,,,,,2.71652313714111
1978,131,Malaysia,BiocapPerCap,,,,,,,4.35814021828512
1979,131,Malaysia,EFConsPerCap,,,,,,,2.72273792269064
1979,131,Malaysia,BiocapPerCap,,,,,,,4.31685298357333
1980,131,Malaysia,EFConsPerCap,,,,,,,2.67759915525378
1980,131,Malaysia,BiocapPerCap,,,,,,,4.20259879666004
1981,131,Malaysia,EFConsPerCap,,,,,,,2.89669177135327
1981,131,Malaysia,BiocapPerCap,,,,,,,4.20703289744907
1982,131,Malaysia,EFConsPerCap,,,,,,,2.81231491402149
1982,131,Malaysia,BiocapPerCap,,,,,,,4.16471017979157
1983,131,Malaysia,EFConsPerCap,,,,,,,2.72059428811956
1983,131,Malaysia,BiocapPerCap,,,,,,,4.00821735114288
1984,131,Malaysia,EFConsPerCap,,,,,,,2.9249227574427
1984,131,Malaysia,BiocapPerCap,,,,,,,3.97066884209548
1985,131,Malaysia,EFConsPerCap,,,,,,,2.4982387611872
1985,131,Malaysia,BiocapPerCap,,,,,,,3.89242632281029
1986,131,Malaysia,EFConsPerCap,,,,,,,2.41314569120515
1986,131,Malaysia,BiocapPerCap,,,,,,,3.80743413752403
1987,131,Malaysia,EFConsPerCap,,,,,,,2.40478984966002
1987,131,Malaysia,BiocapPerCap,,,,,,,3.7426551275616
1988,131,Malaysia,EFConsPerCap,,,,,,,2.82669965326777
1988,131,Malaysia,BiocapPerCap,,,,,,,3.62882375378529
1989,131,Malaysia,EFConsPerCap,,,,,,,2.8502536031766
1989,131,Malaysia,BiocapPerCap,,,,,,,3.59428812078324
1990,131,Malaysia,EFConsPerCap,,,,,,,2.96640434846618
1990,131,Malaysia,BiocapPerCap,,,,,,,3.50711288957551
1991,131,Malaysia,EFConsPerCap,,,,,,,3.25374508442151
1991,131,Malaysia,BiocapPerCap,,,,,,,3.31950367412434
1992,131,Malaysia,EFConsPerCap,,,,,,,3.47080632535895
1992,131,Malaysia,BiocapPerCap,,,,,,,3.26110989575844
1993,131,Malaysia,EFConsPerCap,,,,,,,3.63144998052456
1993,131,Malaysia,BiocapPerCap,,,,,,,3.17886910906169
1994,131,Malaysia,EFConsPerCap,,,,,,,3.6788169182513
1994,131,Malaysia,BiocapPerCap,,,,,,,3.09890711868386
1995,131,Malaysia,EFConsPerCap,,,,,,,3.8621709484707
1995,131,Malaysia,BiocapPerCap,,,,,,,3.0125254045115
1996,131,Malaysia,EFConsPerCap,,,,,,,3.99574041465961
1996,131,Malaysia,BiocapPerCap,,,,,,,2.96150978735588
1997,131,Malaysia,EFConsPerCap,,,,,,,4.0784633697775
1997,131,Malaysia,BiocapPerCap,,,,,,,2.88107617467375
1998,131,Malaysia,EFConsPerCap,,,,,,,3.3198417214654
1998,131,Malaysia,BiocapPerCap,,,,,,,2.76791631092118
1999,131,Malaysia,EFConsPerCap,,,,,,,4.01059862904579
1999,131,Malaysia,BiocapPerCap,,,,,,,2.73181237873274
2000,131,Malaysia,EFConsPerCap,,,,,,,3.8601811018576
2000,131,Malaysia,BiocapPerCap,,,,,,,2.68162821746049
2001,131,Malaysia,EFConsPerCap,,,,,,,4.13528495783384
2001,131,Malaysia,BiocapPerCap,,,,,,,2.62961442126392
2002,131,Malaysia,EFConsPerCap,,,,,,,3.95744783491639
2002,131,Malaysia,BiocapPerCap,,,,,,,2.57150445656776
2003,131,Malaysia,EFConsPerCap,,,,,,,3.39703702409334
2003,131,Malaysia,BiocapPerCap,,,,,,,2.5278598575479
2004,131,Malaysia,EFConsPerCap,,,,,,,3.99333627468351
2004,131,Malaysia,BiocapPerCap,,,,,,,2.5086217897607
2005,131,Malaysia,EFConsPerCap,,,,,,,3.95890181291538
2005,131,Malaysia,BiocapPerCap,,,,,,,2.42920304605889
2006,131,Malaysia,EFConsPerCap,,,,,,,4.30749907888826
2006,131,Malaysia,BiocapPerCap,,,,,,,2.37817416461113
2007,131,Malaysia,EFConsPerCap,,,,,,,4.45910532446573
2007,131,Malaysia,BiocapPerCap,,,,,,,2.34771850960207
2008,131,Malaysia,EFConsPerCap,,,,,,,4.54352139125349
