year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,136,Mauritania,EFConsPerCap,,,,,,,3.50449563211277
1961,136,Mauritania,BiocapPerCap,,,,,,,20.28024886339
1962,136,Mauritania,EFConsPerCap,,,,,,,3.49735020993092
1962,136,Mauritania,BiocapPerCap,,,,,,,19.701579806787
1963,136,Mauritania,EFConsPerCap,,,,,,,3.51610443977547
1963,136,Mauritania,BiocapPerCap,,,,,,,19.1517135576865
1964,136,Mauritania,EFConsPerCap,,,,,,,3.47532511488058
1964,136,Mauritania,BiocapPerCap,,,,,,,18.5871696003298
1965,136,Mauritania,EFConsPerCap,,,,,,,3.51884969935593
1965,136,Mauritania,BiocapPerCap,,,,,,,18.018577598139
1966,136,Mauritania,EFConsPerCap,,,,,,,3.54890857620449
1966,136,Mauritania,BiocapPerCap,,,,,,,17.4664318188212
1967,136,Mauritania,EFConsPerCap,,,,,,,3.61745735471499
1967,136,Mauritania,BiocapPerCap,,,,,,,16.9438268164893
1968,136,Mauritania,EFConsPerCap,,,,,,,3.68889383286427
1968,136,Mauritania,BiocapPerCap,,,,,,,16.3978782487633
1969,136,Mauritania,EFConsPerCap,,,,,,,3.16113258917527
1969,136,Mauritania,BiocapPerCap,,,,,,,15.9268426959695
1970,136,Mauritania,EFConsPerCap,,,,,,,3.33140438846056
1970,136,Mauritania,BiocapPerCap,,,,,,,15.4479063860969
1971,136,Mauritania,EFConsPerCap,,,,,,,3.21877799255446
1971,136,Mauritania,BiocapPerCap,,,,,,,14.9063487240757
1972,136,Mauritania,EFConsPerCap,,,,,,,2.51507870192024
1972,136,Mauritania,BiocapPerCap,,,,,,,14.4584106597406
1973,136,Mauritania,EFConsPerCap,,,,,,,2.64504777580705
1973,136,Mauritania,BiocapPerCap,,,,,,,14.069203221667
1974,136,Mauritania,EFConsPerCap,,,,,,,2.25232171956331
1974,136,Mauritania,BiocapPerCap,,,,,,,13.5880452250407
1975,136,Mauritania,EFConsPerCap,,,,,,,2.43462520944507
1975,136,Mauritania,BiocapPerCap,,,,,,,13.1915228959528
1976,136,Mauritania,EFConsPerCap,,,,,,,2.39889094370233
1976,136,Mauritania,BiocapPerCap,,,,,,,12.8155140787436
1977,136,Mauritania,EFConsPerCap,,,,,,,2.3813309503724
1977,136,Mauritania,BiocapPerCap,,,,,,,12.4173320315208
1978,136,Mauritania,EFConsPerCap,,,,,,,2.36249361113176
1978,136,Mauritania,BiocapPerCap,,,,,,,12.0366659096508
1979,136,Mauritania,EFConsPerCap,,,,,,,2.27488342097449
1979,136,Mauritania,BiocapPerCap,,,,,,,11.6936061736618
1980,136,Mauritania,EFConsPerCap,,,,,,,2.30741875910913
1980,136,Mauritania,BiocapPerCap,,,,,,,11.4224385877169
1981,136,Mauritania,EFConsPerCap,,,,,,,2.38828560418167
1981,136,Mauritania,BiocapPerCap,,,,,,,11.06506589682
1982,136,Mauritania,EFConsPerCap,,,,,,,2.38242117074454
1982,136,Mauritania,BiocapPerCap,,,,,,,10.7231581475338
1983,136,Mauritania,EFConsPerCap,,,,,,,2.28546705185149
1983,136,Mauritania,BiocapPerCap,,,,,,,10.372187241268
1984,136,Mauritania,EFConsPerCap,,,,,,,2.11612007918061
