year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,137,Mauritius,EFConsPerCap,,,,,,,0.852483757263652
1961,137,Mauritius,BiocapPerCap,,,,,,,1.22763989362621
1962,137,Mauritius,EFConsPerCap,,,,,,,0.823214497298363
1962,137,Mauritius,BiocapPerCap,,,,,,,1.1953882101876
1963,137,Mauritius,EFConsPerCap,,,,,,,0.862244167905327
1963,137,Mauritius,BiocapPerCap,,,,,,,1.20368946998963
1964,137,Mauritius,EFConsPerCap,,,,,,,0.781971842903586
1964,137,Mauritius,BiocapPerCap,,,,,,,1.13240310645905
1965,137,Mauritius,EFConsPerCap,,,,,,,0.84568706584254
1965,137,Mauritius,BiocapPerCap,,,,,,,1.15157471805891
1966,137,Mauritius,EFConsPerCap,,,,,,,0.756348512517012
1966,137,Mauritius,BiocapPerCap,,,,,,,1.10451471564288
1967,137,Mauritius,EFConsPerCap,,,,,,,0.918369238821213
1967,137,Mauritius,BiocapPerCap,,,,,,,1.12347030506042
1968,137,Mauritius,EFConsPerCap,,,,,,,0.896062491606404
1968,137,Mauritius,BiocapPerCap,,,,,,,1.09738765020365
1969,137,Mauritius,EFConsPerCap,,,,,,,0.916696317873652
1969,137,Mauritius,BiocapPerCap,,,,,,,1.10121354242787
1970,137,Mauritius,EFConsPerCap,,,,,,,0.910840938938635
1970,137,Mauritius,BiocapPerCap,,,,,,,1.06490266573469
1971,137,Mauritius,EFConsPerCap,,,,,,,0.896784356830148
1971,137,Mauritius,BiocapPerCap,,,,,,,1.06703883167981
1972,137,Mauritius,EFConsPerCap,,,,,,,1.1253297506216
1972,137,Mauritius,BiocapPerCap,,,,,,,1.08089923053931
1973,137,Mauritius,EFConsPerCap,,,,,,,0.980197938991739
1973,137,Mauritius,BiocapPerCap,,,,,,,1.07079710435619
1974,137,Mauritius,EFConsPerCap,,,,,,,1.15244638066296
1974,137,Mauritius,BiocapPerCap,,,,,,,1.03989964643691
1975,137,Mauritius,EFConsPerCap,,,,,,,1.12886796298455
1975,137,Mauritius,BiocapPerCap,,,,,,,0.971898848611287
1976,137,Mauritius,EFConsPerCap,,,,,,,1.27984621902559
1976,137,Mauritius,BiocapPerCap,,,,,,,1.0270931480066
1977,137,Mauritius,EFConsPerCap,,,,,,,1.36684864860197
1977,137,Mauritius,BiocapPerCap,,,,,,,0.994489469522273
1978,137,Mauritius,EFConsPerCap,,,,,,,1.56656253132242
1978,137,Mauritius,BiocapPerCap,,,,,,,0.998478164497264
1979,137,Mauritius,EFConsPerCap,,,,,,,1.42333895684127
1979,137,Mauritius,BiocapPerCap,,,,,,,0.988909163853605
1980,137,Mauritius,EFConsPerCap,,,,,,,1.41520441135453
