year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,144,Mozambique,EFConsPerCap,0.120290659576316,0.0477224562291368,0.466586596120199,0.0371898244505675,0.0271448562590489,0.103640817684859,0.802575210320127
1961,144,Mozambique,BiocapPerCap,0.187709132660197,2.64213701847627,2.5841088535089,0.630789940504478,0.0271448562590489,0.0,6.07188980140889
1962,144,Mozambique,EFConsPerCap,0.125848285880511,0.0534762102742678,0.462500772563074,0.0369677837320077,0.0282207485184248,0.0746149308178506,0.781628731786135
1962,144,Mozambique,BiocapPerCap,0.192060509117188,2.58583395546447,2.53299763284331,0.617326746205111,0.0282207485184248,0.0,5.9564395921485
1963,144,Mozambique,EFConsPerCap,0.122705651322458,0.0535111859324951,0.46230150237405,0.036870093955184,0.0289615063549847,0.0568008803185134,0.761150820257685
1963,144,Mozambique,BiocapPerCap,0.193809910521574,2.53077206645246,2.47970961493799,0.604164249119018,0.0289615063549847,0.0,5.83741734738603
1964,144,Mozambique,EFConsPerCap,0.126999195711014,0.0559364169318954,0.458692041083,0.0344893051215708,0.029905123576861,0.0688269097157658,0.774848992140107
1964,144,Mozambique,BiocapPerCap,0.196569335958648,2.47533014268887,2.42780002313638,0.590911785774988,0.029905123576861,0.0,5.72051641113574
1965,144,Mozambique,EFConsPerCap,0.105986557023908,0.0614780467546113,0.458126480761836,0.0339659680743333,0.0284922661554153,0.0615726912728426,0.749622010042947
1965,144,Mozambique,BiocapPerCap,0.183959493084647,2.41938726542668,2.37759609050758,0.577523918810972,0.0284922661554153,0.0,5.5869590339853
1966,144,Mozambique,EFConsPerCap,0.124448390297378,0.0613488625735966,0.47467439668566,0.0349553965776539,0.0295619804986883,0.0677176322314915,0.792706658864468
1966,144,Mozambique,BiocapPerCap,0.187198176416259,2.3611958357137,2.33059791291147,0.563620290974662,0.0295619804986883,0.0,5.47217419651478
1967,144,Mozambique,EFConsPerCap,0.111320761954357,0.0531090536418109,0.473136599130222,0.0371559353361158,0.0292786861817876,0.0645346212392669,0.76853565748356
1967,144,Mozambique,BiocapPerCap,0.18311743072235,2.30830896354927,2.28098640382819,0.550913890774136,0.0292786861817876,0.0,5.35260537505573
1968,144,Mozambique,EFConsPerCap,0.106234348060947,0.0603818691695317,0.472701908915811,0.0386952314740249,0.0323315801582353,0.0923810311481609,0.802725968926711
1968,144,Mozambique,BiocapPerCap,0.204921951814273,2.25360854675308,2.22875549286308,0.537550195041793,0.0323315801582353,0.0,5.25716776663046
1969,144,Mozambique,EFConsPerCap,0.126254726027708,0.0638815053285377,0.472927343263336,0.0399612778756391,0.0314257332772743,0.103822035559237,0.838272621331732
1969,144,Mozambique,BiocapPerCap,0.201879274910982,2.20737786438298,2.17600704176126,0.526220940838836,0.0314257332772743,0.0,5.14291085517133
1970,144,Mozambique,EFConsPerCap,0.142182181005943,0.0694251291685952,0.471150536538513,0.0395613739845448,0.0344396463824741,0.102958928797873,0.859717795877943
1970,144,Mozambique,BiocapPerCap,0.222321190578716,2.1572000154677,2.12460159888537,0.514008423683164,0.0344396463824741,0.0,5.05257087499742
1971,144,Mozambique,EFConsPerCap,0.134681971504049,0.0754609501325284,0.466660142644944,0.0393673221780926,0.0345176196916548,0.120707772973066,0.871395779124334
1971,144,Mozambique,BiocapPerCap,0.217366916570396,2.09698533301946,2.07726285002321,0.499660725840649,0.0345176196916548,0.0,4.92579344514538
1972,144,Mozambique,EFConsPerCap,0.12198860370345,0.0596402612224438,0.463803581561125,0.0445501603231855,0.0345047168278209,0.0991434805964248,0.82363080423445
1972,144,Mozambique,BiocapPerCap,0.212831848464552,2.0387601657943,2.02186842502689,0.485745322057969,0.0345047168278209,0.0,4.79371047817153
1973,144,Mozambique,EFConsPerCap,0.131899655830654,0.0605266397566841,0.463842477219176,0.0460572215358243,0.035160839036207,0.111574150410813,0.849060983789359
1973,144,Mozambique,BiocapPerCap,0.214213049328179,1.98177107505503,1.9650397376476,0.472032115928636,0.035160839036207,0.0,4.66821681699564
1974,144,Mozambique,EFConsPerCap,0.127083289007828,0.0684099805087102,0.458586764154233,0.0462906599776765,0.0336502346124385,0.108957180142504,0.84297810840339
1974,144,Mozambique,BiocapPerCap,0.198893835527859,1.91735875871253,1.90720084867818,0.456689939247523,0.0336502346124385,0.0,4.51379361677853
1975,144,Mozambique,EFConsPerCap,0.148209375633633,0.0751107128637115,0.454777485653834,0.0483110830295535,0.0325932010399759,0.0970582179199966,0.856060076140705
1975,144,Mozambique,BiocapPerCap,0.187892072615777,1.85461402516966,1.85026142073566,0.441694348480965,0.0325932010399759,0.0,4.36705506804204
1976,144,Mozambique,EFConsPerCap,0.153412625210121,0.0539688330195221,0.449827981167285,0.0470134248809829,0.0332898822006575,0.0925347531698056,0.830047499648374
1976,144,Mozambique,BiocapPerCap,0.185865495232011,1.79432911619477,1.78981700875528,0.427336911714325,0.0332898822006575,0.0,4.23063841409705
