year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,156,New Zealand,EFConsPerCap,,,,,,,5.01414008643971
1961,156,New Zealand,BiocapPerCap,,,,,,,18.5042565379157
1962,156,New Zealand,EFConsPerCap,,,,,,,4.70347515746572
1962,156,New Zealand,BiocapPerCap,,,,,,,18.0536970942229
1963,156,New Zealand,EFConsPerCap,,,,,,,4.50512961025401
1963,156,New Zealand,BiocapPerCap,,,,,,,17.7073503721139
1964,156,New Zealand,EFConsPerCap,,,,,,,4.82302029670388
1964,156,New Zealand,BiocapPerCap,,,,,,,17.4123903354872
1965,156,New Zealand,EFConsPerCap,,,,,,,4.98300295373845
1965,156,New Zealand,BiocapPerCap,,,,,,,17.0581437798255
1966,156,New Zealand,EFConsPerCap,,,,,,,5.00034920691649
1966,156,New Zealand,BiocapPerCap,,,,,,,16.7735760941913
1967,156,New Zealand,EFConsPerCap,,,,,,,5.74387872480097
1967,156,New Zealand,BiocapPerCap,,,,,,,16.5702040766777
1968,156,New Zealand,EFConsPerCap,,,,,,,5.05130661322725
1968,156,New Zealand,BiocapPerCap,,,,,,,16.3564156833249
1969,156,New Zealand,EFConsPerCap,,,,,,,4.69443558463047
1969,156,New Zealand,BiocapPerCap,,,,,,,16.1338095182124
1970,156,New Zealand,EFConsPerCap,,,,,,,5.04588881003414
1970,156,New Zealand,BiocapPerCap,,,,,,,15.8263844766463
1971,156,New Zealand,EFConsPerCap,,,,,,,4.75525400834409
1971,156,New Zealand,BiocapPerCap,,,,,,,15.6153304389987
1972,156,New Zealand,EFConsPerCap,,,,,,,4.81169653040644
1972,156,New Zealand,BiocapPerCap,,,,,,,15.537050837343
1973,156,New Zealand,EFConsPerCap,,,,,,,5.65746485903084
1973,156,New Zealand,BiocapPerCap,,,,,,,15.241941209207
1974,156,New Zealand,EFConsPerCap,,,,,,,6.36063191180272
1974,156,New Zealand,BiocapPerCap,,,,,,,14.8409176884643
1975,156,New Zealand,EFConsPerCap,,,,,,,6.01708888351686
1975,156,New Zealand,BiocapPerCap,,,,,,,14.7796565773677
1976,156,New Zealand,EFConsPerCap,,,,,,,5.39967340794921
1976,156,New Zealand,BiocapPerCap,,,,,,,14.8107270130856
1977,156,New Zealand,EFConsPerCap,,,,,,,5.2952626083763
1977,156,New Zealand,BiocapPerCap,,,,,,,14.7194113011283
1978,156,New Zealand,EFConsPerCap,,,,,,,5.34233275893995
1978,156,New Zealand,BiocapPerCap,,,,,,,14.7428992830232
1979,156,New Zealand,EFConsPerCap,,,,,,,4.71900724855442
1979,156,New Zealand,BiocapPerCap,,,,,,,14.7435829123692
1980,156,New Zealand,EFConsPerCap,,,,,,,4.89543528301575
1980,156,New Zealand,BiocapPerCap,,,,,,,14.7266149424968
1981,156,New Zealand,EFConsPerCap,,,,,,,4.70564193216552
1981,156,New Zealand,BiocapPerCap,,,,,,,14.9316053504276
1982,156,New Zealand,EFConsPerCap,,,,,,,5.23549249337444
1982,156,New Zealand,BiocapPerCap,,,,,,,14.5889639540359
1983,156,New Zealand,EFConsPerCap,,,,,,,4.21315986953226
1983,156,New Zealand,BiocapPerCap,,,,,,,14.4109291426526
1984,156,New Zealand,EFConsPerCap,,,,,,,4.71410138432115
1984,156,New Zealand,BiocapPerCap,,,,,,,14.2488886942763
1985,156,New Zealand,EFConsPerCap,,,,,,,4.59394086344003
1985,156,New Zealand,BiocapPerCap,,,,,,,14.1194373517763
1986,156,New Zealand,EFConsPerCap,,,,,,,4.96262187828344
1986,156,New Zealand,BiocapPerCap,,,,,,,13.9995243285023
1987,156,New Zealand,EFConsPerCap,,,,,,,4.53493910961065
1987,156,New Zealand,BiocapPerCap,,,,,,,13.8543600487115
1988,156,New Zealand,EFConsPerCap,,,,,,,4.97734629795388
1988,156,New Zealand,BiocapPerCap,,,,,,,13.7295579088007
1989,156,New Zealand,EFConsPerCap,,,,,,,4.59805348259612
1989,156,New Zealand,BiocapPerCap,,,,,,,13.6059702433848
1990,156,New Zealand,EFConsPerCap,,,,,,,6.21402777261145
1990,156,New Zealand,BiocapPerCap,,,,,,,13.52069286118
1991,156,New Zealand,EFConsPerCap,,,,,,,5.30674133744944
1991,156,New Zealand,BiocapPerCap,,,,,,,13.1998909755761
1992,156,New Zealand,EFConsPerCap,,,,,,,4.93728047653
1992,156,New Zealand,BiocapPerCap,,,,,,,13.1449078409447
1993,156,New Zealand,EFConsPerCap,,,,,,,5.20242748317211
1993,156,New Zealand,BiocapPerCap,,,,,,,12.9778246564948
1994,156,New Zealand,EFConsPerCap,,,,,,,5.34066984409975
1994,156,New Zealand,BiocapPerCap,,,,,,,12.8460126783046
1995,156,New Zealand,EFConsPerCap,,,,,,,5.89311035544026
1995,156,New Zealand,BiocapPerCap,,,,,,,12.6312241330392
1996,156,New Zealand,EFConsPerCap,,,,,,,5.3330130933622
1996,156,New Zealand,BiocapPerCap,,,,,,,12.4436388905451
1997,156,New Zealand,EFConsPerCap,,,,,,,6.47305956470528
1997,156,New Zealand,BiocapPerCap,,,,,,,12.272439496778
1998,156,New Zealand,EFConsPerCap,,,,,,,5.81507008997998
1998,156,New Zealand,BiocapPerCap,,,,,,,12.1558965711906
1999,156,New Zealand,EFConsPerCap,,,,,,,6.68505392397899
1999,156,New Zealand,BiocapPerCap,,,,,,,12.0690459651799
2000,156,New Zealand,EFConsPerCap,,,,,,,6.12350567806143
2000,156,New Zealand,BiocapPerCap,,,,,,,11.9898608125464
2001,156,New Zealand,EFConsPerCap,,,,,,,6.47643458103755
2001,156,New Zealand,BiocapPerCap,,,,,,,11.9126043300658
2002,156,New Zealand,EFConsPerCap,,,,,,,6.27640229998966
2002,156,New Zealand,BiocapPerCap,,,,,,,11.6794618459089
2003,156,New Zealand,EFConsPerCap,,,,,,,6.48501668899504
2003,156,New Zealand,BiocapPerCap,,,,,,,11.3948067721205
2004,156,New Zealand,EFConsPerCap,,,,,,,5.89949852317422
2004,156,New Zealand,BiocapPerCap,,,,,,,11.1656677477808
2005,156,New Zealand,EFConsPerCap,,,,,,,6.12142315117445
2005,156,New Zealand,BiocapPerCap,,,,,,,11.015691325399
2006,156,New Zealand,EFConsPerCap,,,,,,,5.6401919851504
2006,156,New Zealand,BiocapPerCap,,,,,,,10.7500082327469
2007,156,New Zealand,EFConsPerCap,,,,,,,6.31050752171374
2007,156,New Zealand,BiocapPerCap,,,,,,,10.7529887415081
2008,156,New Zealand,EFConsPerCap,,,,,,,6.17196432132258
2008,156,New Zealand,BiocapPerCap,,,,,,,10.6179408621955
2009,156,New Zealand,EFConsPerCap,,,,,,,4.82784487882457
2009,156,New Zealand,BiocapPerCap,,,,,,,10.5032598522684
2010,156,New Zealand,EFConsPerCap,,,,,,,5.32385942106973
2010,156,New Zealand,BiocapPerCap,,,,,,,10.416919310145
2011,156,New Zealand,EFConsPerCap,,,,,,,5.9810089622845
2011,156,New Zealand,BiocapPerCap,,,,,,,10.2442502956123
