year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,157,Nicaragua,EFConsPerCap,0.437151159046687,0.977558260273529,1.05543651849341,0.00530251042861828,0.0140676271596621,0.162690065246579,2.65220614064848
1961,157,Nicaragua,BiocapPerCap,0.614304685658896,1.3586077218002,10.0784034026187,1.6501618119366,0.0140676271596621,0.0,13.7155452491741
1962,157,Nicaragua,EFConsPerCap,0.510879240876855,0.951142710500294,1.03749381776874,0.00465900121086792,0.0168593870410629,0.172882899186447,2.69391705658427
1962,157,Nicaragua,BiocapPerCap,0.684418656277102,1.31651686667836,9.61261787268292,1.59903835618162,0.0168593870410629,0.0,13.2294511388611
1963,157,Nicaragua,EFConsPerCap,0.513795653528541,0.931419983560273,0.969047495677191,0.00779306707936567,0.0179463488614298,0.191099056251737,2.63110160495854
1963,157,Nicaragua,BiocapPerCap,0.732179047183284,1.29332540537492,9.15769720452717,1.55020071775634,0.0179463488614298,0.0,12.7513487237031
1964,157,Nicaragua,EFConsPerCap,0.627557547402309,0.976972527485948,0.952897776942437,0.00671234044031541,0.0224475220629774,0.20234708602282,2.78893480035681
1964,157,Nicaragua,BiocapPerCap,0.795488436669044,1.26408210340587,8.72278731549378,1.50197401310315,0.0224475220629774,0.0,12.3067793907348
1965,157,Nicaragua,EFConsPerCap,0.557163284931318,1.00701817684779,0.935750468408492,0.00837622685690108,0.0237356888471302,0.171667384411383,2.70371123030301
1965,157,Nicaragua,BiocapPerCap,0.752485515834697,1.24008201173819,8.30970726400883,1.4544857098325,0.0237356888471302,0.0,11.7804961902613
1966,157,Nicaragua,EFConsPerCap,0.504649626031431,0.987430542921742,0.926600054429238,0.0118015910791623,0.0235216969380916,0.216049320116178,2.67005283151584
1966,157,Nicaragua,BiocapPerCap,0.71156850820672,1.22466351208507,7.91301032835809,1.40622493150365,0.0235216969380916,0.0,11.2789889770916
1967,157,Nicaragua,EFConsPerCap,0.537733596387621,0.963110320567163,0.932467306328694,0.0131344750458515,0.0262214148749031,0.254910235368122,2.72757734857235
1967,157,Nicaragua,BiocapPerCap,0.711679938184216,1.18544741982656,7.53048692507372,1.36119489173691,0.0262214148749031,0.0,10.8150305896963
1968,157,Nicaragua,EFConsPerCap,0.483573241976251,0.903771319801213,0.912691935853996,0.013551305445044,0.0259384978428573,0.277924297129742,2.6174505980491
1968,157,Nicaragua,BiocapPerCap,0.668787799426481,1.14528659441753,7.15103618670196,1.31508005823152,0.0259384978428573,0.0,10.3061291366203
1969,157,Nicaragua,EFConsPerCap,0.444594214218052,0.840669653477411,0.886252775458009,0.0138841950468022,0.0253847769775191,0.2571846539683,2.46797026914609
1969,157,Nicaragua,BiocapPerCap,0.640860312054151,1.1100971042152,6.77116334991645,1.27467358089214,0.0253847769775191,0.0,9.82217912405546
1970,157,Nicaragua,EFConsPerCap,0.424257794587126,0.757130599491317,0.885965800488097,0.0135855418349104,0.0240885116941764,0.304406531613078,2.40943477970871
1970,157,Nicaragua,BiocapPerCap,0.610314960709459,1.07442858598735,6.42505230159118,1.23371705764569,0.0240885116941764,0.0,9.36760141762786
1971,157,Nicaragua,EFConsPerCap,0.466352629174456,0.71950011316044,0.917430393164107,0.0120990047807104,0.0251922408962356,0.309573917491406,2.45014829866736
1971,157,Nicaragua,BiocapPerCap,0.623919505056484,1.04515571561575,6.11181335859115,1.19010349374739,0.0251922408962356,0.0,8.99618431390701
1972,157,Nicaragua,EFConsPerCap,0.419517245211214,0.637232062335471,0.919683232742217,0.0138477499558137,0.0228860653894829,0.27685563591206,2.29002199154626
1972,157,Nicaragua,BiocapPerCap,0.609742053034129,1.01289279419944,5.80119888523966,1.15336617803226,0.0228860653894829,0.0,8.60008597589497
1973,157,Nicaragua,EFConsPerCap,0.445725652086199,0.668935406176345,0.905649541981669,0.0182894619379887,0.0248054331769425,0.348037132892729,2.41144262825187
1973,157,Nicaragua,BiocapPerCap,0.623585255055384,0.983462481929171,5.51839461693665,1.11985431283207,0.0248054331769425,0.0,8.27010209993021
1974,157,Nicaragua,EFConsPerCap,0.45084479344553,0.77655764816881,0.904540799840756,0.00932937601740971,0.0296957882236284,0.399672397792972,2.57064080348911
1974,157,Nicaragua,BiocapPerCap,0.608153783981941,0.950134776518007,5.22674301846491,1.08190454318933,0.0296957882236284,0.0,7.89663191037782
1975,157,Nicaragua,EFConsPerCap,0.429601863014954,0.678812738139549,0.900243529970605,0.0109270673393948,0.0293271199399406,0.353380957382984,2.40229327578743
1975,157,Nicaragua,BiocapPerCap,0.62835873617648,0.918919147753841,4.96250749008999,1.04635976426625,0.0293271199399406,0.0,7.5854722582265
1976,157,Nicaragua,EFConsPerCap,0.465262059767748,0.601017830867435,0.877610422933261,0.0227101193700171,0.030999054646103,0.345833779112036,2.3434332666966
1976,157,Nicaragua,BiocapPerCap,0.651188738463714,0.889926029230851,4.70045963055361,1.01334572517781,0.030999054646103,0.0,7.28591917807209
1977,157,Nicaragua,EFConsPerCap,0.420292788916475,0.597786407809569,0.848516419769891,0.0605176927291503,0.0302578983275572,0.44180545888828,2.39917666644092
1977,157,Nicaragua,BiocapPerCap,0.592227936644179,0.89721586197614,4.4465437812265,0.98078068883748,0.0302578983275572,0.0,6.94702616701185
1978,157,Nicaragua,EFConsPerCap,0.501930209846904,0.453199889822122,0.830325906103512,0.089516419550962,0.0374199694277881,0.364568027452601,2.27696042220389
1978,157,Nicaragua,BiocapPerCap,0.670944228013125,0.870816798176002,4.2097832059043,0.951922870918907,0.0374199694277881,0.0,6.74088707244012
1979,157,Nicaragua,EFConsPerCap,0.408825840402921,0.0660904176965011,0.857470204271491,0.0351616561380464,0.0304495364882204,0.213964222891841,1.61196187788902
1979,157,Nicaragua,BiocapPerCap,0.615413936521489,0.847842306662258,3.99020928900966,0.926808582855707,0.0304495364882204,0.0,6.41072365153733
1980,157,Nicaragua,EFConsPerCap,0.471579702994939,0.525115881568511,0.837663200884666,0.0108940829759462,0.0210122282771222,0.30331683387273,2.16958193057391
1980,157,Nicaragua,BiocapPerCap,0.508998232790381,0.828347456778045,3.78654775826824,0.905498023035567,0.0210122282771222,0.0,6.05040369914936
1981,157,Nicaragua,EFConsPerCap,0.522457261155295,0.726374368698863,0.811906779090713,0.0108774136796166,0.0269647388036567,0.298887623560779,2.39746818498892
1981,157,Nicaragua,BiocapPerCap,0.577664980630113,0.802990271475737,3.56873247287586,0.877779122019927,0.0269647388036567,0.0,5.85413158580529
1982,157,Nicaragua,EFConsPerCap,0.484845092319799,0.664815245834216,0.798542755318626,0.0139113059884765,0.0269227136760033,0.258685504336865,2.24772261747399
1982,157,Nicaragua,BiocapPerCap,0.599517137112077,0.779546711521128,3.38588150752305,0.852152077452926,0.0269227136760033,0.0,5.64402014728518
1983,157,Nicaragua,EFConsPerCap,0.496882683588169,0.627945990852158,0.775409254039561,0.0107679794123205,0.0270937199395997,0.220783395556159,2.15888302338797
1983,157,Nicaragua,BiocapPerCap,0.596949033633454,0.757316005103137,3.21021737759434,0.827850849088596,0.0270937199395997,0.0,5.41942698535913
