year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,168,Papua New Guinea,EFConsPerCap,,,,,,,1.12372844617053
1961,168,Papua New Guinea,BiocapPerCap,,,,,,,13.4773477272397
1962,168,Papua New Guinea,EFConsPerCap,,,,,,,1.13353016571427
1962,168,Papua New Guinea,BiocapPerCap,,,,,,,13.1971975592075
1963,168,Papua New Guinea,EFConsPerCap,,,,,,,1.14807104976431
1963,168,Papua New Guinea,BiocapPerCap,,,,,,,12.9116297719888
1964,168,Papua New Guinea,EFConsPerCap,,,,,,,1.17644194295928
1964,168,Papua New Guinea,BiocapPerCap,,,,,,,12.6523601434849
1965,168,Papua New Guinea,EFConsPerCap,,,,,,,1.23287260400974
1965,168,Papua New Guinea,BiocapPerCap,,,,,,,12.4148647991179
1966,168,Papua New Guinea,EFConsPerCap,,,,,,,1.27512141648113
1966,168,Papua New Guinea,BiocapPerCap,,,,,,,12.1675148493639
1967,168,Papua New Guinea,EFConsPerCap,,,,,,,1.28491202971686
1967,168,Papua New Guinea,BiocapPerCap,,,,,,,11.9148865255623
1968,168,Papua New Guinea,EFConsPerCap,,,,,,,1.33106368549351
1968,168,Papua New Guinea,BiocapPerCap,,,,,,,11.6638727071927
1969,168,Papua New Guinea,EFConsPerCap,,,,,,,1.35014246065185
1969,168,Papua New Guinea,BiocapPerCap,,,,,,,11.4097238390887
1970,168,Papua New Guinea,EFConsPerCap,,,,,,,1.44516432526073
1970,168,Papua New Guinea,BiocapPerCap,,,,,,,11.1649168001606
1971,168,Papua New Guinea,EFConsPerCap,,,,,,,1.55450141602148
1971,168,Papua New Guinea,BiocapPerCap,,,,,,,10.9342533201116
1972,168,Papua New Guinea,EFConsPerCap,,,,,,,1.62517224358484
1972,168,Papua New Guinea,BiocapPerCap,,,,,,,10.6835070059846
1973,168,Papua New Guinea,EFConsPerCap,,,,,,,1.72963195989176
1973,168,Papua New Guinea,BiocapPerCap,,,,,,,10.4749724316102
1974,168,Papua New Guinea,EFConsPerCap,,,,,,,1.83046979006907
1974,168,Papua New Guinea,BiocapPerCap,,,,,,,10.2529803736767
1975,168,Papua New Guinea,EFConsPerCap,,,,,,,1.71531066846065
1975,168,Papua New Guinea,BiocapPerCap,,,,,,,10.0405236780235
1976,168,Papua New Guinea,EFConsPerCap,,,,,,,1.86927727003815
1976,168,Papua New Guinea,BiocapPerCap,,,,,,,9.84103125153479
1977,168,Papua New Guinea,EFConsPerCap,,,,,,,1.72377699876075
1977,168,Papua New Guinea,BiocapPerCap,,,,,,,9.6345140950364
1978,168,Papua New Guinea,EFConsPerCap,,,,,,,1.85961042537615
1978,168,Papua New Guinea,BiocapPerCap,,,,,,,9.46184896207036
1979,168,Papua New Guinea,EFConsPerCap,,,,,,,1.8737739839445
1979,168,Papua New Guinea,BiocapPerCap,,,,,,,9.26652873290849
1980,168,Papua New Guinea,EFConsPerCap,,,,,,,1.99643437738908
1980,168,Papua New Guinea,BiocapPerCap,,,,,,,9.08150489747787
1981,168,Papua New Guinea,EFConsPerCap,,,,,,,1.82616019614367
1981,168,Papua New Guinea,BiocapPerCap,,,,,,,8.88136514371651
1982,168,Papua New Guinea,EFConsPerCap,,,,,,,2.05208311422715
1982,168,Papua New Guinea,BiocapPerCap,,,,,,,8.70755346119116
