year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,169,Paraguay,EFConsPerCap,,,,,,,3.90433084632606
1961,169,Paraguay,BiocapPerCap,,,,,,,53.8759961726216
1962,169,Paraguay,EFConsPerCap,,,,,,,3.73069539072976
1962,169,Paraguay,BiocapPerCap,,,,,,,52.5248307449994
1963,169,Paraguay,EFConsPerCap,,,,,,,3.75951582208769
1963,169,Paraguay,BiocapPerCap,,,,,,,51.1510629131831
1964,169,Paraguay,EFConsPerCap,,,,,,,3.53328372372523
1964,169,Paraguay,BiocapPerCap,,,,,,,49.8585467281897
1965,169,Paraguay,EFConsPerCap,,,,,,,3.45222108243321
1965,169,Paraguay,BiocapPerCap,,,,,,,48.5917644188915
1966,169,Paraguay,EFConsPerCap,,,,,,,3.44321326663822
1966,169,Paraguay,BiocapPerCap,,,,,,,47.4302791464895
1967,169,Paraguay,EFConsPerCap,,,,,,,3.41267816414274
1967,169,Paraguay,BiocapPerCap,,,,,,,46.2727187246363
1968,169,Paraguay,EFConsPerCap,,,,,,,3.24772562851678
1968,169,Paraguay,BiocapPerCap,,,,,,,45.0971690444497
1969,169,Paraguay,EFConsPerCap,,,,,,,3.13314074652366
1969,169,Paraguay,BiocapPerCap,,,,,,,43.9682265631882
1970,169,Paraguay,EFConsPerCap,,,,,,,3.12104401690677
1970,169,Paraguay,BiocapPerCap,,,,,,,42.9253148622274
1971,169,Paraguay,EFConsPerCap,,,,,,,3.16560662007852
1971,169,Paraguay,BiocapPerCap,,,,,,,41.9428935482237
1972,169,Paraguay,EFConsPerCap,,,,,,,3.0400584469842
1972,169,Paraguay,BiocapPerCap,,,,,,,40.9217144493409
1973,169,Paraguay,EFConsPerCap,,,,,,,3.14970179625046
1973,169,Paraguay,BiocapPerCap,,,,,,,39.9536218661527
1974,169,Paraguay,EFConsPerCap,,,,,,,3.43912660943894
1974,169,Paraguay,BiocapPerCap,,,,,,,39.0093360680631
1975,169,Paraguay,EFConsPerCap,,,,,,,3.44606087098693
1975,169,Paraguay,BiocapPerCap,,,,,,,38.0491406470981
1976,169,Paraguay,EFConsPerCap,,,,,,,3.73566048405216
1976,169,Paraguay,BiocapPerCap,,,,,,,37.1146611968293
1977,169,Paraguay,EFConsPerCap,,,,,,,3.83985645768122
1977,169,Paraguay,BiocapPerCap,,,,,,,36.1868516744887
1978,169,Paraguay,EFConsPerCap,,,,,,,3.90270965482302
1978,169,Paraguay,BiocapPerCap,,,,,,,35.2197570946055
1979,169,Paraguay,EFConsPerCap,,,,,,,3.96319069883305
1979,169,Paraguay,BiocapPerCap,,,,,,,34.2724755044786
1980,169,Paraguay,EFConsPerCap,,,,,,,4.05641448477344
1980,169,Paraguay,BiocapPerCap,,,,,,,32.6162752798436
1981,169,Paraguay,EFConsPerCap,,,,,,,4.45737710422801
1981,169,Paraguay,BiocapPerCap,,,,,,,31.2962605581605
1982,169,Paraguay,EFConsPerCap,,,,,,,4.16892864818097
1982,169,Paraguay,BiocapPerCap,,,,,,,29.8270177882447
1983,169,Paraguay,EFConsPerCap,,,,,,,4.11325700203143
1983,169,Paraguay,BiocapPerCap,,,,,,,28.4715957782942
1984,169,Paraguay,EFConsPerCap,,,,,,,4.16899774627359
1984,169,Paraguay,BiocapPerCap,,,,,,,27.0994781987444
1985,169,Paraguay,EFConsPerCap,,,,,,,4.09061932851147
1985,169,Paraguay,BiocapPerCap,,,,,,,25.8150379866035
1986,169,Paraguay,EFConsPerCap,,,,,,,3.83500526862798
1986,169,Paraguay,BiocapPerCap,,,,,,,23.1231642556425
1987,169,Paraguay,EFConsPerCap,,,,,,,4.12393792248087
1987,169,Paraguay,BiocapPerCap,,,,,,,21.9430479437229
1988,169,Paraguay,EFConsPerCap,,,,,,,4.14917020465099
1988,169,Paraguay,BiocapPerCap,,,,,,,20.7047740331628
1989,169,Paraguay,EFConsPerCap,,,,,,,3.76705104818675
1989,169,Paraguay,BiocapPerCap,,,,,,,19.5442024638427
1990,169,Paraguay,EFConsPerCap,,,,,,,3.59001622007176
1990,169,Paraguay,BiocapPerCap,,,,,,,18.4290589425878
1991,169,Paraguay,EFConsPerCap,,,,,,,3.73885734388611
1991,169,Paraguay,BiocapPerCap,,,,,,,17.7599273105129
1992,169,Paraguay,EFConsPerCap,,,,,,,3.72481602215894
1992,169,Paraguay,BiocapPerCap,,,,,,,17.3280292279039
1993,169,Paraguay,EFConsPerCap,,,,,,,4.31112851640518
1993,169,Paraguay,BiocapPerCap,,,,,,,17.0472030146029
1994,169,Paraguay,EFConsPerCap,,,,,,,4.43861913440493
1994,169,Paraguay,BiocapPerCap,,,,,,,16.4261355783433
1995,169,Paraguay,EFConsPerCap,,,,,,,4.81763625812831
1995,169,Paraguay,BiocapPerCap,,,,,,,16.1030092608048
1996,169,Paraguay,EFConsPerCap,,,,,,,4.70247869539953
1996,169,Paraguay,BiocapPerCap,,,,,,,15.6047272126123
1997,169,Paraguay,EFConsPerCap,,,,,,,4.40294476349161
1997,169,Paraguay,BiocapPerCap,,,,,,,15.1713573058458
1998,169,Paraguay,EFConsPerCap,,,,,,,4.17975434179962
1998,169,Paraguay,BiocapPerCap,,,,,,,14.734975856531
1999,169,Paraguay,EFConsPerCap,,,,,,,4.33651982162332
1999,169,Paraguay,BiocapPerCap,,,,,,,14.3447641806783
2000,169,Paraguay,EFConsPerCap,,,,,,,3.96392603807551
2000,169,Paraguay,BiocapPerCap,,,,,,,13.9647642255712
2001,169,Paraguay,EFConsPerCap,,,,,,,3.84541560818859
2001,169,Paraguay,BiocapPerCap,,,,,,,13.699080288678
2002,169,Paraguay,EFConsPerCap,,,,,,,4.03862847134328
2002,169,Paraguay,BiocapPerCap,,,,,,,13.3684983281813
2003,169,Paraguay,EFConsPerCap,,,,,,,3.9823213212891
2003,169,Paraguay,BiocapPerCap,,,,,,,13.1922774704042
2004,169,Paraguay,EFConsPerCap,,,,,,,3.26955136179748
2004,169,Paraguay,BiocapPerCap,,,,,,,12.7005982755955
2005,169,Paraguay,EFConsPerCap,,,,,,,2.90084077020928
2005,169,Paraguay,BiocapPerCap,,,,,,,12.3939621320237
2006,169,Paraguay,EFConsPerCap,,,,,,,2.59652989696664
2006,169,Paraguay,BiocapPerCap,,,,,,,12.0191705326446
2007,169,Paraguay,EFConsPerCap,,,,,,,3.07909240908147
2007,169,Paraguay,BiocapPerCap,,,,,,,12.0936583200873
2008,169,Paraguay,EFConsPerCap,,,,,,,3.10259575807331
2008,169,Paraguay,BiocapPerCap,,,,,,,11.8797704022261
2009,169,Paraguay,EFConsPerCap,,,,,,,2.60507220157612
2009,169,Paraguay,BiocapPerCap,,,,,,,11.2166321992634
2010,169,Paraguay,EFConsPerCap,,,,,,,3.24147460899332
2010,169,Paraguay,BiocapPerCap,,,,,,,11.5346832659546
2011,169,Paraguay,EFConsPerCap,,,,,,,3.58087483661376
2011,169,Paraguay,BiocapPerCap,,,,,,,11.3407833464507
2012,169,Paraguay,EFConsPerCap,,,,,,,2.80124656412489
2012,169,Paraguay,BiocapPerCap,,,,,,,10.4414207424629
2013,169,Paraguay,EFConsPerCap,,,,,,,3.38758123894195
2013,169,Paraguay,BiocapPerCap,,,,,,,10.8731241622593
2014,169,Paraguay,EFConsPerCap,,,,,,,2.9614690913918
2014,169,Paraguay,BiocapPerCap,,,,,,,10.5237179122139
2015,169,Paraguay,EFConsPerCap,,,,,,,2.7214255734429
2015,169,Paraguay,BiocapPerCap,,,,,,,10.1895622694809
2016,169,Paraguay,EFConsPerCap,,,,,,,2.73558878858644
2016,169,Paraguay,BiocapPerCap,,,,,,,9.98521211974237
2017,169,Paraguay,EFConsPerCap,,,,,,,3.16561361529874
2017,169,Paraguay,BiocapPerCap,,,,,,,9.85725462599242
2018,169,Paraguay,EFConsPerCap,,,,,,,3.23949996666588
2018,169,Paraguay,BiocapPerCap,,,,,,,9.66041442865776
2019,169,Paraguay,EFConsPerCap,,,,,,,2.75862033377426
2019,169,Paraguay,BiocapPerCap,,,,,,,9.2074250287311
2020,169,Paraguay,EFConsPerCap,,,,,,,3.01386059533274
2020,169,Paraguay,BiocapPerCap,,,,,,,9.25546590284997
2021,169,Paraguay,EFConsPerCap,,,,,,,2.74405046522884
2021,169,Paraguay,BiocapPerCap,,,,,,,8.86785260925082
