year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,189,Saint Lucia,EFConsPerCap,,,,,,,0.614609454331664
1961,189,Saint Lucia,BiocapPerCap,,,,,,,0.796234840674541
1962,189,Saint Lucia,EFConsPerCap,,,,,,,0.638509871559314
1962,189,Saint Lucia,BiocapPerCap,,,,,,,0.788915784006934
1963,189,Saint Lucia,EFConsPerCap,,,,,,,0.642060395842923
1963,189,Saint Lucia,BiocapPerCap,,,,,,,0.781255051489205
1964,189,Saint Lucia,EFConsPerCap,,,,,,,0.610655735550576
1964,189,Saint Lucia,BiocapPerCap,,,,,,,0.783403117636005
1965,189,Saint Lucia,EFConsPerCap,,,,,,,0.674231839387411
1965,189,Saint Lucia,BiocapPerCap,,,,,,,0.793982310630341
1966,189,Saint Lucia,EFConsPerCap,,,,,,,0.694373849365655
1966,189,Saint Lucia,BiocapPerCap,,,,,,,0.781083627299873
1967,189,Saint Lucia,EFConsPerCap,,,,,,,0.809446523427432
1967,189,Saint Lucia,BiocapPerCap,,,,,,,0.766269967937283
1968,189,Saint Lucia,EFConsPerCap,,,,,,,0.870875724423698
1968,189,Saint Lucia,BiocapPerCap,,,,,,,0.761150551840672
1969,189,Saint Lucia,EFConsPerCap,,,,,,,0.96882386759917
1969,189,Saint Lucia,BiocapPerCap,,,,,,,0.744692129708192
1970,189,Saint Lucia,EFConsPerCap,,,,,,,1.18263648480759
1970,189,Saint Lucia,BiocapPerCap,,,,,,,0.724753519156503
1971,189,Saint Lucia,EFConsPerCap,,,,,,,1.14433570975131
1971,189,Saint Lucia,BiocapPerCap,,,,,,,0.747781723031332
1972,189,Saint Lucia,EFConsPerCap,,,,,,,1.12295429374414
1972,189,Saint Lucia,BiocapPerCap,,,,,,,0.714866547282297
1973,189,Saint Lucia,EFConsPerCap,,,,,,,1.24729072915263
1973,189,Saint Lucia,BiocapPerCap,,,,,,,0.691653315311255
1974,189,Saint Lucia,EFConsPerCap,,,,,,,1.10624192524414
1974,189,Saint Lucia,BiocapPerCap,,,,,,,0.611309511648988
1975,189,Saint Lucia,EFConsPerCap,,,,,,,1.10927257297555
1975,189,Saint Lucia,BiocapPerCap,,,,,,,0.594374625500006
1976,189,Saint Lucia,EFConsPerCap,,,,,,,1.12712440243522
1976,189,Saint Lucia,BiocapPerCap,,,,,,,0.579557650565502
1977,189,Saint Lucia,EFConsPerCap,,,,,,,1.17290676320078
1977,189,Saint Lucia,BiocapPerCap,,,,,,,0.575549740834834
1978,189,Saint Lucia,EFConsPerCap,,,,,,,1.57757607813169
1978,189,Saint Lucia,BiocapPerCap,,,,,,,0.56972361728171
1979,189,Saint Lucia,EFConsPerCap,,,,,,,1.69763879977903
1979,189,Saint Lucia,BiocapPerCap,,,,,,,0.587456463529593
1980,189,Saint Lucia,EFConsPerCap,,,,,,,1.18736742046198
1980,189,Saint Lucia,BiocapPerCap,,,,,,,0.581711723237641
1981,189,Saint Lucia,EFConsPerCap,,,,,,,1.27338192170813
1981,189,Saint Lucia,BiocapPerCap,,,,,,,0.586898374785314
1982,189,Saint Lucia,EFConsPerCap,,,,,,,1.22948228988891
1982,189,Saint Lucia,BiocapPerCap,,,,,,,0.571614233518038
1983,189,Saint Lucia,EFConsPerCap,,,,,,,1.09098729667238
1983,189,Saint Lucia,BiocapPerCap,,,,,,,0.566495477308793
1984,189,Saint Lucia,EFConsPerCap,,,,,,,1.24817400978063
1984,189,Saint Lucia,BiocapPerCap,,,,,,,0.568479479249636
1985,189,Saint Lucia,EFConsPerCap,,,,,,,1.48749636396063
1985,189,Saint Lucia,BiocapPerCap,,,,,,,0.565649498495499
1986,189,Saint Lucia,EFConsPerCap,,,,,,,1.59468961350729
1986,189,Saint Lucia,BiocapPerCap,,,,,,,0.567302240604908
1987,189,Saint Lucia,EFConsPerCap,,,,,,,1.66575175000951
1987,189,Saint Lucia,BiocapPerCap,,,,,,,0.531545678116983
1988,189,Saint Lucia,EFConsPerCap,,,,,,,1.83114564638677
1988,189,Saint Lucia,BiocapPerCap,,,,,,,0.549808160461095
1989,189,Saint Lucia,EFConsPerCap,,,,,,,2.2308622272513
1989,189,Saint Lucia,BiocapPerCap,,,,,,,0.524777351075321
1990,189,Saint Lucia,EFConsPerCap,,,,,,,2.0506843162914
1990,189,Saint Lucia,BiocapPerCap,,,,,,,0.518010977513225
1991,189,Saint Lucia,EFConsPerCap,,,,,,,2.25919254784295
1991,189,Saint Lucia,BiocapPerCap,,,,,,,0.59835455843801
1992,189,Saint Lucia,EFConsPerCap,,,,,,,2.66733701726
1992,189,Saint Lucia,BiocapPerCap,,,,,,,0.612012325561648
1993,189,Saint Lucia,EFConsPerCap,,,,,,,2.4522058237226
1993,189,Saint Lucia,BiocapPerCap,,,,,,,0.586355564279597
1994,189,Saint Lucia,EFConsPerCap,,,,,,,2.82042986736183
