year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,244,Samoa,EFConsPerCap,,,,,,,3.4940487685005
1961,244,Samoa,BiocapPerCap,,,,,,,2.95825749719943
1962,244,Samoa,EFConsPerCap,,,,,,,3.39460601806305
1962,244,Samoa,BiocapPerCap,,,,,,,2.84938918794119
1963,244,Samoa,EFConsPerCap,,,,,,,3.65401070665335
1963,244,Samoa,BiocapPerCap,,,,,,,2.83128827627789
1964,244,Samoa,EFConsPerCap,,,,,,,3.51033625670798
1964,244,Samoa,BiocapPerCap,,,,,,,2.75842943579847
1965,244,Samoa,EFConsPerCap,,,,,,,3.44783252934368
1965,244,Samoa,BiocapPerCap,,,,,,,2.5630575806273
1966,244,Samoa,EFConsPerCap,,,,,,,3.20330724155937
1966,244,Samoa,BiocapPerCap,,,,,,,2.49013883321575
1967,244,Samoa,EFConsPerCap,,,,,,,3.27329381463185
1967,244,Samoa,BiocapPerCap,,,,,,,2.4617690915636
1968,244,Samoa,EFConsPerCap,,,,,,,3.38936040814418
1968,244,Samoa,BiocapPerCap,,,,,,,2.45174426714525
1969,244,Samoa,EFConsPerCap,,,,,,,3.58307181165929
1969,244,Samoa,BiocapPerCap,,,,,,,2.42785084675971
1970,244,Samoa,EFConsPerCap,,,,,,,3.14493500369225
1970,244,Samoa,BiocapPerCap,,,,,,,2.35615104726398
1971,244,Samoa,EFConsPerCap,,,,,,,3.30116228896829
1971,244,Samoa,BiocapPerCap,,,,,,,2.42381020249969
1972,244,Samoa,EFConsPerCap,,,,,,,3.70230528155248
1972,244,Samoa,BiocapPerCap,,,,,,,2.32819800838646
1973,244,Samoa,EFConsPerCap,,,,,,,3.72682614761065
1973,244,Samoa,BiocapPerCap,,,,,,,2.29007019195649
1974,244,Samoa,EFConsPerCap,,,,,,,3.83095513644575
1974,244,Samoa,BiocapPerCap,,,,,,,2.30710735555532
1975,244,Samoa,EFConsPerCap,,,,,,,3.73781563315084
1975,244,Samoa,BiocapPerCap,,,,,,,2.18777112171224
1976,244,Samoa,EFConsPerCap,,,,,,,2.83531130139967
1976,244,Samoa,BiocapPerCap,,,,,,,2.12446390952931
1977,244,Samoa,EFConsPerCap,,,,,,,2.27013950649407
1977,244,Samoa,BiocapPerCap,,,,,,,2.18382277072309
1978,244,Samoa,EFConsPerCap,,,,,,,2.22678424003178
1978,244,Samoa,BiocapPerCap,,,,,,,2.0747937737199
