year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,193,Sao Tome and Principe,EFConsPerCap,,,,,,,0.703382137031282
1961,193,Sao Tome and Principe,BiocapPerCap,,,,,,,2.42475112784921
1962,193,Sao Tome and Principe,EFConsPerCap,,,,,,,0.708437510420301
1962,193,Sao Tome and Principe,BiocapPerCap,,,,,,,2.41208682723505
1963,193,Sao Tome and Principe,EFConsPerCap,,,,,,,0.617128795655981
1963,193,Sao Tome and Principe,BiocapPerCap,,,,,,,2.30829057653424
1964,193,Sao Tome and Principe,EFConsPerCap,,,,,,,0.692742463165655
1964,193,Sao Tome and Principe,BiocapPerCap,,,,,,,2.32973991246211
1965,193,Sao Tome and Principe,EFConsPerCap,,,,,,,0.77454857482368
1965,193,Sao Tome and Principe,BiocapPerCap,,,,,,,2.35197921927901
1966,193,Sao Tome and Principe,EFConsPerCap,,,,,,,0.801978360322146
1966,193,Sao Tome and Principe,BiocapPerCap,,,,,,,2.34002316133208
1967,193,Sao Tome and Principe,EFConsPerCap,,,,,,,0.780922227972821
1967,193,Sao Tome and Principe,BiocapPerCap,,,,,,,2.322002620913
1968,193,Sao Tome and Principe,EFConsPerCap,,,,,,,0.83010762287137
1968,193,Sao Tome and Principe,BiocapPerCap,,,,,,,2.30865475013025
1969,193,Sao Tome and Principe,EFConsPerCap,,,,,,,0.822185370440266
1969,193,Sao Tome and Principe,BiocapPerCap,,,,,,,2.18945659401512
1970,193,Sao Tome and Principe,EFConsPerCap,,,,,,,0.79920426833742
1970,193,Sao Tome and Principe,BiocapPerCap,,,,,,,2.16300781582038
1971,193,Sao Tome and Principe,EFConsPerCap,,,,,,,0.864089356167997
1971,193,Sao Tome and Principe,BiocapPerCap,,,,,,,2.1695050918769
1972,193,Sao Tome and Principe,EFConsPerCap,,,,,,,0.730692789417575
1972,193,Sao Tome and Principe,BiocapPerCap,,,,,,,2.09759071042837
1973,193,Sao Tome and Principe,EFConsPerCap,,,,,,,0.865133989597689
1973,193,Sao Tome and Principe,BiocapPerCap,,,,,,,2.15983681976595
1974,193,Sao Tome and Principe,EFConsPerCap,,,,,,,0.880130859102935
1974,193,Sao Tome and Principe,BiocapPerCap,,,,,,,2.04075912464579
1975,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.30562858988266
1975,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.89639373132043
1976,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.39777111281249
1976,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.86265951325998
1977,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.57392108318307
1977,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.76231060146468
1978,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.49625811958913
1978,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.78240853477442
1979,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.14841581517316
1979,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.74026430208089
1980,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.06008789419965
1980,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.62629126624019
1981,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.47710072910306
1981,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.62528036448288
1982,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.44542596723976
1982,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.55513829365949
1983,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.1819351334457
1983,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.52767125319268
1984,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.2440495256997
1984,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.44273928007544
1985,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.1773885987245
1985,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.41912622373235
1986,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.133278864669
1986,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.38224562739583
1987,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.20752043445619
1987,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.34071168933137
1988,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.6985704065029
1988,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.32514088264945
1989,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.74751971969167
1989,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.25472853936977
1990,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.47109019910978
1990,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.18546383693068
1991,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.77915257584998
1991,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.14811848881177
1992,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.79048268125183
1992,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.16625782258883
1993,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.6994558610769
1993,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.14595960055652
1994,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.41181846827699
1994,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.13903811394671
1995,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.4347142777709
1995,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.0953602417176
1996,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.29871754899833
1996,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.09510636486612
1997,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.40183729257813
1997,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.07479303378459
1998,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.57108688596942
1998,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.08237200219487
1999,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.5274471532953
1999,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.10270065201752
2000,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.58297947151249
2000,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.07070107366636
2001,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.47760986741197
2001,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.06332763294091
2002,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.60465612276192
2002,193,Sao Tome and Principe,BiocapPerCap,,,,,,,1.03634570878014
2003,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.4564135608796
2003,193,Sao Tome and Principe,BiocapPerCap,,,,,,,0.987693133298867
2004,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.52736520612134
2004,193,Sao Tome and Principe,BiocapPerCap,,,,,,,0.966382388911974
2005,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.33707157795979
2005,193,Sao Tome and Principe,BiocapPerCap,,,,,,,0.942834699753773
2006,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.34251432764126
2006,193,Sao Tome and Principe,BiocapPerCap,,,,,,,0.916251373285469
2007,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.45303037604596
2007,193,Sao Tome and Principe,BiocapPerCap,,,,,,,0.893065090135819
2008,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.56000974813984
2008,193,Sao Tome and Principe,BiocapPerCap,,,,,,,0.884556886059911
2009,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.54101548255323
2009,193,Sao Tome and Principe,BiocapPerCap,,,,,,,0.84420414904911
2010,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.56736650586246
2010,193,Sao Tome and Principe,BiocapPerCap,,,,,,,0.820627527304096
2011,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.37639371810265
2011,193,Sao Tome and Principe,BiocapPerCap,,,,,,,0.819748322290364
2012,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.34281131402659
2012,193,Sao Tome and Principe,BiocapPerCap,,,,,,,0.821617653253463
2013,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.32262003554834
2013,193,Sao Tome and Principe,BiocapPerCap,,,,,,,0.811087968207007
2014,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.45161566095348
2014,193,Sao Tome and Principe,BiocapPerCap,,,,,,,0.797194130303049
2015,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.68076724399429
2015,193,Sao Tome and Principe,BiocapPerCap,,,,,,,0.773111888685969
2016,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.4785840346341
2016,193,Sao Tome and Principe,BiocapPerCap,,,,,,,0.774382977128607
2017,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.3670286743783
2017,193,Sao Tome and Principe,BiocapPerCap,,,,,,,0.757419527646568
2018,193,Sao Tome and Principe,EFConsPerCap,,,,,,,0.996402620409477
2018,193,Sao Tome and Principe,BiocapPerCap,,,,,,,0.742260210028856
2019,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.2223582468521
2019,193,Sao Tome and Principe,BiocapPerCap,,,,,,,0.737521937713677
2020,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.1281835920288
2020,193,Sao Tome and Principe,BiocapPerCap,,,,,,,0.722781548057048
2021,193,Sao Tome and Principe,EFConsPerCap,,,,,,,1.12970883633729
