year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,197,Sierra Leone,EFConsPerCap,,,,,,,1.41785205302971
1961,197,Sierra Leone,BiocapPerCap,,,,,,,2.24794220101651
1962,197,Sierra Leone,EFConsPerCap,,,,,,,1.43023195705411
1962,197,Sierra Leone,BiocapPerCap,,,,,,,2.2292009116419
1963,197,Sierra Leone,EFConsPerCap,,,,,,,1.40874510125088
1963,197,Sierra Leone,BiocapPerCap,,,,,,,2.18695139030096
1964,197,Sierra Leone,EFConsPerCap,,,,,,,1.36649619280897
1964,197,Sierra Leone,BiocapPerCap,,,,,,,2.15540446193219
1965,197,Sierra Leone,EFConsPerCap,,,,,,,1.31835299677178
1965,197,Sierra Leone,BiocapPerCap,,,,,,,2.11675980557608
1966,197,Sierra Leone,EFConsPerCap,,,,,,,1.33832836867886
1966,197,Sierra Leone,BiocapPerCap,,,,,,,2.0900049612582
1967,197,Sierra Leone,EFConsPerCap,,,,,,,1.28278001090592
1967,197,Sierra Leone,BiocapPerCap,,,,,,,2.04080670974758
1968,197,Sierra Leone,EFConsPerCap,,,,,,,1.27323284906467
1968,197,Sierra Leone,BiocapPerCap,,,,,,,1.99858256140798
1969,197,Sierra Leone,EFConsPerCap,,,,,,,1.34242649533834
1969,197,Sierra Leone,BiocapPerCap,,,,,,,1.98791553923012
1970,197,Sierra Leone,EFConsPerCap,,,,,,,1.2969453645672
1970,197,Sierra Leone,BiocapPerCap,,,,,,,1.9343673796211
1971,197,Sierra Leone,EFConsPerCap,,,,,,,1.2393631788445
1971,197,Sierra Leone,BiocapPerCap,,,,,,,1.89396348916765
1972,197,Sierra Leone,EFConsPerCap,,,,,,,1.18230221223591
1972,197,Sierra Leone,BiocapPerCap,,,,,,,1.86048841357836
1973,197,Sierra Leone,EFConsPerCap,,,,,,,1.200232777972
1973,197,Sierra Leone,BiocapPerCap,,,,,,,1.8393382634187
1974,197,Sierra Leone,EFConsPerCap,,,,,,,1.1388498699835
1974,197,Sierra Leone,BiocapPerCap,,,,,,,1.79004237283123
1975,197,Sierra Leone,EFConsPerCap,,,,,,,1.07833171935829
1975,197,Sierra Leone,BiocapPerCap,,,,,,,1.76485489530036
1976,197,Sierra Leone,EFConsPerCap,,,,,,,1.1134006939897
1976,197,Sierra Leone,BiocapPerCap,,,,,,,1.73587474349273
1977,197,Sierra Leone,EFConsPerCap,,,,,,,1.13182106114546
1977,197,Sierra Leone,BiocapPerCap,,,,,,,1.70496365010853
1978,197,Sierra Leone,EFConsPerCap,,,,,,,1.22029282362077
1978,197,Sierra Leone,BiocapPerCap,,,,,,,1.6723573337783
1979,197,Sierra Leone,EFConsPerCap,,,,,,,1.23871681703991
1979,197,Sierra Leone,BiocapPerCap,,,,,,,1.63931360073758
1980,197,Sierra Leone,EFConsPerCap,,,,,,,1.21718775944912
1980,197,Sierra Leone,BiocapPerCap,,,,,,,1.60232555325595
1981,197,Sierra Leone,EFConsPerCap,,,,,,,1.21057626622224
1981,197,Sierra Leone,BiocapPerCap,,,,,,,1.5683076235128
1982,197,Sierra Leone,EFConsPerCap,,,,,,,1.05310096664039
1982,197,Sierra Leone,BiocapPerCap,,,,,,,1.54824930789585
1983,197,Sierra Leone,EFConsPerCap,,,,,,,0.991562237204412
1983,197,Sierra Leone,BiocapPerCap,,,,,,,1.50837110445962
1984,197,Sierra Leone,EFConsPerCap,,,,,,,0.940109073614095
1984,197,Sierra Leone,BiocapPerCap,,,,,,,1.50368830089178
1985,197,Sierra Leone,EFConsPerCap,,,,,,,1.02179685557069
1985,197,Sierra Leone,BiocapPerCap,,,,,,,1.47205467972334
1986,197,Sierra Leone,EFConsPerCap,,,,,,,1.00820559120217
1986,197,Sierra Leone,BiocapPerCap,,,,,,,1.45148788261037
1987,197,Sierra Leone,EFConsPerCap,,,,,,,0.946066170803357
1987,197,Sierra Leone,BiocapPerCap,,,,,,,1.40201089485133
1988,197,Sierra Leone,EFConsPerCap,,,,,,,0.898053327624115
1988,197,Sierra Leone,BiocapPerCap,,,,,,,1.35073630556669
1989,197,Sierra Leone,EFConsPerCap,,,,,,,0.877448161188066
1989,197,Sierra Leone,BiocapPerCap,,,,,,,1.32323432065918
1990,197,Sierra Leone,EFConsPerCap,,,,,,,0.924992596685294
1990,197,Sierra Leone,BiocapPerCap,,,,,,,1.27131915093725
1991,197,Sierra Leone,EFConsPerCap,,,,,,,0.936803802396667
1991,197,Sierra Leone,BiocapPerCap,,,,,,,1.25796043643972
1992,197,Sierra Leone,EFConsPerCap,,,,,,,0.941041043832471
1992,197,Sierra Leone,BiocapPerCap,,,,,,,1.29815872198446
1993,197,Sierra Leone,EFConsPerCap,,,,,,,0.910858606919521
1993,197,Sierra Leone,BiocapPerCap,,,,,,,1.27606584012109
1994,197,Sierra Leone,EFConsPerCap,,,,,,,0.976768939454653
1994,197,Sierra Leone,BiocapPerCap,,,,,,,1.2770828217551
1995,197,Sierra Leone,EFConsPerCap,,,,,,,1.00106059531627
1995,197,Sierra Leone,BiocapPerCap,,,,,,,1.27732340643633
1996,197,Sierra Leone,EFConsPerCap,,,,,,,0.977559887085886
1996,197,Sierra Leone,BiocapPerCap,,,,,,,1.271730740301
1997,197,Sierra Leone,EFConsPerCap,,,,,,,0.968213155268368
1997,197,Sierra Leone,BiocapPerCap,,,,,,,1.25075669398673
1998,197,Sierra Leone,EFConsPerCap,,,,,,,0.971222593516001
1998,197,Sierra Leone,BiocapPerCap,,,,,,,1.23678718413524
1999,197,Sierra Leone,EFConsPerCap,,,,,,,0.948100353353501
1999,197,Sierra Leone,BiocapPerCap,,,,,,,1.23054876152904
2000,197,Sierra Leone,EFConsPerCap,,,,,,,1.03505301263164
2000,197,Sierra Leone,BiocapPerCap,,,,,,,1.20206139344613
2001,197,Sierra Leone,EFConsPerCap,,,,,,,0.985312595366716
2001,197,Sierra Leone,BiocapPerCap,,,,,,,1.15608492860322
2002,197,Sierra Leone,EFConsPerCap,,,,,,,1.02327858793189
2002,197,Sierra Leone,BiocapPerCap,,,,,,,1.13094102485233
2003,197,Sierra Leone,EFConsPerCap,,,,,,,1.00103686477517
2003,197,Sierra Leone,BiocapPerCap,,,,,,,1.15123513461406
2004,197,Sierra Leone,EFConsPerCap,,,,,,,0.970096389913765
2004,197,Sierra Leone,BiocapPerCap,,,,,,,1.14649768077317
2005,197,Sierra Leone,EFConsPerCap,,,,,,,0.954999724141766
2005,197,Sierra Leone,BiocapPerCap,,,,,,,1.11789605262962
2006,197,Sierra Leone,EFConsPerCap,,,,,,,1.0094179920428
2006,197,Sierra Leone,BiocapPerCap,,,,,,,1.13971175069372
2007,197,Sierra Leone,EFConsPerCap,,,,,,,0.95374854174134
2007,197,Sierra Leone,BiocapPerCap,,,,,,,1.06529865851128
2008,197,Sierra Leone,EFConsPerCap,,,,,,,0.994275433638485
2008,197,Sierra Leone,BiocapPerCap,,,,,,,1.06053114043162
2009,197,Sierra Leone,EFConsPerCap,,,,,,,0.997656408515488
2009,197,Sierra Leone,BiocapPerCap,,,,,,,1.08338948280806
2010,197,Sierra Leone,EFConsPerCap,,,,,,,1.06741144721163
2010,197,Sierra Leone,BiocapPerCap,,,,,,,1.09496451143029
2011,197,Sierra Leone,EFConsPerCap,,,,,,,1.06050782870878
2011,197,Sierra Leone,BiocapPerCap,,,,,,,1.08328316002901
2012,197,Sierra Leone,EFConsPerCap,,,,,,,1.07003587383514
2012,197,Sierra Leone,BiocapPerCap,,,,,,,1.05002335447547
2013,197,Sierra Leone,EFConsPerCap,,,,,,,1.11343439296935
2013,197,Sierra Leone,BiocapPerCap,,,,,,,1.06119665659064
2014,197,Sierra Leone,EFConsPerCap,,,,,,,1.05111134188085
2014,197,Sierra Leone,BiocapPerCap,,,,,,,0.997583636353669
2015,197,Sierra Leone,EFConsPerCap,,,,,,,1.05760980093518
2015,197,Sierra Leone,BiocapPerCap,,,,,,,0.968944351033632
2016,197,Sierra Leone,EFConsPerCap,,,,,,,0.985966382916468
