year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1973,200,Singapore,EFConsPerCap,,,,,,,1.49599945906633
1973,200,Singapore,BiocapPerCap,,,,,,,0.0580798530952608
1974,200,Singapore,EFConsPerCap,,,,,,,1.69238381523046
1974,200,Singapore,BiocapPerCap,,,,,,,0.0548646363268542
1975,200,Singapore,EFConsPerCap,,,,,,,1.62412555008174
1975,200,Singapore,BiocapPerCap,,,,,,,0.0530723508991597
1976,200,Singapore,EFConsPerCap,,,,,,,2.03974528647525
1976,200,Singapore,BiocapPerCap,,,,,,,0.0527060751976967
1977,200,Singapore,EFConsPerCap,,,,,,,1.46265233641975
1977,200,Singapore,BiocapPerCap,,,,,,,0.0504379990767305
1978,200,Singapore,EFConsPerCap,,,,,,,1.71885425495651
1978,200,Singapore,BiocapPerCap,,,,,,,0.0522099951352039
1979,200,Singapore,EFConsPerCap,,,,,,,3.69373069266663
1979,200,Singapore,BiocapPerCap,,,,,,,0.0512160715478919
1980,200,Singapore,EFConsPerCap,,,,,,,3.41918781959455
1980,200,Singapore,BiocapPerCap,,,,,,,0.0505523177085642
1981,200,Singapore,EFConsPerCap,,,,,,,3.79665589715983
1981,200,Singapore,BiocapPerCap,,,,,,,0.0498389025179701
1982,200,Singapore,EFConsPerCap,,,,,,,3.97695853809236
1982,200,Singapore,BiocapPerCap,,,,,,,0.049386927691651
1983,200,Singapore,EFConsPerCap,,,,,,,4.32349041137386
1983,200,Singapore,BiocapPerCap,,,,,,,0.046260948910613
1984,200,Singapore,EFConsPerCap,,,,,,,4.06185437638883
1984,200,Singapore,BiocapPerCap,,,,,,,0.0451718061953595
1985,200,Singapore,EFConsPerCap,,,,,,,3.83938075230017
1985,200,Singapore,BiocapPerCap,,,,,,,0.0442630031437628
1986,200,Singapore,EFConsPerCap,,,,,,,3.75726179618741
1986,200,Singapore,BiocapPerCap,,,,,,,0.0426097630735572
1987,200,Singapore,EFConsPerCap,,,,,,,3.68944174087251
1987,200,Singapore,BiocapPerCap,,,,,,,0.0431067674223783
1988,200,Singapore,EFConsPerCap,,,,,,,4.31560792460039
1988,200,Singapore,BiocapPerCap,,,,,,,0.0377281730451106
1989,200,Singapore,EFConsPerCap,,,,,,,3.94252390903483
1989,200,Singapore,BiocapPerCap,,,,,,,0.0368448780002554
1990,200,Singapore,EFConsPerCap,,,,,,,4.95340408159409
1990,200,Singapore,BiocapPerCap,,,,,,,0.0350935138510037
1991,200,Singapore,EFConsPerCap,,,,,,,5.32115968764633
1991,200,Singapore,BiocapPerCap,,,,,,,0.0331538194856044
1992,200,Singapore,EFConsPerCap,,,,,,,5.50923594186581
1992,200,Singapore,BiocapPerCap,,,,,,,0.0322931034468181
1993,200,Singapore,EFConsPerCap,,,,,,,6.24409115000776
1993,200,Singapore,BiocapPerCap,,,,,,,0.030667728477675
1994,200,Singapore,EFConsPerCap,,,,,,,6.93258544087368
1994,200,Singapore,BiocapPerCap,,,,,,,0.0297171069893398
1995,200,Singapore,EFConsPerCap,,,,,,,6.69937251820979
1995,200,Singapore,BiocapPerCap,,,,,,,0.0297861544577641
1996,200,Singapore,EFConsPerCap,,,,,,,6.89313655657675
1996,200,Singapore,BiocapPerCap,,,,,,,0.0297369205361696
1997,200,Singapore,EFConsPerCap,,,,,,,7.07940311334347
1997,200,Singapore,BiocapPerCap,,,,,,,0.0297866752607843
1998,200,Singapore,EFConsPerCap,,,,,,,5.76788137984717
1998,200,Singapore,BiocapPerCap,,,,,,,0.0301979113238302
1999,200,Singapore,EFConsPerCap,,,,,,,6.75443865082352
1999,200,Singapore,BiocapPerCap,,,,,,,0.0306535471511232
2000,200,Singapore,EFConsPerCap,,,,,,,8.46718047133573
2000,200,Singapore,BiocapPerCap,,,,,,,0.030505422257178
2001,200,Singapore,EFConsPerCap,,,,,,,7.65352545072451
2001,200,Singapore,BiocapPerCap,,,,,,,0.0312697431302697
2002,200,Singapore,EFConsPerCap,,,,,,,6.53509212667476
2002,200,Singapore,BiocapPerCap,,,,,,,0.032015063590875
2003,200,Singapore,EFConsPerCap,,,,,,,6.75160024486021
2003,200,Singapore,BiocapPerCap,,,,,,,0.0340620496063789
2004,200,Singapore,EFConsPerCap,,,,,,,6.90925763206553
2004,200,Singapore,BiocapPerCap,,,,,,,0.0343716302819074
2005,200,Singapore,EFConsPerCap,,,,,,,6.10129743259765
2005,200,Singapore,BiocapPerCap,,,,,,,0.0339935141035507
2006,200,Singapore,EFConsPerCap,,,,,,,6.03138112395188
2006,200,Singapore,BiocapPerCap,,,,,,,0.0343472469640215
2007,200,Singapore,EFConsPerCap,,,,,,,7.32066285849694
2007,200,Singapore,BiocapPerCap,,,,,,,0.0337068080701755
2008,200,Singapore,EFConsPerCap,,,,,,,8.53166841603006
2008,200,Singapore,BiocapPerCap,,,,,,,0.0335177553197207
2009,200,Singapore,EFConsPerCap,,,,,,,8.8542181600887
2009,200,Singapore,BiocapPerCap,,,,,,,0.0332601335890873
2010,200,Singapore,EFConsPerCap,,,,,,,8.57368511313798
2010,200,Singapore,BiocapPerCap,,,,,,,0.0338215369692393
2011,200,Singapore,EFConsPerCap,,,,,,,8.95421346316684
2011,200,Singapore,BiocapPerCap,,,,,,,0.0338160481587051
2012,200,Singapore,EFConsPerCap,,,,,,,9.24976495897931
2012,200,Singapore,BiocapPerCap,,,,,,,0.0311124461184245
2013,200,Singapore,EFConsPerCap,,,,,,,8.77473227416369
2013,200,Singapore,BiocapPerCap,,,,,,,0.0319413454673917
2014,200,Singapore,EFConsPerCap,,,,,,,8.4253672108254
2014,200,Singapore,BiocapPerCap,,,,,,,0.0321152771381856
2015,200,Singapore,EFConsPerCap,,,,,,,9.09357173816314
2015,200,Singapore,BiocapPerCap,,,,,,,0.0322099752212048
2016,200,Singapore,EFConsPerCap,,,,,,,8.25262208234635
2016,200,Singapore,BiocapPerCap,,,,,,,0.0320868056819678
2017,200,Singapore,EFConsPerCap,,,,,,,8.98003581110193
2017,200,Singapore,BiocapPerCap,,,,,,,0.0322628541431553
2018,200,Singapore,EFConsPerCap,,,,,,,8.38896354073674
2018,200,Singapore,BiocapPerCap,,,,,,,0.0321114583372504
2019,200,Singapore,EFConsPerCap,,,,,,,8.00569833919269
2019,200,Singapore,BiocapPerCap,,,,,,,0.0314463237934876
2020,200,Singapore,EFConsPerCap,,,,,,,8.57600939987087
2020,200,Singapore,BiocapPerCap,,,,,,,0.0314779350598442
2021,200,Singapore,EFConsPerCap,,,,,,,8.29945790942073
2021,200,Singapore,BiocapPerCap,,,,,,,0.0313892431386611
2022,200,Singapore,EFConsPerCap,,,,,,,10.5576708926062
2022,200,Singapore,BiocapPerCap,,,,,,,0.0310586751565945
2023,200,Singapore,EFConsPerCap,,,,,,,10.1268420816654
2023,200,Singapore,BiocapPerCap,,,,,,,0.0309577332206142
2024,200,Singapore,EFConsPerCap,,,,,,,10.0697105067644
2024,200,Singapore,BiocapPerCap,,,,,,,0.0308597855386598
