year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1992,198,Slovenia,EFConsPerCap,,,,,,,3.39579174714436
1992,198,Slovenia,BiocapPerCap,,,,,,,2.4796704364198
1993,198,Slovenia,EFConsPerCap,,,,,,,4.00737514558167
1993,198,Slovenia,BiocapPerCap,,,,,,,2.51060698870927
1994,198,Slovenia,EFConsPerCap,,,,,,,4.39273849666066
1994,198,Slovenia,BiocapPerCap,,,,,,,2.6066744665694
1995,198,Slovenia,EFConsPerCap,,,,,,,4.97518333855142
1995,198,Slovenia,BiocapPerCap,,,,,,,2.60490585063942
1996,198,Slovenia,EFConsPerCap,,,,,,,5.15315256984925
1996,198,Slovenia,BiocapPerCap,,,,,,,2.585536229957
1997,198,Slovenia,EFConsPerCap,,,,,,,4.60700399228229
1997,198,Slovenia,BiocapPerCap,,,,,,,2.59395619667007
1998,198,Slovenia,EFConsPerCap,,,,,,,4.81843654790954
1998,198,Slovenia,BiocapPerCap,,,,,,,2.62296096120195
1999,198,Slovenia,EFConsPerCap,,,,,,,5.17129654455279
1999,198,Slovenia,BiocapPerCap,,,,,,,2.58126407868955
2000,198,Slovenia,EFConsPerCap,,,,,,,5.41331920903483
2000,198,Slovenia,BiocapPerCap,,,,,,,2.61076476340021
2001,198,Slovenia,EFConsPerCap,,,,,,,5.51426147209036
2001,198,Slovenia,BiocapPerCap,,,,,,,2.62034223884935
2002,198,Slovenia,EFConsPerCap,,,,,,,5.48642077626508
2002,198,Slovenia,BiocapPerCap,,,,,,,2.68885741960969
2003,198,Slovenia,EFConsPerCap,,,,,,,5.70633570110772
2003,198,Slovenia,BiocapPerCap,,,,,,,2.55533774045378
2004,198,Slovenia,EFConsPerCap,,,,,,,6.25334930271144
2004,198,Slovenia,BiocapPerCap,,,,,,,2.63373247750429
2005,198,Slovenia,EFConsPerCap,,,,,,,6.16347550272617
2005,198,Slovenia,BiocapPerCap,,,,,,,2.64060955605596
2006,198,Slovenia,EFConsPerCap,,,,,,,6.35599627860577
2006,198,Slovenia,BiocapPerCap,,,,,,,2.57532174703152
2007,198,Slovenia,EFConsPerCap,,,,,,,7.37566801074825
2007,198,Slovenia,BiocapPerCap,,,,,,,2.58881236806249
2008,198,Slovenia,EFConsPerCap,,,,,,,7.87494951791814
2008,198,Slovenia,BiocapPerCap,,,,,,,2.64583286427079
2009,198,Slovenia,EFConsPerCap,,,,,,,6.43679334114864
2009,198,Slovenia,BiocapPerCap,,,,,,,2.60561322499713
2010,198,Slovenia,EFConsPerCap,,,,,,,6.85740612178994
2010,198,Slovenia,BiocapPerCap,,,,,,,2.65674973634166
2011,198,Slovenia,EFConsPerCap,,,,,,,5.95894444776754
2011,198,Slovenia,BiocapPerCap,,,,,,,2.64500996282817
2012,198,Slovenia,EFConsPerCap,,,,,,,5.28904847526976
2012,198,Slovenia,BiocapPerCap,,,,,,,2.6018556374085
2013,198,Slovenia,EFConsPerCap,,,,,,,5.06651301751548
2013,198,Slovenia,BiocapPerCap,,,,,,,2.51102582589781
2014,198,Slovenia,EFConsPerCap,,,,,,,5.05601124528413
2014,198,Slovenia,BiocapPerCap,,,,,,,2.61531870380046
2015,198,Slovenia,EFConsPerCap,,,,,,,5.33974517013707
2015,198,Slovenia,BiocapPerCap,,,,,,,2.59762297122701
2016,198,Slovenia,EFConsPerCap,,,,,,,5.27025125734353
2016,198,Slovenia,BiocapPerCap,,,,,,,2.57590059224419
2017,198,Slovenia,EFConsPerCap,,,,,,,5.60880051931452
2017,198,Slovenia,BiocapPerCap,,,,,,,2.51465409540599
2018,198,Slovenia,EFConsPerCap,,,,,,,5.68186954521461
2018,198,Slovenia,BiocapPerCap,,,,,,,2.5154988411935
2019,198,Slovenia,EFConsPerCap,,,,,,,5.78257488907765
2019,198,Slovenia,BiocapPerCap,,,,,,,2.51274889447586
2020,198,Slovenia,EFConsPerCap,,,,,,,5.18801522339966
2020,198,Slovenia,BiocapPerCap,,,,,,,2.55240956812011
2021,198,Slovenia,EFConsPerCap,,,,,,,5.0503849814034
2021,198,Slovenia,BiocapPerCap,,,,,,,2.50426644691898
2022,198,Slovenia,EFConsPerCap,,,,,,,5.4433295882136
2022,198,Slovenia,BiocapPerCap,,,,,,,2.44307379252038
2023,198,Slovenia,EFConsPerCap,,,,,,,5.25649711098704
2023,198,Slovenia,BiocapPerCap,,,,,,,2.44264794258713
2024,198,Slovenia,EFConsPerCap,,,,,,,5.24771988841715
2024,198,Slovenia,BiocapPerCap,,,,,,,2.44279815085467
