year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
2012,277,South Sudan,EFConsPerCap,,,,,,,1.57561256817047
2012,277,South Sudan,BiocapPerCap,,,,,,,1.73769121318184
2013,277,South Sudan,EFConsPerCap,,,,,,,1.53061502066337
2013,277,South Sudan,BiocapPerCap,,,,,,,1.69134697455681
2014,277,South Sudan,EFConsPerCap,,,,,,,1.58404391910432
2014,277,South Sudan,BiocapPerCap,,,,,,,1.718368110108
2015,277,South Sudan,EFConsPerCap,,,,,,,1.58905317615136
2015,277,South Sudan,BiocapPerCap,,,,,,,1.71394813110477
2016,277,South Sudan,EFConsPerCap,,,,,,,1.60007538508489
2016,277,South Sudan,BiocapPerCap,,,,,,,1.73672034186358
2017,277,South Sudan,EFConsPerCap,,,,,,,1.6635150734821
2017,277,South Sudan,BiocapPerCap,,,,,,,1.80548779317752
2018,277,South Sudan,EFConsPerCap,,,,,,,1.71638639995423
2018,277,South Sudan,BiocapPerCap,,,,,,,1.8395842905285
2019,277,South Sudan,EFConsPerCap,,,,,,,1.71568630201731
2019,277,South Sudan,BiocapPerCap,,,,,,,1.84100593061112
2020,277,South Sudan,EFConsPerCap,,,,,,,1.70402089318938
2020,277,South Sudan,BiocapPerCap,,,,,,,1.82263018214346
2021,277,South Sudan,EFConsPerCap,,,,,,,1.67433993435918
2021,277,South Sudan,BiocapPerCap,,,,,,,1.78983591893195
2022,277,South Sudan,EFConsPerCap,,,,,,,1.64907980522746
2022,277,South Sudan,BiocapPerCap,,,,,,,1.77057982673092
2023,277,South Sudan,EFConsPerCap,,,,,,,1.62338982428967
2023,277,South Sudan,BiocapPerCap,,,,,,,1.74300172766657
2024,277,South Sudan,EFConsPerCap,,,,,,,1.59679081269061
2024,277,South Sudan,BiocapPerCap,,,,,,,1.71437328886741
