year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
2004,299,State of Palestine,EFConsPerCap,,,,,,,0.929554586025539
2004,299,State of Palestine,BiocapPerCap,,,,,,,0.164662478396689
2005,299,State of Palestine,EFConsPerCap,,,,,,,0.89096725209404
2005,299,State of Palestine,BiocapPerCap,,,,,,,0.147511056220331
2006,299,State of Palestine,EFConsPerCap,,,,,,,0.875809422372096
2006,299,State of Palestine,BiocapPerCap,,,,,,,0.152195193372998
2007,299,State of Palestine,EFConsPerCap,,,,,,,1.10439310189398
2007,299,State of Palestine,BiocapPerCap,,,,,,,0.124449525923916
2008,299,State of Palestine,EFConsPerCap,,,,,,,1.10068763855375
2008,299,State of Palestine,BiocapPerCap,,,,,,,0.130520946147487
2009,299,State of Palestine,EFConsPerCap,,,,,,,1.11605404057942
2009,299,State of Palestine,BiocapPerCap,,,,,,,0.109271915656995
2010,299,State of Palestine,EFConsPerCap,,,,,,,1.14285311005596
2010,299,State of Palestine,BiocapPerCap,,,,,,,0.110743747322427
2011,299,State of Palestine,EFConsPerCap,,,,,,,1.16651841073293
2011,299,State of Palestine,BiocapPerCap,,,,,,,0.0983048780451615
2012,299,State of Palestine,EFConsPerCap,,,,,,,1.09336295231868
2012,299,State of Palestine,BiocapPerCap,,,,,,,0.12200633696212
2013,299,State of Palestine,EFConsPerCap,,,,,,,1.11260839593967
2013,299,State of Palestine,BiocapPerCap,,,,,,,0.113400951002023
2014,299,State of Palestine,EFConsPerCap,,,,,,,1.25058688095849
2014,299,State of Palestine,BiocapPerCap,,,,,,,0.119401998304403
2015,299,State of Palestine,EFConsPerCap,,,,,,,1.20405290743166
2015,299,State of Palestine,BiocapPerCap,,,,,,,0.11530562344266
2016,299,State of Palestine,EFConsPerCap,,,,,,,1.19924231514701
2016,299,State of Palestine,BiocapPerCap,,,,,,,0.120099245771799
2017,299,State of Palestine,EFConsPerCap,,,,,,,1.27549666787242
2017,299,State of Palestine,BiocapPerCap,,,,,,,0.11275045503599
2018,299,State of Palestine,EFConsPerCap,,,,,,,1.27282722001265
2018,299,State of Palestine,BiocapPerCap,,,,,,,0.111327348779129
2019,299,State of Palestine,EFConsPerCap,,,,,,,1.20929478025483
2019,299,State of Palestine,BiocapPerCap,,,,,,,0.0992160684593337
2020,299,State of Palestine,EFConsPerCap,,,,,,,1.06728857718283
2020,299,State of Palestine,BiocapPerCap,,,,,,,0.0982125130688232
2021,299,State of Palestine,EFConsPerCap,,,,,,,1.15312997900803
2021,299,State of Palestine,BiocapPerCap,,,,,,,0.0806096563117818
2022,299,State of Palestine,EFConsPerCap,,,,,,,1.25169829336964
2022,299,State of Palestine,BiocapPerCap,,,,,,,0.0854320983233413
