year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,206,Sudan (former),EFConsPerCap,0.824941332854269,0.844781177263304,0.398323039251807,0.00200832600681073,0.0143488783224124,0.0715158179592426,2.15591857165785
1961,206,Sudan (former),BiocapPerCap,1.01240945091269,2.50678331675941,1.57220963488655,0.490540751211867,0.0143488783224124,0.0,5.59629203209294
1962,206,Sudan (former),EFConsPerCap,0.700107850230145,0.83050131816642,0.396295964919939,0.00203886371017032,0.014044058571923,0.0699157919555471,2.01290384755414
1962,206,Sudan (former),BiocapPerCap,0.911816029088878,2.43894274548821,1.53210633460898,0.477265345806249,0.014044058571923,0.0,5.37417451356423
1963,206,Sudan (former),EFConsPerCap,0.676298602856729,0.838684559164411,0.394282919518989,0.00260658163350887,0.0149078215664067,0.0685520915110011,1.99533257625105
1963,206,Sudan (former),BiocapPerCap,0.892191339180718,2.37373057447279,1.49157412026693,0.464504279804177,0.0149078215664067,0.0,5.23690813529102
1964,206,Sudan (former),EFConsPerCap,0.541653664051924,0.984178203518335,0.391101682727572,0.00348042479460171,0.0130201788150604,0.0698429071659492,2.00327706107344
1964,206,Sudan (former),BiocapPerCap,0.787191092699163,2.30589934143022,1.45043481922822,0.451230701753026,0.0130201788150604,0.0,5.00777613392569
1965,206,Sudan (former),EFConsPerCap,0.539143193014076,0.951463178553356,0.383394709054555,0.0035505914465736,0.0129867152036939,0.0627542870822891,1.95329267435454
1965,206,Sudan (former),BiocapPerCap,0.765744196316027,2.23811985232241,1.41064928873464,0.437967249231456,0.0129867152036939,0.0,4.86546730180822
1966,206,Sudan (former),EFConsPerCap,0.504420114139997,1.00379438890831,0.381773817762517,0.00340359736273952,0.0122553181471911,0.0637786445597231,1.96942588088047
1966,206,Sudan (former),BiocapPerCap,0.726653288478663,2.17420557497171,1.37641358659665,0.42546016199533,0.0122553181471911,0.0,4.71498793018955
1967,206,Sudan (former),EFConsPerCap,0.679466664937972,1.06310485113814,0.379352900710445,0.00340512400736345,0.0173396220591018,0.0788419396551293,2.22151110250815
1967,206,Sudan (former),BiocapPerCap,0.8286599357465,2.11715894980742,1.34202328445837,0.414296973627551,0.0173396220591018,0.0,4.71947876569895
1968,206,Sudan (former),EFConsPerCap,0.494037109766615,1.17144198587675,0.377828696883316,0.00297987575142164,0.0123915253131805,0.0860652071786106,2.1447444007699
1968,206,Sudan (former),BiocapPerCap,0.723998982704514,2.05766807055785,1.30612978677961,0.402655480562619,0.0123915253131805,0.0,4.50284384591777
1969,206,Sudan (former),EFConsPerCap,0.582251537737533,1.08968491118774,0.373615233099249,0.00341450754393861,0.0162062350361141,0.108527120899506,2.17369954550408
1969,206,Sudan (former),BiocapPerCap,0.772635547448441,2.00697868876226,1.27058154546498,0.392736311539021,0.0162062350361141,0.0,4.45913832825082
1970,206,Sudan (former),EFConsPerCap,0.604089480470653,1.072623137578,0.37227398333313,0.00519562606415945,0.017951037786623,0.127747715491254,2.19988098072382
1970,206,Sudan (former),BiocapPerCap,0.735471539115754,1.95461765253419,1.23690600159794,0.38249002424573,0.017951037786623,0.0,4.32743625528024
1971,206,Sudan (former),EFConsPerCap,0.563164209442142,1.06344536701549,0.368759118612975,0.00328357705173959,0.0188879565095157,0.119515932277099,2.13705616090896
1971,206,Sudan (former),BiocapPerCap,0.7329544986727,1.89371245562113,1.20530758031189,0.37057176994481,0.0188879565095157,0.0,4.22143426106004
1972,206,Sudan (former),EFConsPerCap,0.521460904982673,1.087061585138,0.367688973535803,0.00396846765084234,0.0195292600280866,0.11368879381911,2.11339798515452
1972,206,Sudan (former),BiocapPerCap,0.689973763602889,1.8361088181775,1.17006581781167,0.359299582438528,0.0195292600280866,0.0,4.07497724205867
1973,206,Sudan (former),EFConsPerCap,0.382235394991519,1.10818839957352,0.37438573878524,0.0037180608762075,0.0180679280014644,0.149450899605897,2.03604642183384
1973,206,Sudan (former),BiocapPerCap,0.592374318979754,1.7810173223356,1.13510371547939,0.348518984221285,0.0180679280014644,0.0,3.87508226901749
1974,206,Sudan (former),EFConsPerCap,0.506337233781107,1.08817910510162,0.362084962437584,0.00313168298715176,0.0205774554736042,0.143108283396029,2.12341872317709
1974,206,Sudan (former),BiocapPerCap,0.645213346016036,1.71521787402062,1.09663447130171,0.335642996659869,0.0205774554736042,0.0,3.81328614347184
1975,206,Sudan (former),EFConsPerCap,0.456666724590424,1.13242960412825,0.350067240209258,0.00217458625905777,0.0215636617635813,0.112517749283472,2.07541956623405
