year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1992,208,Tajikistan,EFConsPerCap,,,,,,,1.39397829074576
1992,208,Tajikistan,BiocapPerCap,,,,,,,0.490001953947544
1993,208,Tajikistan,EFConsPerCap,,,,,,,1.16050013679691
1993,208,Tajikistan,BiocapPerCap,,,,,,,0.478902163840212
1994,208,Tajikistan,EFConsPerCap,,,,,,,0.981808989625484
1994,208,Tajikistan,BiocapPerCap,,,,,,,0.459761564618701
1995,208,Tajikistan,EFConsPerCap,,,,,,,0.887070305474671
1995,208,Tajikistan,BiocapPerCap,,,,,,,0.426844859663281
1996,208,Tajikistan,EFConsPerCap,,,,,,,0.759129518025891
1996,208,Tajikistan,BiocapPerCap,,,,,,,0.395159348683949
1997,208,Tajikistan,EFConsPerCap,,,,,,,0.778272308847371
1997,208,Tajikistan,BiocapPerCap,,,,,,,0.428435256841435
1998,208,Tajikistan,EFConsPerCap,,,,,,,0.787376563613899
1998,208,Tajikistan,BiocapPerCap,,,,,,,0.417851084216116
1999,208,Tajikistan,EFConsPerCap,,,,,,,0.748867984601501
1999,208,Tajikistan,BiocapPerCap,,,,,,,0.391428922528888
2000,208,Tajikistan,EFConsPerCap,,,,,,,0.733620539115331
2000,208,Tajikistan,BiocapPerCap,,,,,,,0.398950851362691
2001,208,Tajikistan,EFConsPerCap,,,,,,,0.775269006671276
2001,208,Tajikistan,BiocapPerCap,,,,,,,0.428007891612092
2002,208,Tajikistan,EFConsPerCap,,,,,,,0.757745405531009
2002,208,Tajikistan,BiocapPerCap,,,,,,,0.463000404757923
2003,208,Tajikistan,EFConsPerCap,,,,,,,0.725550103433755
2003,208,Tajikistan,BiocapPerCap,,,,,,,0.475434732456468
2004,208,Tajikistan,EFConsPerCap,,,,,,,0.739270626185528
2004,208,Tajikistan,BiocapPerCap,,,,,,,0.466993640282877
2005,208,Tajikistan,EFConsPerCap,,,,,,,0.748443653115705
2005,208,Tajikistan,BiocapPerCap,,,,,,,0.444724699224898
2006,208,Tajikistan,EFConsPerCap,,,,,,,0.792060467581149
2006,208,Tajikistan,BiocapPerCap,,,,,,,0.447081791976277
2007,208,Tajikistan,EFConsPerCap,,,,,,,0.821334782461196
2007,208,Tajikistan,BiocapPerCap,,,,,,,0.448987345768121
2008,208,Tajikistan,EFConsPerCap,,,,,,,0.837614240759968
2008,208,Tajikistan,BiocapPerCap,,,,,,,0.431992293579878
2009,208,Tajikistan,EFConsPerCap,,,,,,,0.853838518733709
2009,208,Tajikistan,BiocapPerCap,,,,,,,0.510942996268012
2010,208,Tajikistan,EFConsPerCap,,,,,,,0.895934286997605
2010,208,Tajikistan,BiocapPerCap,,,,,,,0.518955393398635
2011,208,Tajikistan,EFConsPerCap,,,,,,,0.943723801196646
2011,208,Tajikistan,BiocapPerCap,,,,,,,0.467844630292632
2012,208,Tajikistan,EFConsPerCap,,,,,,,0.999780226390698
2012,208,Tajikistan,BiocapPerCap,,,,,,,0.478025088508799
2013,208,Tajikistan,EFConsPerCap,,,,,,,0.987194321554509
2013,208,Tajikistan,BiocapPerCap,,,,,,,0.506533970798953
2014,208,Tajikistan,EFConsPerCap,,,,,,,1.19239329318393
2014,208,Tajikistan,BiocapPerCap,,,,,,,0.502549347372576
2015,208,Tajikistan,EFConsPerCap,,,,,,,1.1386826723644
2015,208,Tajikistan,BiocapPerCap,,,,,,,0.493580417307914
2016,208,Tajikistan,EFConsPerCap,,,,,,,1.15414778569208
2016,208,Tajikistan,BiocapPerCap,,,,,,,0.498543692203105
2017,208,Tajikistan,EFConsPerCap,,,,,,,1.17496864336474
2017,208,Tajikistan,BiocapPerCap,,,,,,,0.523388946898286
2018,208,Tajikistan,EFConsPerCap,,,,,,,1.17515640708545
2018,208,Tajikistan,BiocapPerCap,,,,,,,0.483266736271047
2019,208,Tajikistan,EFConsPerCap,,,,,,,1.17263087857806
2019,208,Tajikistan,BiocapPerCap,,,,,,,0.503384599669238
2020,208,Tajikistan,EFConsPerCap,,,,,,,1.17541534076354
2020,208,Tajikistan,BiocapPerCap,,,,,,,0.504600323870166
2021,208,Tajikistan,EFConsPerCap,,,,,,,1.20992967187097
2021,208,Tajikistan,BiocapPerCap,,,,,,,0.513530292683332
2022,208,Tajikistan,EFConsPerCap,,,,,,,1.15413524096646
2022,208,Tajikistan,BiocapPerCap,,,,,,,0.4735518795301
2023,208,Tajikistan,EFConsPerCap,,,,,,,1.1103559850111
2023,208,Tajikistan,BiocapPerCap,,,,,,,0.465926847075587
2024,208,Tajikistan,EFConsPerCap,0.356502636456982,0.108233090102101,0.153861827766978,0.00261862426317794,0.0741376216427454,0.420239369448104,1.11559316968009
2024,208,Tajikistan,BiocapPerCap,0.263153016696641,0.10699444136197,0.00528019907229169,0.00910699768833709,0.0741376216427454,0.0,0.458672276461985
