year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,176,Timor-Leste,EFConsPerCap,,,,,,,0.688845749974512
1961,176,Timor-Leste,BiocapPerCap,,,,,,,4.1510827510874
1962,176,Timor-Leste,EFConsPerCap,,,,,,,0.683971066407969
1962,176,Timor-Leste,BiocapPerCap,,,,,,,4.08358812110556
1963,176,Timor-Leste,EFConsPerCap,,,,,,,0.661606954845401
1963,176,Timor-Leste,BiocapPerCap,,,,,,,4.0190154118469
1964,176,Timor-Leste,EFConsPerCap,,,,,,,0.65369724372193
1964,176,Timor-Leste,BiocapPerCap,,,,,,,3.95293465310769
1965,176,Timor-Leste,EFConsPerCap,,,,,,,0.662784871859548
1965,176,Timor-Leste,BiocapPerCap,,,,,,,3.88867384080139
1966,176,Timor-Leste,EFConsPerCap,,,,,,,0.680319897445804
1966,176,Timor-Leste,BiocapPerCap,,,,,,,3.82942494189373
1967,176,Timor-Leste,EFConsPerCap,,,,,,,0.680157146996413
1967,176,Timor-Leste,BiocapPerCap,,,,,,,3.78055414421533
1968,176,Timor-Leste,EFConsPerCap,,,,,,,0.660228982874061
1968,176,Timor-Leste,BiocapPerCap,,,,,,,3.70277821789403
1969,176,Timor-Leste,EFConsPerCap,,,,,,,0.677189950490248
1969,176,Timor-Leste,BiocapPerCap,,,,,,,3.65157618791695
1970,176,Timor-Leste,EFConsPerCap,,,,,,,0.684591930812017
1970,176,Timor-Leste,BiocapPerCap,,,,,,,3.59939285742842
1971,176,Timor-Leste,EFConsPerCap,,,,,,,0.692213937254905
1971,176,Timor-Leste,BiocapPerCap,,,,,,,3.54323359544084
1972,176,Timor-Leste,EFConsPerCap,,,,,,,0.693632960755204
1972,176,Timor-Leste,BiocapPerCap,,,,,,,3.50632052412828
1973,176,Timor-Leste,EFConsPerCap,,,,,,,0.701154623636042
1973,176,Timor-Leste,BiocapPerCap,,,,,,,3.58842147653168
1974,176,Timor-Leste,EFConsPerCap,,,,,,,0.663820321858261
1974,176,Timor-Leste,BiocapPerCap,,,,,,,3.51004400972273
1975,176,Timor-Leste,EFConsPerCap,,,,,,,0.653506943161772
1975,176,Timor-Leste,BiocapPerCap,,,,,,,3.46087787451314
1976,176,Timor-Leste,EFConsPerCap,,,,,,,0.663211671385812
1976,176,Timor-Leste,BiocapPerCap,,,,,,,3.41922954405088
1977,176,Timor-Leste,EFConsPerCap,,,,,,,0.654669419050858
1977,176,Timor-Leste,BiocapPerCap,,,,,,,3.36767093544401
1978,176,Timor-Leste,EFConsPerCap,,,,,,,0.643976627241272
1978,176,Timor-Leste,BiocapPerCap,,,,,,,3.32390416195224
1979,176,Timor-Leste,EFConsPerCap,,,,,,,0.631063534048334
1979,176,Timor-Leste,BiocapPerCap,,,,,,,3.28004105816042
