year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,219,Tonga,EFConsPerCap,,,,,,,1.52709450649297
1961,219,Tonga,BiocapPerCap,,,,,,,1.68645941413434
1962,219,Tonga,EFConsPerCap,,,,,,,1.3974650025946
1962,219,Tonga,BiocapPerCap,,,,,,,1.57321800133031
1963,219,Tonga,EFConsPerCap,,,,,,,1.4928463559436
1963,219,Tonga,BiocapPerCap,,,,,,,1.59760253699723
1964,219,Tonga,EFConsPerCap,,,,,,,1.37952166863728
1964,219,Tonga,BiocapPerCap,,,,,,,1.51860806742728
1965,219,Tonga,EFConsPerCap,,,,,,,1.30148433296482
1965,219,Tonga,BiocapPerCap,,,,,,,1.50727917775243
1966,219,Tonga,EFConsPerCap,,,,,,,1.35634014969163
1966,219,Tonga,BiocapPerCap,,,,,,,1.55863227384548
1967,219,Tonga,EFConsPerCap,,,,,,,1.45833453021534
1967,219,Tonga,BiocapPerCap,,,,,,,1.55377287670066
1968,219,Tonga,EFConsPerCap,,,,,,,1.48374839682845
1968,219,Tonga,BiocapPerCap,,,,,,,1.47232338847141
1969,219,Tonga,EFConsPerCap,,,,,,,1.57548006239067
1969,219,Tonga,BiocapPerCap,,,,,,,1.55955012732616
1970,219,Tonga,EFConsPerCap,,,,,,,1.6872218288681
1970,219,Tonga,BiocapPerCap,,,,,,,1.42355281329991
1971,219,Tonga,EFConsPerCap,,,,,,,2.03144092200423
1971,219,Tonga,BiocapPerCap,,,,,,,1.43744182351181
1972,219,Tonga,EFConsPerCap,,,,,,,1.97291896886393
1972,219,Tonga,BiocapPerCap,,,,,,,1.48295000441725
1973,219,Tonga,EFConsPerCap,,,,,,,2.04598543394272
1973,219,Tonga,BiocapPerCap,,,,,,,1.43435614722029
1974,219,Tonga,EFConsPerCap,,,,,,,2.1834136750428
1974,219,Tonga,BiocapPerCap,,,,,,,1.48916311886546
1975,219,Tonga,EFConsPerCap,,,,,,,3.01711872522905
1975,219,Tonga,BiocapPerCap,,,,,,,1.48188438354474
1976,219,Tonga,EFConsPerCap,,,,,,,2.38207748498605
1976,219,Tonga,BiocapPerCap,,,,,,,1.41789565392836
1977,219,Tonga,EFConsPerCap,,,,,,,2.29200041572903
1977,219,Tonga,BiocapPerCap,,,,,,,1.39017165532526
1978,219,Tonga,EFConsPerCap,,,,,,,2.29026890126179
1978,219,Tonga,BiocapPerCap,,,,,,,1.31551381485471
1979,219,Tonga,EFConsPerCap,,,,,,,2.42857568720152
1979,219,Tonga,BiocapPerCap,,,,,,,1.33716328492294
1980,219,Tonga,EFConsPerCap,,,,,,,2.06189371081798
1980,219,Tonga,BiocapPerCap,,,,,,,1.3985160692083
1981,219,Tonga,EFConsPerCap,,,,,,,2.07164316032271
1981,219,Tonga,BiocapPerCap,,,,,,,1.392461588492
1982,219,Tonga,EFConsPerCap,,,,,,,2.22927841351162
1982,219,Tonga,BiocapPerCap,,,,,,,1.3352269644972
1983,219,Tonga,EFConsPerCap,,,,,,,2.35247849448463
1983,219,Tonga,BiocapPerCap,,,,,,,1.28075583559644
1984,219,Tonga,EFConsPerCap,,,,,,,2.24473813631096
1984,219,Tonga,BiocapPerCap,,,,,,,1.32498662894793
1985,219,Tonga,EFConsPerCap,,,,,,,2.00589264094054
1985,219,Tonga,BiocapPerCap,,,,,,,1.27358195579582
1986,219,Tonga,EFConsPerCap,,,,,,,1.84255005535912
1986,219,Tonga,BiocapPerCap,,,,,,,1.29533635804016
1987,219,Tonga,EFConsPerCap,,,,,,,1.94713424613382
1987,219,Tonga,BiocapPerCap,,,,,,,1.23685359186433
1988,219,Tonga,EFConsPerCap,,,,,,,1.84745405402508
1988,219,Tonga,BiocapPerCap,,,,,,,1.17799274729165
1989,219,Tonga,EFConsPerCap,,,,,,,1.78755425770582
1989,219,Tonga,BiocapPerCap,,,,,,,1.18758338268516
1990,219,Tonga,EFConsPerCap,,,,,,,1.79471889144967
1990,219,Tonga,BiocapPerCap,,,,,,,1.16637407173802
1991,219,Tonga,EFConsPerCap,,,,,,,1.64851211156538
1991,219,Tonga,BiocapPerCap,,,,,,,1.11261373338559
1992,219,Tonga,EFConsPerCap,,,,,,,1.69797942106457
1992,219,Tonga,BiocapPerCap,,,,,,,1.14600414007212
1993,219,Tonga,EFConsPerCap,,,,,,,1.86780393054532
1993,219,Tonga,BiocapPerCap,,,,,,,1.21448692618954
1994,219,Tonga,EFConsPerCap,,,,,,,1.99039870912252
1994,219,Tonga,BiocapPerCap,,,,,,,1.16697175167888
1995,219,Tonga,EFConsPerCap,,,,,,,2.06713903097234
1995,219,Tonga,BiocapPerCap,,,,,,,1.16578740304046
1996,219,Tonga,EFConsPerCap,,,,,,,2.01323126562998
1996,219,Tonga,BiocapPerCap,,,,,,,1.19596922684836
1997,219,Tonga,EFConsPerCap,,,,,,,2.07503090301095
1997,219,Tonga,BiocapPerCap,,,,,,,1.15617361280189
1998,219,Tonga,EFConsPerCap,,,,,,,2.16740965612215
1998,219,Tonga,BiocapPerCap,,,,,,,1.18391481066923
1999,219,Tonga,EFConsPerCap,,,,,,,2.16563059155627
1999,219,Tonga,BiocapPerCap,,,,,,,1.15712852937432
2000,219,Tonga,EFConsPerCap,,,,,,,1.80111408839099
2000,219,Tonga,BiocapPerCap,,,,,,,1.1132397430762
2001,219,Tonga,EFConsPerCap,,,,,,,2.3344711936226
2001,219,Tonga,BiocapPerCap,,,,,,,1.11536069305241
2002,219,Tonga,EFConsPerCap,,,,,,,2.03504722036155
2002,219,Tonga,BiocapPerCap,,,,,,,1.09404077597056
