year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1970,220,Trinidad and Tobago,EFConsPerCap,,,,,,,2.64038353786413
1970,220,Trinidad and Tobago,BiocapPerCap,,,,,,,2.26596821442007
1971,220,Trinidad and Tobago,EFConsPerCap,,,,,,,2.25291691859388
1971,220,Trinidad and Tobago,BiocapPerCap,,,,,,,2.23370728070548
1972,220,Trinidad and Tobago,EFConsPerCap,,,,,,,2.21598029587973
1972,220,Trinidad and Tobago,BiocapPerCap,,,,,,,2.20175697033881
1973,220,Trinidad and Tobago,EFConsPerCap,,,,,,,2.57525115697483
1973,220,Trinidad and Tobago,BiocapPerCap,,,,,,,2.17319866660789
1974,220,Trinidad and Tobago,EFConsPerCap,,,,,,,3.17082909171295
1974,220,Trinidad and Tobago,BiocapPerCap,,,,,,,2.13645334215047
1975,220,Trinidad and Tobago,EFConsPerCap,,,,,,,2.9256747036969
1975,220,Trinidad and Tobago,BiocapPerCap,,,,,,,2.10761132973359
1976,220,Trinidad and Tobago,EFConsPerCap,,,,,,,3.26450033112493
1976,220,Trinidad and Tobago,BiocapPerCap,,,,,,,2.08533082401801
1977,220,Trinidad and Tobago,EFConsPerCap,,,,,,,3.45248127412386
1977,220,Trinidad and Tobago,BiocapPerCap,,,,,,,2.04811170670358
1978,220,Trinidad and Tobago,EFConsPerCap,,,,,,,3.61805213494237
1978,220,Trinidad and Tobago,BiocapPerCap,,,,,,,2.01148640678274
1979,220,Trinidad and Tobago,EFConsPerCap,,,,,,,3.76104141367092
1979,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.97936883365785
1980,220,Trinidad and Tobago,EFConsPerCap,,,,,,,4.20620315217655
1980,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.94752158794369
1981,220,Trinidad and Tobago,EFConsPerCap,,,,,,,4.83089063858868
1981,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.90546098913532
1982,220,Trinidad and Tobago,EFConsPerCap,,,,,,,4.10954802911239
1982,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.87708055677241
1983,220,Trinidad and Tobago,EFConsPerCap,,,,,,,3.74289097984536
1983,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.84403193631794
1984,220,Trinidad and Tobago,EFConsPerCap,,,,,,,3.88421091831189
1984,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.8189028311281
1985,220,Trinidad and Tobago,EFConsPerCap,,,,,,,3.33036223756293
1985,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.79058959904155
1986,220,Trinidad and Tobago,EFConsPerCap,,,,,,,3.2765425932007
1986,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.76204945069399
1987,220,Trinidad and Tobago,EFConsPerCap,,,,,,,3.13083039767242
1987,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.72980020591071
1988,220,Trinidad and Tobago,EFConsPerCap,,,,,,,2.95976005532525
1988,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.70870427013492
1989,220,Trinidad and Tobago,EFConsPerCap,,,,,,,2.87822564045882
1989,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.69023461696353
1990,220,Trinidad and Tobago,EFConsPerCap,,,,,,,2.9069759353022
1990,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.69744355063181
1991,220,Trinidad and Tobago,EFConsPerCap,,,,,,,2.86616565897586
1991,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.68147806034557
1992,220,Trinidad and Tobago,EFConsPerCap,,,,,,,2.88188610479129
1992,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.69478928121775
1993,220,Trinidad and Tobago,EFConsPerCap,,,,,,,2.96696288243455
1993,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.6746521162292
1994,220,Trinidad and Tobago,EFConsPerCap,,,,,,,3.23378159303011
1994,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.66555835064283
1995,220,Trinidad and Tobago,EFConsPerCap,,,,,,,3.4072515118633
1995,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.64482249065546
1996,220,Trinidad and Tobago,EFConsPerCap,,,,,,,3.47953547734379
1996,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.6437257638904
1997,220,Trinidad and Tobago,EFConsPerCap,,,,,,,3.36882913365359
1997,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.62909456253017
1998,220,Trinidad and Tobago,EFConsPerCap,,,,,,,3.47757442360663
1998,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.61543703191985
1999,220,Trinidad and Tobago,EFConsPerCap,,,,,,,3.56547156994491
1999,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.61909482883669
2000,220,Trinidad and Tobago,EFConsPerCap,,,,,,,3.67221784448797
2000,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.60907694998803
2001,220,Trinidad and Tobago,EFConsPerCap,,,,,,,4.20434269430519
2001,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.60396225134522
2002,220,Trinidad and Tobago,EFConsPerCap,,,,,,,5.47021102363033
2002,220,Trinidad and Tobago,BiocapPerCap,,,,,,,1.59309538138639
2003,220,Trinidad and Tobago,EFConsPerCap,,,,,,,6.16968901758186
